,source_sentence,gold,pred,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,source_sent_list,new_pred_sentences,new_src_sentence
916,"Waverly is an incorporated town in Sussex County , Virginia , United States .","Waverly , Virginia is a town of Virginia in the United States .","Waverly is a town in Sussex County , Virginia , United States .",916,0.71715744,0.985897481,-0.88106972,0.707103912,0.439976394,-2.884190083,"['Waverly', 'is', 'an', 'incorporated', 'town', 'in', 'Sussex', 'County', ',', 'Virginia', ',', 'United', 'States', '.']",Waverly is a town in Sussex County Virginia United States,Waverly is an incorporated town in Sussex County Virginia United States
931,1031 exchange form -- Section 1031 of the U.S. Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like-kind properties .,Byzantine general George Maniaces captures Edessa .,Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like-kind properties .,931,0.664959357,0.998589396,-0.909159899,0.693475526,0.000329047,-9.304893494,"['1031', 'exchange', 'form', '--', 'Section', '1031', 'of', 'the', 'U.S.', 'Internal', 'Revenue', 'Code', 'allows', 'investors', 'to', 'defer', 'capital', 'gains', 'taxes', 'on', 'the', 'exchange', 'of', 'like-kind', 'properties', '.']",Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like kind properties,1031 exchange form Section 1031 of the U S Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like kind properties
937,"'' Get Me Bodied '' is a song recorded by American R&B singer PERSON@1 . The song was written by PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 , and PERSON@6 '' PERSON@7 , and was produced by PERSON@8 , BeyoncÃ and PERSON@2 , for BeyoncÃ 's second solo studio album , B ` Day .","Get Me Bodied is a song written by PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 , and PERSON@8 for PERSON@9 ' second studio album , B ` Day -LRB- NUMBER@1 -RRB- .","The song was written by PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 , and PERSON@6 '' PERSON@7 , and was produced by PERSON@8 , Beyonc and PERSON@2 , for Beyonc 's second solo studio album , B  Day .",937,0.614958186,0.0,-1.001741409,0.391884195,0.0,-2.593073606,"[""''"", 'Get', 'Me', 'Bodied', ""''"", 'is', 'a', 'song', 'recorded', 'by', 'American', 'R&B', 'singer', 'PERSON@1', '.', 'The', 'song', 'was', 'written', 'by', 'PERSON@1', ',', 'PERSON@2', ',', 'PERSON@3', ',', 'PERSON@4', ',', 'PERSON@5', ',', 'and', 'PERSON@6', ""''"", 'PERSON@7', ',', 'and', 'was', 'produced', 'by', 'PERSON@8', ',', 'BeyoncÃ', 'and', 'PERSON@2', ',', 'for', 'BeyoncÃ', ""'s"", 'second', 'solo', 'studio', 'album', ',', 'B', '`', 'Day', '.']",The song was written by PERSON@1 PERSON@2 PERSON@3 PERSON@4 PERSON@5 and PERSON@6 PERSON@7 and was produced by PERSON@8 Beyonc and PERSON@2 for Beyonc s second solo studio album B Day,Get Me Bodied is a song recorded by American R B singer PERSON@1 The song was written by PERSON@1 PERSON@2 PERSON@3 PERSON@4 PERSON@5 and PERSON@6 PERSON@7 and was produced by PERSON@8 Beyonc and PERSON@2 for Beyonc s second solo studio album B Day
938,"Men play using a curved stick called in Irish a camÃ n. Women would use a shorter stick , at one stage described by the diminutive form camÃ g/O. The suffix - aÃ ocht -LRB- originally â uidheachtâ -RRB- was added to both words to give names for the sports : camÃ naÃ ocht -LRB- which became iomÃ naÃ ocht -RRB- and camÃ gaÃ ocht .","The reason is complicated : men play using a curved stick called in Irish a camÃ n. Women would use a shorter stick , called by the diminutive form camÃ g/O. The suffix - aÃ ocht was added to both words to give names for the sports : camÃ naÃ ocht -LRB- which became iomÃ naÃ ocht -RRB- and camÃ gaÃ ocht .",The suffix - a ocht -LRB- originally  uidheacht -RRB- was added to both words to give names for the sports : cam na ocht -LRB- which became iom na ocht -RRB- and cam ga ocht .,938,0.487750814,0.0,-1.379631162,0.828524394,0.0,-0.863292634,"['Men', 'play', 'using', 'a', 'curved', 'stick', 'called', 'in', 'Irish', 'a', 'camÃ', 'n.', 'Women', 'would', 'use', 'a', 'shorter', 'stick', ',', 'at', 'one', 'stage', 'described', 'by', 'the', 'diminutive', 'form', 'camÃ', 'g/O.', 'The', 'suffix', '-', 'aÃ', 'ocht', '-LRB-', 'originally', 'â', 'uidheachtâ', '-RRB-', 'was', 'added', 'to', 'both', 'words', 'to', 'give', 'names', 'for', 'the', 'sports', ':', 'camÃ', 'naÃ', 'ocht', '-LRB-', 'which', 'became', 'iomÃ', 'naÃ', 'ocht', '-RRB-', 'and', 'camÃ', 'gaÃ', 'ocht', '.']",The suffix a ocht LRB originally uidheacht RRB was added to both words to give names for the sports cam na ocht LRB which became iom na ocht RRB and cam ga ocht,Men play using a curved stick called in Irish a cam n Women would use a shorter stick at one stage described by the diminutive form cam g O The suffix a ocht LRB originally uidheacht RRB was added to both words to give names for the sports cam na ocht LRB which became iom na ocht RRB and cam ga ocht
943,"The French under PERSON@1 took hold of the Maltese islands in NUMBER@1 , although with the aid of the British the Maltese were able to oust French control two years later .",The French under the rule of PERSON@1 took over LOCATION@1 in NUMBER@1 . The British helped the Maltese to stop the French control two years later .,"The French under PERSON@1 took control of the Maltese islands in NUMBER@1 , although with the aid of the British the Maltese were able to oust French control two years later .",943,0.880056143,0.998234987,-0.570947409,0.381025734,0.984910369,-2.406915665,"['The', 'French', 'under', 'PERSON@1', 'took', 'hold', 'of', 'the', 'Maltese', 'islands', 'in', 'NUMBER@1', ',', 'although', 'with', 'the', 'aid', 'of', 'the', 'British', 'the', 'Maltese', 'were', 'able', 'to', 'oust', 'French', 'control', 'two', 'years', 'later', '.']",The French under PERSON@1 took control of the Maltese islands in NUMBER@1 although with the aid of the British the Maltese were able to oust French control two years later,The French under PERSON@1 took hold of the Maltese islands in NUMBER@1 although with the aid of the British the Maltese were able to oust French control two years later
951,These dates conventionally delimit the period of each year when most tropical cyclones form in the northeastern LOCATION@1 .,"Seven storms attained hurricane status , of which three acquired major hurricane status .",These dates delimit the period of each year when most tropical cyclones form in the northeastern LOCATION@1 .,951,0.861669328,0.997483194,-0.501416385,0.775299774,0.038491294,-4.515781403,"['These', 'dates', 'conventionally', 'delimit', 'the', 'period', 'of', 'each', 'year', 'when', 'most', 'tropical', 'cyclones', 'form', 'in', 'the', 'northeastern', 'LOCATION@1', '.']",These dates delimit the period of each year when most tropical cyclones form in the northeastern LOCATION@1,These dates conventionally delimit the period of each year when most tropical cyclones form in the northeastern LOCATION@1
953,"LOCATION@1 closed the borders between LOCATION@2 and LOCATION@3 and sealed off the border with LOCATION@4 in NUMBER@1 ; but because of the quadripartite Allied status of the city , the NUMBER@2 k-long sectorial border between LOCATION@2 and LOCATION@4 remained open . As there was freedom of movement between LOCATION@4 and LOCATION@3 , Easterners could use the city as a transit point to LOCATION@3 , usually traveling there by air .","LOCATION@1 closed the borders between LOCATION@2 and LOCATION@3 in NUMBER@1 , but did not seal off LOCATION@4 ; because there was freedom of movement between LOCATION@4 and LOCATION@3 , Easterners could use the city as a crossing point to the West .","LOCATION@1 closed the borders between LOCATION@2 and LOCATION@3 and sealed off the border with LOCATION@4 in NUMBER@1 ; but because of the quadripartite Allied status of the city , the NUMBER@2 k-long sectorial border between LOCATION@2 and LOCATION@4 remained open .",953,0.499436018,0.0,-0.328506738,0.439571113,0.0,-1.433229685,"['LOCATION@1', 'closed', 'the', 'borders', 'between', 'LOCATION@2', 'and', 'LOCATION@3', 'and', 'sealed', 'off', 'the', 'border', 'with', 'LOCATION@4', 'in', 'NUMBER@1', ';', 'but', 'because', 'of', 'the', 'quadripartite', 'Allied', 'status', 'of', 'the', 'city', ',', 'the', 'NUMBER@2', 'k-long', 'sectorial', 'border', 'between', 'LOCATION@2', 'and', 'LOCATION@4', 'remained', 'open', '.', 'As', 'there', 'was', 'freedom', 'of', 'movement', 'between', 'LOCATION@4', 'and', 'LOCATION@3', ',', 'Easterners', 'could', 'use', 'the', 'city', 'as', 'a', 'transit', 'point', 'to', 'LOCATION@3', ',', 'usually', 'traveling', 'there', 'by', 'air', '.']",LOCATION@1 closed the borders between LOCATION@2 and LOCATION@3 and sealed off the border with LOCATION@4 in NUMBER@1 but because of the quadripartite Allied status of the city the NUMBER@2 k long sectorial border between LOCATION@2 and LOCATION@4 remained open,LOCATION@1 closed the borders between LOCATION@2 and LOCATION@3 and sealed off the border with LOCATION@4 in NUMBER@1 but because of the quadripartite Allied status of the city the NUMBER@2 k long sectorial border between LOCATION@2 and LOCATION@4 remained open As there was freedom of movement between LOCATION@4 and LOCATION@3 Easterners could use the city as a transit point to LOCATION@3 usually traveling there by air
954,III -LRB- Wild Asses ; quick animals -RRB-,III : Wild Asses,III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RRB- III -LRB- Wild Asses ; quick animals -RR,954,0.968823433,0.0,-0.396197855,0.864834368,0.990689754,-4.435787678,"['III', '-LRB-', 'Wild', 'Asses', ';', 'quick', 'animals', '-RRB-']",III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RRB III LRB Wild Asses quick animals RR,III LRB Wild Asses quick animals RRB
955,Confort is a commune in the Ain department in eastern France .,Confort is a commune .,Confort is a commune in the Ain department in the east of France.,955,0.848239958,0.972753882,-0.817993999,0.8531515,0.988294244,-4.151026726,"['Confort', 'is', 'a', 'commune', 'in', 'the', 'Ain', 'department', 'in', 'eastern', 'France', '.']",Confort is a commune in the Ain department in the east of France,Confort is a commune in the Ain department in eastern France
960,Erasmus Darwin -LRB- 12 December 1731 â '' 18 April 1802 -RRB- was an English physician who turned down George III 's invitation to be a physician to the King .,"Erasmus Darwin -LRB- 12 December 1731 â '' 18 April 1802 -RRB- , was a scientist , poet , inventor and a medical doctor .",Darwin Erasmus -LRB- 12 December 1731  '' 18 April 1802 -RRB- was an English physician who turned down George III 's invitation to be a physician to the King .,960,0.974706164,0.99939245,-0.915826559,0.899791741,0.998474002,-2.406888008,"['Erasmus', 'Darwin', '-LRB-', '12', 'December', '1731', 'â', ""''"", '18', 'April', '1802', '-RRB-', 'was', 'an', 'English', 'physician', 'who', 'turned', 'down', 'George', 'III', ""'s"", 'invitation', 'to', 'be', 'a', 'physician', 'to', 'the', 'King', '.']",Darwin Erasmus LRB 12 December 1731 18 April 1802 RRB was an English physician who turned down George III s invitation to be a physician to the King,Erasmus Darwin LRB 12 December 1731 18 April 1802 RRB was an English physician who turned down George III s invitation to be a physician to the King
966,"In its answer to this last question , the ORGANIZATION@1 formalizes the notion of judicial review . In short , the constitutional issue on which PERSON@1 v. PERSON@2 was decided was whether ORGANIZATION@2 could expand the original jurisdiction of the ORGANIZATION@1 .",PERSON@1 v. PERSON@2 is a famous ORGANIZATION@1 case that first established judicial review in the LOCATION@1 .,PERSON@2 was decided was whether ORGANIZATION@2 could expand the original jurisdiction of the ORGANIZATION@1 .,966,0.393209381,0.998889506,-0.882594764,0.847061986,0.997194529,-2.517839909,"['In', 'its', 'answer', 'to', 'this', 'last', 'question', ',', 'the', 'ORGANIZATION@1', 'formalizes', 'the', 'notion', 'of', 'judicial', 'review', '.', 'In', 'short', ',', 'the', 'constitutional', 'issue', 'on', 'which', 'PERSON@1', 'v.', 'PERSON@2', 'was', 'decided', 'was', 'whether', 'ORGANIZATION@2', 'could', 'expand', 'the', 'original', 'jurisdiction', 'of', 'the', 'ORGANIZATION@1', '.']",PERSON@2 was decided was whether ORGANIZATION@2 could expand the original jurisdiction of the ORGANIZATION@1,In its answer to this last question the ORGANIZATION@1 formalizes the notion of judicial review In short the constitutional issue on which PERSON@1 v PERSON@2 was decided was whether ORGANIZATION@2 could expand the original jurisdiction of the ORGANIZATION@1
975,"Description LOCATION@1 is a large , sparsely populated area , spanning over NUMBER@1 million km2 -LRB- comparable in size to LOCATION@2 or LOCATION@3 -RRB- , which takes up about one sixth of the country 's territory .","It is a large , sparsely populated area , spanning over NUMBER@1 million km2 -LRB- comparable in size to LOCATION@2 -RRB- , which takes up about one sixth of the country 's territory .","LOCATION@1 is a large , sparsely populated area , spanning over NUMBER@1 million km2 -LRB- comparable in size to LOCATION@2 or LOCATION@3 -RRB- , which takes up about one sixth of the country 's territory .",975,0.89071304,0.999919593,-0.427034497,0.948165459,0.993424773,-0.706213236,"['Description', 'LOCATION@1', 'is', 'a', 'large', ',', 'sparsely', 'populated', 'area', ',', 'spanning', 'over', 'NUMBER@1', 'million', 'km2', '-LRB-', 'comparable', 'in', 'size', 'to', 'LOCATION@2', 'or', 'LOCATION@3', '-RRB-', ',', 'which', 'takes', 'up', 'about', 'one', 'sixth', 'of', 'the', 'country', ""'s"", 'territory', '.']",LOCATION@1 is a large sparsely populated area spanning over NUMBER@1 million km2 LRB comparable in size to LOCATION@2 or LOCATION@3 RRB which takes up about one sixth of the country s territory,Description LOCATION@1 is a large sparsely populated area spanning over NUMBER@1 million km2 LRB comparable in size to LOCATION@2 or LOCATION@3 RRB which takes up about one sixth of the country s territory
980,Flobecq -LRB- -RRB- is a LOCATION@1 municipality located in the Belgian province of LOCATION@2 .,Flobecq is a municipality located in the Belgian province of LOCATION@2 .,Flobecq -LRB- -RRB- is a LOCATION@1 municipality in the Belgian province of LOCATION@2 .,980,0.841133803,0.993923604,-0.49770695,0.699845821,0.941026628,-1.745652437,"['Flobecq', '-LRB-', '-RRB-', 'is', 'a', 'LOCATION@1', 'municipality', 'located', 'in', 'the', 'Belgian', 'province', 'of', 'LOCATION@2', '.']",Flobecq LRB RRB is a LOCATION@1 municipality in the Belgian province of LOCATION@2,Flobecq LRB RRB is a LOCATION@1 municipality located in the Belgian province of LOCATION@2
990,"Sir Andrew Frank DavisInternational Who 's Who in Classical Music , Europa Publications Limited -LRB- 2003 ; ISBN 1 85743 174X -RRB- , p. 176 .","In January 1999 , she appointed him a Knight Bachelor in the New Year Honours List .","Sir Andrew Frank DavisInternational Who 's Who in Classical Music , Europa Publications Limited -LRB- 2003 ; ISBN 1 85743 174X -RRB- , p.",990,0.916329952,0.988712311,-0.654212177,0.740814191,0.000910011,-4.72061491,"['Sir', 'Andrew', 'Frank', 'DavisInternational', 'Who', ""'s"", 'Who', 'in', 'Classical', 'Music', ',', 'Europa', 'Publications', 'Limited', '-LRB-', '2003', ';', 'ISBN', '1', '85743', '174X', '-RRB-', ',', 'p.', '176', '.']",Sir Andrew Frank DavisInternational Who s Who in Classical Music Europa Publications Limited LRB 2003 ISBN 1 85743 174X RRB p,Sir Andrew Frank DavisInternational Who s Who in Classical Music Europa Publications Limited LRB 2003 ISBN 1 85743 174X RRB p 176
996,"The two Islamic festivals are : Eid Al Fitr , -LRB- -RRB- is celebrated on the 1st day of Shawwal , the 10th month of Islamic calendar .","Eid Al Adha , -LRB- -RRB- is celebrated on the 10th day of Dhu al-Hijjah , the 12th month of Islamic calendar .","Eid Al Fitr is celebrated on the 1st day of Shawwal , the 10th month of Islamic calendar .",996,0.604508221,0.998375118,-0.524067521,0.899461269,0.935213447,-1.831193209,"['The', 'two', 'Islamic', 'festivals', 'are', ':', 'Eid', 'Al', 'Fitr', ',', '-LRB-', '-RRB-', 'is', 'celebrated', 'on', 'the', '1st', 'day', 'of', 'Shawwal', ',', 'the', '10th', 'month', 'of', 'Islamic', 'calendar', '.']",Eid Al Fitr is celebrated on the 1st day of Shawwal the 10th month of Islamic calendar,The two Islamic festivals are Eid Al Fitr LRB RRB is celebrated on the 1st day of Shawwal the 10th month of Islamic calendar
1006,"Another common misconception is that PERSON@1 was named for PERSON@2 , who worked with PERSON@3 in designing and constructing Muppets , particularly on LOCATION@1 . But Love 's association with PERSON@3 did not begin until well after PERSON@1 's creation , and he always denied any connection between his name and that of the character .",PERSON@1 was PERSON@3 's trademark fictional character .,"But Love 's association with PERSON@3 did not begin until well after PERSON@1 's creation , and he always denied any connection between his name and that of the character .",1006,0.421950493,0.999918163,-0.603834569,0.27891907,0.940616548,-3.475611687,"['Another', 'common', 'misconception', 'is', 'that', 'PERSON@1', 'was', 'named', 'for', 'PERSON@2', ',', 'who', 'worked', 'with', 'PERSON@3', 'in', 'designing', 'and', 'constructing', 'Muppets', ',', 'particularly', 'on', 'LOCATION@1', '.', 'But', 'Love', ""'s"", 'association', 'with', 'PERSON@3', 'did', 'not', 'begin', 'until', 'well', 'after', 'PERSON@1', ""'s"", 'creation', ',', 'and', 'he', 'always', 'denied', 'any', 'connection', 'between', 'his', 'name', 'and', 'that', 'of', 'the', 'character', '.']",But Love s association with PERSON@3 did not begin until well after PERSON@1 s creation and he always denied any connection between his name and that of the character,Another common misconception is that PERSON@1 was named for PERSON@2 who worked with PERSON@3 in designing and constructing Muppets particularly on LOCATION@1 But Love s association with PERSON@3 did not begin until well after PERSON@1 s creation and he always denied any connection between his name and that of the character
1012,"Gichin Funakoshi -LRB- '' Father of Modern Karate '' -RRB- titled his autobiography Karate-Do : My Way of Life in recognition of the transforming nature of karate study . Today karate is practiced for self-perfection , for cultural reasons , for self-defense and as a sport .",Karate became more known around the world because of Karate movies in the 1960s and 1970s .,"Today karate is practiced for self-perfection , for cultural reasons , for self-defense and as a sport .",1012,0.299811098,0.999860227,-0.583913088,0.319384393,0.031611592,-3.253284931,"['Gichin', 'Funakoshi', '-LRB-', ""''"", 'Father', 'of', 'Modern', 'Karate', ""''"", '-RRB-', 'titled', 'his', 'autobiography', 'Karate-Do', ':', 'My', 'Way', 'of', 'Life', 'in', 'recognition', 'of', 'the', 'transforming', 'nature', 'of', 'karate', 'study', '.', 'Today', 'karate', 'is', 'practiced', 'for', 'self-perfection', ',', 'for', 'cultural', 'reasons', ',', 'for', 'self-defense', 'and', 'as', 'a', 'sport', '.']",Today karate is practiced for self perfection for cultural reasons for self defense and as a sport,Gichin Funakoshi LRB Father of Modern Karate RRB titled his autobiography Karate Do My Way of Life in recognition of the transforming nature of karate study Today karate is practiced for self perfection for cultural reasons for self defense and as a sport
1014,"For a padded plaintext message , the encryption function is .",For a padded message the encryption function is :,"For a plaintext padded message , the encryption function is .",1014,0.900887609,0.707945228,-1.647534966,0.889045235,0.74532336,-2.563875675,"['For', 'a', 'padded', 'plaintext', 'message', ',', 'the', 'encryption', 'function', 'is', '.']",For a plaintext padded message the encryption function is,For a padded plaintext message the encryption function is
1016,It was created from a part of the Duchy of LOCATION@1 . It is the only French department which has no French name ; LOCATION@2 is in LOCATION@3 .,Morbihan is a department found in the west of LOCATION@4 in the LOCATION@1 region .,It is the only French department which has no French name ; LOCATION@2 is in LOCATION@3 .,1016,0.52830556,0.999201059,-0.586576521,0.507954515,0.640748858,-3.450250387,"['It', 'was', 'created', 'from', 'a', 'part', 'of', 'the', 'Duchy', 'of', 'LOCATION@1', '.', 'It', 'is', 'the', 'only', 'French', 'department', 'which', 'has', 'no', 'French', 'name', ';', 'LOCATION@2', 'is', 'in', 'LOCATION@3', '.']",It is the only French department which has no French name LOCATION@2 is in LOCATION@3,It was created from a part of the Duchy of LOCATION@1 It is the only French department which has no French name LOCATION@2 is in LOCATION@3
1026,"He is credited with designing the city and organizing its amenities and infrastructure , and is considered one of the founding fathers of Odessa , together with another Frenchman , Count Louis Alexandre Andrault de Langeron , who succeeded him in office .","He is credited with designing the city and organising its amenities and infrastructure , and is considered one of the founding fathers of Odessa , together with another Frenchman , Count Alexandre Langeron , who succeeded him in office .","He is credited with designing the city and organizing its amenities and infrastructure , and is considered one of the founding fathers of Odessa .",1026,0.551909161,0.999441504,-0.661021113,0.833508635,0.99297142,-1.347355485,"['He', 'is', 'credited', 'with', 'designing', 'the', 'city', 'and', 'organizing', 'its', 'amenities', 'and', 'infrastructure', ',', 'and', 'is', 'considered', 'one', 'of', 'the', 'founding', 'fathers', 'of', 'Odessa', ',', 'together', 'with', 'another', 'Frenchman', ',', 'Count', 'Louis', 'Alexandre', 'Andrault', 'de', 'Langeron', ',', 'who', 'succeeded', 'him', 'in', 'office', '.']",He is credited with designing the city and organizing its amenities and infrastructure and is considered one of the founding fathers of Odessa,He is credited with designing the city and organizing its amenities and infrastructure and is considered one of the founding fathers of Odessa together with another Frenchman Count Louis Alexandre Andrault de Langeron who succeeded him in office
1027,He is one of PERSON@1 's friend that helps him get out of trouble .,He is one of Yvons friend that helps him get out of trouble .,He is one of PERSON@1 's friends that helps him get out of trouble .,1027,0.961271226,0.563632965,-0.605508447,0.938667095,0.932255447,-2.708189487,"['He', 'is', 'one', 'of', 'PERSON@1', ""'s"", 'friend', 'that', 'helps', 'him', 'get', 'out', 'of', 'trouble', '.']",He is one of PERSON@1 s friends that helps him get out of trouble,He is one of PERSON@1 s friend that helps him get out of trouble
1032,The municipality comprises only the town of Lichtervelde proper .,Lichtervelde is a municipality located in the Belgian province of West Flanders .,The municipality includes only the town of Lichtervelde proper .,1032,0.941419983,0.689474583,-0.923814476,0.739032114,0.995701551,-2.195513964,"['The', 'municipality', 'comprises', 'only', 'the', 'town', 'of', 'Lichtervelde', 'proper', '.']",The municipality includes only the town of Lichtervelde proper,The municipality comprises only the town of Lichtervelde proper
1053,Sunni view that PERSON@1 was the first person to be given the title :,Views of Sunni and Shia,Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title : Sunni view that PERSON@1 was the first person to be given the title,1053,1.0,0.0,-0.440858483,0.820514143,0.987608194,-5.383541107,"['Sunni', 'view', 'that', 'PERSON@1', 'was', 'the', 'first', 'person', 'to', 'be', 'given', 'the', 'title', ':']",Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title Sunni view that PERSON@1 was the first person to be given the title,Sunni view that PERSON@1 was the first person to be given the title
1080,Moreover he claimed individuals were able judge whether external ideas and actions as true or just .,He also claimed individuals were able judge if external ideas and actions were true or just .,Moreover he claimed individuals were able to judge whether external ideas and actions as true or just .,1080,0.966577649,0.994979858,-0.601289749,0.95334138,0.976529062,-1.416999459,"['Moreover', 'he', 'claimed', 'individuals', 'were', 'able', 'judge', 'whether', 'external', 'ideas', 'and', 'actions', 'as', 'true', 'or', 'just', '.']",Moreover he claimed individuals were able to judge whether external ideas and actions as true or just,Moreover he claimed individuals were able judge whether external ideas and actions as true or just
1086,The lake is fed partly by underground springs although its main source is the LOCATION@1 which flows through it from north to south .,It is not a real sea - it is called a sea because of tradition .,The lake is fed partly by underground springs although its main source is the LOCATION@1 which flows through it north to south .,1086,0.863707922,0.974702775,-0.730190277,0.74899439,0.000156152,-4.586272717,"['The', 'lake', 'is', 'fed', 'partly', 'by', 'underground', 'springs', 'although', 'its', 'main', 'source', 'is', 'the', 'LOCATION@1', 'which', 'flows', 'through', 'it', 'from', 'north', 'to', 'south', '.']",The lake is fed partly by underground springs although its main source is the LOCATION@1 which flows through it north to south,The lake is fed partly by underground springs although its main source is the LOCATION@1 which flows through it from north to south
1116,"Roger Charles Louis Guillemin -LRB- born January 11 , 1924 in Dijon , Bourgogne , France -RRB- received the National Medal of Science in 1976 , and the Nobel prize for medicine in 1977 for his work on neurohormones , sharing the prize that year with Andrew Schally and Rosalyn Sussman Yalow .",Nicholas Wade -LRB-/O1981/O-RRB- .,"Roger Charles Louis Guillemin -LRB- born January 11 , 1924 in Dijon , Bourgogne , France -RRB- received the National Medal of Science in 1976 , and the Nobel prize for medicine in 1977 for his work on neurohormones .",1116,0.628034876,0.0,-0.342406839,0.502314032,0.007536559,-4.638571262,"['Roger', 'Charles', 'Louis', 'Guillemin', '-LRB-', 'born', 'January', '11', ',', '1924', 'in', 'Dijon', ',', 'Bourgogne', ',', 'France', '-RRB-', 'received', 'the', 'National', 'Medal', 'of', 'Science', 'in', '1976', ',', 'and', 'the', 'Nobel', 'prize', 'for', 'medicine', 'in', '1977', 'for', 'his', 'work', 'on', 'neurohormones', ',', 'sharing', 'the', 'prize', 'that', 'year', 'with', 'Andrew', 'Schally', 'and', 'Rosalyn', 'Sussman', 'Yalow', '.']",Roger Charles Louis Guillemin LRB born January 11 1924 in Dijon Bourgogne France RRB received the National Medal of Science in 1976 and the Nobel prize for medicine in 1977 for his work on neurohormones,Roger Charles Louis Guillemin LRB born January 11 1924 in Dijon Bourgogne France RRB received the National Medal of Science in 1976 and the Nobel prize for medicine in 1977 for his work on neurohormones sharing the prize that year with Andrew Schally and Rosalyn Sussman Yalow
1118,"Andrea del Verrocchio -LRB- c. 1435 -- 1488 -RRB- , born Andrea di Michele di Francesco de ' Cioni , was an Italian sculptor , goldsmith and painter who worked at the court of Lorenzo de ' Medici in Florence .",Verrocchio was born in Florence in 1435 .,Andrea del Verrocchio -LRB- c.,1118,0.130523999,0.591671765,-1.278414965,0.760705986,0.974321008,-2.195729971,"['Andrea', 'del', 'Verrocchio', '-LRB-', 'c.', '1435', '--', '1488', '-RRB-', ',', 'born', 'Andrea', 'di', 'Michele', 'di', 'Francesco', 'de', ""'"", 'Cioni', ',', 'was', 'an', 'Italian', 'sculptor', ',', 'goldsmith', 'and', 'painter', 'who', 'worked', 'at', 'the', 'court', 'of', 'Lorenzo', 'de', ""'"", 'Medici', 'in', 'Florence', '.']",Andrea del Verrocchio LRB c,Andrea del Verrocchio LRB c 1435 1488 RRB born Andrea di Michele di Francesco de Cioni was an Italian sculptor goldsmith and painter who worked at the court of Lorenzo de Medici in Florence
