,source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,new_pred_sentences,new_src_sentence
492,"Puyi -LRB- -RRB- -LRB- February NUMBER@1 NUMBER@2 October NUMBER@3 NUMBER@4 -RRB- , of the PERSON@1 ruling family , was the last Emperor of LOCATION@1 .",Puyi -LRB- February NUMBER@1 NUMBER@2 October NUMBER@3 -RRB- was the last Emperor of LOCATION@1.,"Pu-yi -LRB- February NUMBER@1 , NUMBER@2 October NUMBER@3 , NUMBER@4 -RRB- was the last Emperor of LOCATION@1 .",492,0.551936313,0.952982724,-1.658125639,0.543087131,0.980299771,-1.780727029,Puyi LRB February NUMBER@1 NUMBER@2 October NUMBER@3 RRB was the last Emperor of LOCATION@1,Puyi LRB RRB LRB February NUMBER@1 NUMBER@2 October NUMBER@3 NUMBER@4 RRB of the PERSON@1 ruling family was the last Emperor of LOCATION@1
494,"Rüßmann was one of the crop of players that committed perjury in the affair and got , as a consequence , punished with a fine by a court in 1975 .","Rüßmann was one of the players that committed perjury in the affair and got, as a result, punished with a fine by a court in 1975.",Total 20 1,494,0.837265674,0.977396548,-1.408290505,0.662570216,0.000979887,-7.704319,R mann was one of the players that committed perjury in the affair and got as a result punished with a fine by a court in 1975,R mann was one of the crop of players that committed perjury in the affair and got as a consequence punished with a fine by a court in 1975
495,Argon has atomic number NUMBER@1 and is the third element in group NUMBER@1 of the periodic table -LRB- noble gases -RRB- .,Argon has atomic number NUMBER@1 and is the third element in the group NUMBER@1 of the periodic table -LRB- noble gases -RRB-.,Argon is a chemical element .,495,0.977424204,0.99963665,-1.078879595,0.784086764,0.881952047,-4.168868542,Argon has atomic number NUMBER@1 and is the third element in the group NUMBER@1 of the periodic table LRB noble gases RRB,Argon has atomic number NUMBER@1 and is the third element in group NUMBER@1 of the periodic table LRB noble gases RRB
498,"Termites mostly feed on dead plant material , generally in the form of wood , leaf litter , soil , or animal dung , and about NUMBER@1 percent of the estimated NUMBER@2 species -LRB- about NUMBER@3 taxonomically known -RRB- are economically significant as pests that can cause serious structural damage to buildings , crops or plantation forests .","Termites mostly feed on dead plant material, usually in the form of wood, leaf litter, soil, or animal dung. About NUMBER@1 percent of the estimated NUMBER@2 species -LRB- about NUMBER@3 taxonomically known -RRB- are economically significant as pests that can cause serious structural damage to buildings, crops or plantation forests.","There are an estimated NUMBER@2 species -LRB- about NUMBER@3 taxonomically known -RRB- . About NUMBER@1 % are pests which can cause serious structural damage to buildings , crops or plantation forests .",498,0.9253949,0.0,-0.619271755,0.85353408,0.999668419,-1.255006194,Termites mostly feed on dead plant material usually in the form of wood leaf litter soil or animal dung About NUMBER@1 percent of the estimated NUMBER@2 species LRB about NUMBER@3 taxonomically known RRB are economically significant as pests that can cause serious structural damage to buildings crops or plantation forests,Termites mostly feed on dead plant material generally in the form of wood leaf litter soil or animal dung and about NUMBER@1 percent of the estimated NUMBER@2 species LRB about NUMBER@3 taxonomically known RRB are economically significant as pests that can cause serious structural damage to buildings crops or plantation forests
500,"Beham is best known as a prolific printmaker , producing approximately 252 engravings , 18 etchings and 1500 woodcuts , including woodcut book illustrations .","Beham is best known as a printmaker, producing approximately 252 engravings, 18 etchings and 1500 woodcuts, including woodcut book illustrations.","Beham made about 252 engravings , 18 etchings and 1500 woodcuts .",500,0.879785434,0.99711442,-1.283485293,0.843575585,0.997216344,-2.008957148,Beham is best known as a printmaker producing approximately 252 engravings 18 etchings and 1500 woodcuts including woodcut book illustrations,Beham is best known as a prolific printmaker producing approximately 252 engravings 18 etchings and 1500 woodcuts including woodcut book illustrations
501,"The entertainment industry has been criticized for depicting those with Tourette syndrome as social misfits whose only tic is coprolalia , which has furthered stigmatization and the public 's misunderstanding of those with Tourette 's . The coprolalic symptoms of Tourette 's are also fodder for radio and television talk shows in the US and in the British media .","The entertainment industry has been criticized for portraying those with Tourette syndrome as social misfits whose only tic is coprolalia, which has furthered stigmatization and the public's misunderstanding of those with Tourette syndrome.","Tourette syndrome can also be called Tourette 's syndrome , Tourette 's disorder , GTS , Tourette 's , or TS .",501,0.602693545,0.999733269,-0.654049873,0.530765934,0.761033416,-2.793245077,The entertainment industry has been criticized for portraying those with Tourette syndrome as social misfits whose only tic is coprolalia which has furthered stigmatization and the public s misunderstanding of those with Tourette syndrome,The entertainment industry has been criticized for depicting those with Tourette syndrome as social misfits whose only tic is coprolalia which has furthered stigmatization and the public s misunderstanding of those with Tourette s The coprolalic symptoms of Tourette s are also fodder for radio and television talk shows in the US and in the British media
502,The year NUMBER@1 is pronounced either '' twenty ten '' or '' two thousand -LRB- and -RRB- ten '' .,The year NUMBER@1 is pronounced either '' twenty ten '' or '' two thousand ''.,The year NUMBER@1 is either pronounced '' twenty-ten '' or '' two thousand -LRB- and -RRB- ten '' .,502,0.729293285,0.995187163,-1.34580934,0.780218941,0.999846101,-1.011988997,The year NUMBER@1 is pronounced either twenty ten or two thousand,The year NUMBER@1 is pronounced either twenty ten or two thousand LRB and RRB ten
503,"Prior to the 1988 -- 89 season , the Pistons moved to Auburn Hills to play at The Palace of Auburn Hills .","Before the 1988-1989 season, the Pistons moved to Auburn Hills to play at The Palace of Auburn Hills.",The team 's home arena is The Palace of Auburn Hills .,503,0.904322459,0.966124296,-0.914069593,0.818264095,0.999867737,-2.803470612,Before the 1988 1989 season the Pistons moved to Auburn Hills to play at The Palace of Auburn Hills,Prior to the 1988 89 season the Pistons moved to Auburn Hills to play at The Palace of Auburn Hills
504,"Jenna Welch Bush Hager -LRB- born November 25 , 1981 ; Dallas , Texas -RRB- , is the younger of the fraternal twin daughters -LRB- the other is Barbara Pierce Bush -RRB- of the 43rd U.S. President George W. Bush and former First Lady Laura Bush , and a granddaughter of the 41st U.S. President George H. W. Bush .","She is the younger of the twin daughters -LRB- the younger is Barbara Pierce Bush -RRB- of the 43rd U.S. President George W. Bush and former First Lady Laura Bush, and a granddaughter of the 41st U.S. President George H. W. Bush.","Jenna Welch Hager -LRB- born Jenna Welch Bush November 25 , 1981 -RRB- is the younger of two fraternal twin girls born to George W. Bush , President of the United States .",504,0.653943405,0.0,-0.686645865,0.648386678,0.0,-2.413296938,She is the younger of the twin daughters LRB the younger is Barbara Pierce Bush RRB of the 43rd U S President George W Bush and former First Lady Laura Bush and a granddaughter of the 41st U S President George H W Bush,Jenna Welch Bush Hager LRB born November 25 1981 Dallas Texas RRB is the younger of the fraternal twin daughters LRB the other is Barbara Pierce Bush RRB of the 43rd U S President George W Bush and former First Lady Laura Bush and a granddaughter of the 41st U S President George H W Bush
505,This was later issued as part of a compilation DVD from the series .,This was later shown as part of a compilation DVD from the series.,This was later put on a DVD of the series .,505,0.920999261,0.426911443,-1.505825996,0.892585174,0.698871136,-2.678806543,This was later shown as part of a compilation DVD from the series,This was later issued as part of a compilation DVD from the series
506,"Like Jane 's Addiction , many of the most popular early 1990s groups with roots in heavy metal fall under the umbrella term '' alternative metal . '' Bands in Seattle 's grunge scene such as Soundgarden , credited as making a '' place for heavy metal in alternative rock '' , and Alice in Chains were at the center of the alternative metal movement .","Like Jane's Addiction, many of the most popular early 1990s bands with roots in heavy metal fall under the umbrella term '' alternative metal ''.","In the 1990s , a new form of heavy metal developed , called alternative metal .",506,0.367866014,0.99963212,-1.175047636,0.343088555,0.99914515,-3.300784826,Like Jane s Addiction many of the most popular early 1990s bands with roots in heavy metal fall under the umbrella term alternative metal,Like Jane s Addiction many of the most popular early 1990s groups with roots in heavy metal fall under the umbrella term alternative metal Bands in Seattle s grunge scene such as Soundgarden credited as making a place for heavy metal in alternative rock and Alice in Chains were at the center of the alternative metal movement
507,"In 2002 , Cygnet Books published The Legend of Moondyne Joe , a work of juvenile fiction written by Mark Greenwood and illustrated by FranÃ Lessac .","In 2002, Cygnet Books published The Legend of Moondyne Joe, a work of juvenile fiction written and illustrated by Fran Lessac.","In 2002 , Cygnet Books published The Legend of Moondyne Joe , by Mark Greenwood and pictures by FranÃ Lessac .",507,0.794191737,0.988896787,-1.043479681,0.819018126,0.849681437,-1.33621335,In 2002 Cygnet Books published The Legend of Moondyne Joe a work of juvenile fiction written and illustrated by Fran Lessac,In 2002 Cygnet Books published The Legend of Moondyne Joe a work of juvenile fiction written by Mark Greenwood and illustrated by Fran Lessac
508,"In NUMBER@1 , coins were introduced -LRB- dated NUMBER@2 -RRB- in denominations of NUMBER@3 , NUMBER@4 , NUMBER@5 , NUMBER@6 , NUMBER@7 and NUMBER@8 centÅ , NUMBER@3 , NUMBER@4 and NUMBER@5 litai . The NUMBER@3 , NUMBER@4 and NUMBER@5 centai pieces were minted in aluminium , the NUMBER@6 , NUMBER@7 and NUMBER@8 centÅ in bronze and the litas coins were of cupro-nickel .","In NUMBER@1, coins were introduced -LRB- dated NUMBER@2 -RRB- in denominations of NUMBER@3, NUMBER@4, NUMBER@5, NUMBER@7 and NUMBER@8 cent, NUMBER@3, NUMBER@4 and NUMBER@5 litai.","In present days , there are NUMBER@9 coins -LRB- NUMBER@3 , NUMBER@4 , NUMBER@5 , NUMBER@6 , NUMBER@8 cents and NUMBER@3 , NUMBER@4 and NUMBER@5 LTL -RRB- and NUMBER@10 banknotes -LRB- NUMBER@6 , NUMBER@7 , NUMBER@8 , NUMBER@11 , NUMBER@12 and NUMBER@13 LTL -RRB- in use .",508,0.413588732,0.0,-0.765124738,0.402176377,0.0,-2.131125689,In NUMBER@1 coins were introduced LRB dated NUMBER@2 RRB in denominations of NUMBER@3 NUMBER@4 NUMBER@5 NUMBER@7 and NUMBER@8 cent NUMBER@3 NUMBER@4 and NUMBER@5 litai,In NUMBER@1 coins were introduced LRB dated NUMBER@2 RRB in denominations of NUMBER@3 NUMBER@4 NUMBER@5 NUMBER@6 NUMBER@7 and NUMBER@8 cent NUMBER@3 NUMBER@4 and NUMBER@5 litai The NUMBER@3 NUMBER@4 and NUMBER@5 centai pieces were minted in aluminium the NUMBER@6 NUMBER@7 and NUMBER@8 cent in bronze and the litas coins were of cupro nickel
510,"Economy In former times the main income source from the inhabitants was agriculture , however later in the 18th century the weaving mill of lines became more and more important .","Economy In the past times the main income source from the inhabitants was agriculture, but later in the 18th century the weaving mill of lines became more and more important.","In former times most of the people were farmers , however later in the 18th century the production of textiles became more and more important .",510,0.947768083,0.976725876,-1.379908681,0.882698249,0.99995029,-1.861091614,Economy In the past times the main income source from the inhabitants was agriculture but later in the 18th century the weaving mill of lines became more and more important,Economy In former times the main income source from the inhabitants was agriculture however later in the 18th century the weaving mill of lines became more and more important
512,Boiry-Saint-Rictrude is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France.,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,512,0.770054189,0.9984411,-1.178801179,0.772767826,0.9984411,-1.399866462,It is found in the region Nord Pas de Calais in the Pas de Calais department in the north of France,Boiry Saint Rictrude is a commune in the Pas de Calais department in the Nord Pas de Calais region of France
513,Anti-racism policies In NUMBER@1 PERSON@1 revived the free anti-racism Music festival now called Rise : ORGANIZATION@1 .,In NUMBER@1 PERSON@1 revived the free anti-racism Music festival now called Rise : ORGANIZATION@1.,Racism policies In NUMBER@1 PERSON@1 revived the free anti-racism Music festival now called Rise : ORGANIZATION@1 .,513,0.771173316,0.999191642,-0.367754132,0.791986877,0.999920845,-1.120373726,In NUMBER@1 PERSON@1 revived the free anti racism Music festival now called Rise ORGANIZATION@1,Anti racism policies In NUMBER@1 PERSON@1 revived the free anti racism Music festival now called Rise ORGANIZATION@1
516,She has been the runner-up in three Grand Slam singles tournaments and won the women 's doubles title at the NUMBER@1 US Open with PERSON@1 .,She won the women's doubles title at the NUMBER@1 US Open with PERSON@1.,"She has won one Grand Slam title , the women 's double title at the NUMBER@1 U.S. Open with her partner PERSON@1 .",516,0.456578904,0.997206032,-0.718102515,0.468892929,0.999649405,-2.239173651,She won the women s doubles title at the NUMBER@1 US Open with PERSON@1,She has been the runner up in three Grand Slam singles tournaments and won the women s doubles title at the NUMBER@1 US Open with PERSON@1
518,Pompéjac is a commune in the LOCATION@1 department in LOCATION@2 in southwestern LOCATION@3 .,Pompéjac is a commune. It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3.,It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .,518,0.939545631,0.754495561,-2.630462885,0.825876892,0.70607096,-2.390739441,Pomp jac is a commune It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3,Pomp jac is a commune in the LOCATION@1 department in LOCATION@2 in southwestern LOCATION@3
519,"Hägar the Horrible is the title and main character of an American comic strip created by cartoonist Dik Browne -LRB- 1917 -- 1989 -RRB- , and syndicated by King Features Syndicate .","Hägar the Horrible is the title and main character of Hägar the Horrible, an American comic strip created by cartoonist Dik Browne -LRB- 1917-1989 -RRB-.",Hägar the Horrible is the title of a comic strip and the name of the main character .,519,0.768887759,0.976048887,-1.269640446,0.716543632,0.986940145,-2.361562729,H gar the Horrible is the title and main character of H gar the Horrible an American comic strip created by cartoonist Dik Browne LRB 1917 1989 RRB,H gar the Horrible is the title and main character of an American comic strip created by cartoonist Dik Browne LRB 1917 1989 RRB and syndicated by King Features Syndicate
520,"Y suke PERSON@1 -LRB- , born February NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 , LOCATION@3 -RRB- is a Japanese football player who currently plays for the ORGANIZATION@1 team ORGANIZATION@2 .",Y suke PERSON@1 -LRB- born NUMBER@1 February NUMBER@2 -RRB- is a Japanese football player. He plays for ORGANIZATION@3 and LOCATION@2 national team.,References,520,0.677167181,0.999931812,-2.279936552,0.530045666,0.0,-8.269968987,Y suke PERSON@1 LRB born NUMBER@1 February NUMBER@2 RRB is a Japanese football player He plays for ORGANIZATION@3 and LOCATION@2 national team,Y suke PERSON@1 LRB born February NUMBER@1 NUMBER@2 in LOCATION@1 LOCATION@2 LOCATION@3 RRB is a Japanese football player who currently plays for the ORGANIZATION@1 team ORGANIZATION@2
524,"All of WesermÃ 1\/4 nde , including those parts , which prior did not belong to LOCATION@1 , was a postwar enclave run by the LOCATION@2 within the British zone of northern LOCATION@3 . In NUMBER@1 the city became part of the LOCATION@4 -LRB- ORGANIZATION@1 -RRB- and was consequently renamed from WesermÃ 1\/4 nde to LOCATION@1 .","All of Weserm 1/4 nde, including parts which prior did not belong to LOCATION@1, was a postwar enclave run by the LOCATION@2 within the British zone of northern LOCATION@3.",WesermÃ 1\/4 nde and LOCATION@1 were unified in the year NUMBER@2 to WesermÃ 1\/4 nde .,524,0.442329358,0.0,-0.919803143,0.434233044,0.826846659,-2.31360364,All of Weserm 1 4 nde including parts which prior did not belong to LOCATION@1 was a postwar enclave run by the LOCATION@2 within the British zone of northern LOCATION@3,All of Weserm 1 4 nde including those parts which prior did not belong to LOCATION@1 was a postwar enclave run by the LOCATION@2 within the British zone of northern LOCATION@3 In NUMBER@1 the city became part of the LOCATION@4 LRB ORGANIZATION@1 RRB and was consequently renamed from Weserm 1 4 nde to LOCATION@1
526,"He died suddenly on NUMBER@1 January NUMBER@2 , leaving over Â # NUMBER@3 to the town trustees of LOCATION@1 for public use .","He died suddenly on January NUMBER@1, leaving over  # NUMBER@3 to the town trustees of LOCATION@1 for public use.","He died on NUMBER@1 January NUMBER@2 , leaving over Â # NUMBER@3 to the town trustees of LOCATION@1 so that it can be used for the public .",526,0.845405368,0.926506341,-1.019127131,0.877797377,0.994717836,-1.282621145,He died suddenly on January NUMBER@1 leaving over NUMBER@3 to the town trustees of LOCATION@1 for public use,He died suddenly on NUMBER@1 January NUMBER@2 leaving over NUMBER@3 to the town trustees of LOCATION@1 for public use
527,"Transformation may also be used to describe the insertion of new genetic material into nonbacterial cells including animal and plant cells , however , because transformation has a special meaning in relation to animal cells indicating progression to a cancerous state , the term should be avoided for animal cells when describing introduction of exogenous genetic material .","Transformation may also be used to describe the insertion of new genetic material into non-bacterial cells including animal and plant cells, however, because transformation has a special meaning in relation to animal cells indicating progression to cancerous state, the term should be avoided for animal cells when describing introduction of exogenous genetic material.",Transformation may also used to describe the insertion of new genetic material into nonbacterial cells including animal and plant cells .,527,0.958622159,0.0,-0.661876202,0.87738143,0.999320567,-1.142872095,Transformation may also be used to describe the insertion of new genetic material into non bacterial cells including animal and plant cells however because transformation has a special meaning in relation to animal cells indicating progression to cancerous state the term should be avoided for animal cells when describing introduction of exogenous genetic material,Transformation may also be used to describe the insertion of new genetic material into nonbacterial cells including animal and plant cells however because transformation has a special meaning in relation to animal cells indicating progression to a cancerous state the term should be avoided for animal cells when describing introduction of exogenous genetic material
531,The Young Turk Revolution played a significant role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party .,The Young Turk Revolution played a large role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party.,The ORGANIZATION@1 was a political group .,531,0.93166491,0.913404703,-0.623512149,0.810424708,0.799433947,-2.439813137,The Young Turk Revolution played a large role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party,The Young Turk Revolution played a significant role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party
533,"PERSON@1 -LRB- born March NUMBER@1 , NUMBER@2 -RRB- is an American television and film actor best known for playing PERSON@2 on the ORGANIZATION@1 sitcom The Big Bang Theory , with his performance often cited as a significant reason for the program 's success .","PERSON@1 -LRB- born March NUMBER@1, NUMBER@2 -RRB- is an American television and film actor best known for playing PERSON@2 on the ORGANIZATION@1 sitcom The Big Bang Theory.","PERSON@1 -LRB- born March NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is an American actor . PERSON@3 is best known for playing the role of PERSON@2 in the television show , The Big Bang Theory .",533,0.608840177,0.999922574,-0.701192021,0.599819894,0.999762833,-2.084278822,PERSON@1 LRB born March NUMBER@1 NUMBER@2 RRB is an American television and film actor best known for playing PERSON@2 on the ORGANIZATION@1 sitcom The Big Bang Theory,PERSON@1 LRB born March NUMBER@1 NUMBER@2 RRB is an American television and film actor best known for playing PERSON@2 on the ORGANIZATION@1 sitcom The Big Bang Theory with his performance often cited as a significant reason for the program s success
534,"39\/Smooth is the debut album by the American punk rock band Green Day . It was released on April NUMBER@1 , NUMBER@2 through Lookout !","39/Smooth is the debut album by the American punk rock band Green Day, released on April NUMBER@1, NUMBER@2.",39\/Smooth was released as the debut album by Green Day in NUMBER@2 on Lookout !,534,0.731746101,0.944139063,-1.714378357,0.738571119,0.999753654,-3.826520205,39 Smooth is the debut album by the American punk rock band Green Day released on April NUMBER@1 NUMBER@2,39 Smooth is the debut album by the American punk rock band Green Day It was released on April NUMBER@1 NUMBER@2 through Lookout
537,Politics at the local level in Howell County is completely controlled by the Republican Party . All of Howell County 's elected officeholders are Republicans .,All of Howell County's elected officeholders are Republicans.,"It was named for James Howell , who made the first settlement in Howell Valley .",537,0.341146015,0.99935782,-0.53006053,0.316567192,0.009880978,-4.104556084,All of Howell County s elected officeholders are Republicans,Politics at the local level in Howell County is completely controlled by the Republican Party All of Howell County s elected officeholders are Republicans
539,The ORGANIZATION@1 launched in LOCATION@1 the Chevrolet Captiva SUV . The latest models launched by ORGANIZATION@1 is the Chevrolet Beat & the LOCATION@2 .,The ORGANIZATION@1 launched in LOCATION@1 the Chevrolet Captiva SUV.,PERSON@1 was born in LOCATION@3 .,539,0.388532312,0.997962177,-1.015572548,0.352419913,0.013778321,-4.406904697,The ORGANIZATION@1 launched in LOCATION@1 the Chevrolet Captiva SUV,The ORGANIZATION@1 launched in LOCATION@1 the Chevrolet Captiva SUV The latest models launched by ORGANIZATION@1 is the Chevrolet Beat the LOCATION@2
541,Mariac is a commune in the ArdÃ che department in southern France .,Mariac is a commune in the Ard che d partement in southern France.,Mariac is a commune in the ArdÃ che dÃ partement in southern France .,541,0.890193498,0.592185616,-2.878275394,0.959142902,0.492580086,-2.925857544,Mariac is a commune in the Ard che d partement in southern France,Mariac is a commune in the Ard che department in southern France
542,External links Beresford Municipal Telephone Company website The Beresford Republic - the city 's weekly newspaper Beresford School District website Beresford Library website Beresford History from the Union County Historical Society website Beresford History from the Regional Histories website .,External links Beresford Municipal Telephone Company website The Beresford Republic - the city's weekly newspaper Beresford Library website Beresford History from the Union County Historical Society website Beresford History from the Regional Histories website.,Other websites City of Beresford Official Website Beresford Municipal Telephone Company website The Beresford Republic - the city 's weekly newspaper Beresford School District website Beresford History from the Union County Historical Society website Beresford History from the Regional Histories website .,542,0.848469485,0.99984628,-0.673758984,0.854400349,0.912066162,-1.132141232,External links Beresford Municipal Telephone Company website The Beresford Republic the city s weekly newspaper Beresford Library website Beresford History from the Union County Historical Society website Beresford History from the Regional Histories website,External links Beresford Municipal Telephone Company website The Beresford Republic the city s weekly newspaper Beresford School District website Beresford Library website Beresford History from the Union County Historical Society website Beresford History from the Regional Histories website
544,"He wrestled in LOCATION@1 and LOCATION@2 for several major professional wrestling promotions in the LOCATION@3 wrestled in Extreme Championship Wrestling -LRB- ORGANIZATION@1 -RRB- , World Championship Wrestling -LRB- WCW -RRB- , and in World Wrestling Entertainment -LRB- then ORGANIZATION@2 , later renamed to WWE -RRB- .","He wrestled in LOCATION@1 and LOCATION@2 for several major professional wrestling promotions in the LOCATION@3, in Extreme Championship Wrestling -LRB- ORGANIZATION@1 -RRB-, World Championship Wrestling -LRB- WCW -RRB-, and in World Wrestling Entertainment -LRB- then ORGANIZATION@2, later renamed to WWE -RRB-.",WWE United States Championship -LRB- NUMBER@1 time -RRB- -LRB- First -RRB-,544,0.919484354,0.0,-0.914354444,0.750494228,0.944829941,-3.462251663,He wrestled in LOCATION@1 and LOCATION@2 for several major professional wrestling promotions in the LOCATION@3 in Extreme Championship Wrestling LRB ORGANIZATION@1 RRB World Championship Wrestling LRB WCW RRB and in World Wrestling Entertainment LRB then ORGANIZATION@2 later renamed to WWE RRB,He wrestled in LOCATION@1 and LOCATION@2 for several major professional wrestling promotions in the LOCATION@3 wrestled in Extreme Championship Wrestling LRB ORGANIZATION@1 RRB World Championship Wrestling LRB WCW RRB and in World Wrestling Entertainment LRB then ORGANIZATION@2 later renamed to WWE RRB
545,"But the protocol also permits active management tasks , such as modifying and applying a new configuration .","The protocol also allows active management tasks, such as modifying and applying a new configuration.","But the protocol also allows active management tasks , such as modifying and applying a new configuration .",545,0.891070732,0.960606515,-0.708829939,0.932826712,0.948753953,-1.339182973,The protocol also allows active management tasks such as modifying and applying a new configuration,But the protocol also permits active management tasks such as modifying and applying a new configuration
546,"Algae -LRB- or ; singular alga , Latin for '' seaweed '' -RRB- are a large and diverse group of simple , typically autotrophic organisms , ranging from unicellular to multicellular forms , such as the giant kelps that grow to 65 meters in length .","Algae -LRB- Latin for '' seaweed '' -RRB- are a large and diverse group of simple, usually autotrophic organisms, ranging from unicellular to multicellular forms, such as the giant kelps that grow to 65 meters in length.",Biology and taxonomy,546,0.842100797,0.999652863,-0.794225931,0.644410101,0.124543041,-4.409664154,Algae LRB Latin for seaweed RRB are a large and diverse group of simple usually autotrophic organisms ranging from unicellular to multicellular forms such as the giant kelps that grow to 65 meters in length,Algae LRB or singular alga Latin for seaweed RRB are a large and diverse group of simple typically autotrophic organisms ranging from unicellular to multicellular forms such as the giant kelps that grow to 65 meters in length
547,"The dish is related to sukiyaki in style , where both use thinly sliced meat and vegetables , and usually served with dipping sauces , but it is considered to be more savory and less sweet than sukiyaki .","The dish is similar to sukiyaki in style, where both use thinly sliced meat and vegetables, and usually served with dipping sauces, but it is considered to be more savory and less sweet than sukiyaki.","The dish uses thinly sliced meat and vegetables , and it is usually served with dipping sauces of ponzu and\/or sesame sauce .",547,0.948265955,0.990873456,-0.549630821,0.874725802,0.948824286,-2.967813969,The dish is similar to sukiyaki in style where both use thinly sliced meat and vegetables and usually served with dipping sauces but it is considered to be more savory and less sweet than sukiyaki,The dish is related to sukiyaki in style where both use thinly sliced meat and vegetables and usually served with dipping sauces but it is considered to be more savory and less sweet than sukiyaki
548,"From 1991 to 2002 , Zambia was governed by president Frederick Chiluba of the social-democratic Movement for Multi-Party Democracy .","From 1991 to 2002, Zambia was governed by president Frederick Chiluba of the Social-democratic Movement for Multi-Party Democracy.",Zambia is now a multi-party democracy .,548,0.957775626,0.999940872,-0.734158933,0.801760247,0.021969793,-2.889111757,From 1991 to 2002 Zambia was governed by president Frederick Chiluba of the Social democratic Movement for Multi Party Democracy,From 1991 to 2002 Zambia was governed by president Frederick Chiluba of the social democratic Movement for Multi Party Democracy
550,Taipei County is located in northern Taiwan .,Taipei County is located in the north of Taiwan.,Taipei County is located in northern Taiwan and it circles Taipei City .,550,0.959259391,0.807037055,-1.694646597,0.982186973,0.35016495,-3.199908495,Taipei County is located in the north of Taiwan,Taipei County is located in northern Taiwan
551,Demographics Valais is predominantly French - and Arpitan-speaking .,Demographics Valais is mostly French speaking.,Demographics Valais is mostly French speaking .,551,0.619254501,0.58412993,-3.194603205,0.625952026,0.58412993,-3.939595222,Demographics Valais is mostly French speaking,Demographics Valais is predominantly French and Arpitan speaking
552,"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 â '' October NUMBER@3 , NUMBER@4 -RRB- was an African-American civil rights activist , whom the LOCATION@1 ORGANIZATION@1 called '' the first lady of civil rights '' , and '' the mother of the freedom movement '' .","PERSON@1 -LRB- February NUMBER@1, NUMBER@2 â '' October NUMBER@3, NUMBER@4 -RRB- was an African-American civil rights activist. The LOCATION@1 ORGANIZATION@1 called her '' the first lady of civil rights '', and the mother of the freedom movement ''.","PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 â '' October NUMBER@3 , NUMBER@4 -RRB- was an African-American seamstress and civil rights activist . She was called the '' Mother of the Modern-Day Civil Rights Movement '' .",552,0.926983431,0.0,-1.008580446,0.907221438,0.0,-1.634990573,PERSON@1 LRB February NUMBER@1 NUMBER@2 October NUMBER@3 NUMBER@4 RRB was an African American civil rights activist The LOCATION@1 ORGANIZATION@1 called her the first lady of civil rights and the mother of the freedom movement,PERSON@1 LRB February NUMBER@1 NUMBER@2 October NUMBER@3 NUMBER@4 RRB was an African American civil rights activist whom the LOCATION@1 ORGANIZATION@1 called the first lady of civil rights and the mother of the freedom movement
553,More than NUMBER@1 federal agency personnel had been deployed to help out with the cleanup from Hurricane PERSON@1 .,More than NUMBER@1 federal agency personnel had been sent to help out with the cleanup from Hurricane PERSON@1.,More than NUMBER@1 federal agency personnel had been sent out to help out with the cleanup from Hurricane PERSON@1 .,553,0.934516286,0.916945338,-0.986882925,0.950890374,0.846654356,-1.193041444,More than NUMBER@1 federal agency personnel had been sent to help out with the cleanup from Hurricane PERSON@1,More than NUMBER@1 federal agency personnel had been deployed to help out with the cleanup from Hurricane PERSON@1
554,Sant ` Antonino is a municipality in the district of Bellinzona in the canton of Ticino in Switzerland .,Sant  Antonino is a municipality of the district Bellinzona in the canton of Ticino in Switzerland.,Sant ` Antonino is a municipality of the district Bellinzona in the canton of Ticino in Switzerland .,554,0.916930354,0.89835614,-1.431642175,0.945156663,0.917792737,-1.800491571,Sant Antonino is a municipality of the district Bellinzona in the canton of Ticino in Switzerland,Sant Antonino is a municipality in the district of Bellinzona in the canton of Ticino in Switzerland
