,source_sentence,pred,bart_score_gold
2227,", Sarawak , British North Borneo and the Federation of Malaya joined to form Malaysia on 16 September 1963 .","Singapore, Sarawak, British North Borneo and the Federation of Malaya joined to form Malaysia on 16 September 1963.",-3.592437267
2228,"theorem , a theorem in computational complexity theory","The PCP theorem, a theorem in computational complexity theory",-4.539820671
2229,"Pius VI never accepted the Civil Constitution of the Clergy , further isolating the Church in France .","Pope Pius VI never accepted the Civil Constitution of the Clergy, further isolating the Church in France.",-4.378917694
2230,balls may also be eaten alone as a snack or served as part of a meze .,Falafel balls can be eaten alone as a snack or served as part of a meze.,-1.37652719
2231,period spanned the years from NUMBER@1 to NUMBER@2 .,This period spanned the years from NUMBER@1 to NUMBER@2.,-5.791260719
2232,"the time a girl reaches school-age , this hormonal influence has stopped and the hymen becomes thin , smooth , delicate and almost translucent .","By the time a girl is school-age, this hormonal influence has stopped and the hymen becomes thin, smooth, delicate and almost translucent.",-3.006159544
2233,is a cover album by the American heavy metal band ORGANIZATION@2 .,ORGANIZATION@1 is a cover album by the American heavy metal band ORGANIZATION@2.,-7.405882359
2234,"play their home games in the Stadium of Light , an all-seater , having moved from LOCATION@1 in NUMBER@1 for a stadium of higher capacity .","ORGANIZATION@1 play their home games in the Stadium of Light, an all-seater, having moved from LOCATION@1 in NUMBER@1 for a stadium of higher capacity.",-2.289051056
2235,observers believe that this election marked the beginning of the end of the SchrÃ der government and indicates a process in which the ORGANIZATION@1 party seems to shrink and\/or fall apart .,Many observers believe that this election marked the beginning of the end of the Schr der government and indicates a process in which the ORGANIZATION@1 party seems to shrink and fall apart.,-1.20169282
2236,major twist of the season was the fake merge .,The biggest twist of the season was the fake merge.,-1.139365077
2237,"the next seven years , he pioneered the principles of the design of experiments and elaborated his studies of '' analysis of variance '' .","Over the next seven years, he worked out the principles of the design of experiments and developed his studies of '' analysis of variance ''.",-0.920024574
2238,"Castle is situated in the town of Warwick , on a sandstone bluff at a bend of the River Avon .","Warwick Castle is situated in the town of Warwick, on a sandstone bluff at a bend of the River Avon.",-2.822920322
2239,"se is said to have been invented in 1776 by the cook of Charles Theodore , Elector of Bavaria , although this story has been heavily contested .","Leberk se was invented in 1776 by the cook of Charles Theodore, Elector of Bavaria.",-3.665406704
2240,", PERSON@1 and PERSON@2 still insisted they oust lazy PERSON@3 .","Although, PERSON@1 and PERSON@2 still insisted they oust lazy PERSON@3.",-1.851471186
2241,PERSON@1 caused death and destruction in LOCATION@1 and LOCATION@2 due to flooding .,Hurricane PERSON@1 caused death and destruction in LOCATION@1 and LOCATION@2 due to flooding.,-3.52063179
2242,"is the UK 's oldest extant symphony orchestra -LRB- and the fourth oldest in the world -RRB- , supports a choir and a youth orchestra , and releases its recordings on its own record label , though it has occasionally released recordings on Angel Records and EMI .","It is the UK's oldest extant symphony orchestra -LRB- and the fourth oldest in the world -RRB-, supports a choir and a youth orchestra, and releases its recordings on its own record label, though it has occasionally released recordings on Angel Records and EMI.",-5.271699429
2243,"draw also determines which semi-final the '' Big Five '' countries -LRB- France , Germany , Spain , the United Kingdom and Italy -RRB- will vote in .","The draw also determines which semi-final the '' Big Five '' countries -LRB- France, Germany, Spain, the United Kingdom and Italy -RRB- will vote in.",-1.774906874
2244,"diprotodonts include the rhinoceros-sized Diprotodon , and PERSON@1 , the so-called '' marsupial lion '' .","Extinct species include the rhinoceros-sized Diprotodon, and PERSON@1, the so-called '' marsupial lion.",-2.91447258
2245,"Western Long-beaked ORGANIZATION@1 is present in LOCATION@1 , in regions of elevation above NUMBER@1 m and up to NUMBER@2 m ; it is absent from the southern lowlands and north coast .","The Western Long-beaked ORGANIZATION@1 is present in LOCATION@1, in regions of elevation above NUMBER@1 m and up to NUMBER@2 m ; it is absent from the southern lowlands and north coast.",-0.680239975
2246,Born -LRB- 11 December 1882 -- 5 January 1970 -RRB- was a German-born physicist and mathematician who was instrumental in the development of quantum mechanics .,"Max Born -LRB- December 11, 1882 -- January 5, 1970 -RRB- was a German-born physicist and mathematician.",-2.473551512
2247,varieties are popular with home growers and can be grown indoors during winter months and in colder climates .,Dwarf varieties are popular with home growers and can be grown indoors during winter months.,-5.871625423
2248,or the History of a Young Lady 's Entrance into the World is a novel written by English author Frances Burney and first published in 1778 .,Evelina or the History of a Young Lady's Entrance into the World is a novel written by English author Frances Burney in 1778.,-7.134081364
2249,"head of government of each state is called the Premier , appointed by the state 's Governor .","The head of government of each state is called the Premier, appointed by the Governor of the state.",-1.385583043
2250,"have been featured in television and film , including Frank the Pug in the film Men in Black , its sequel and the follow-up animated series .","Pugs have been in TV and movies, including Frank the Pug in the film Men in Black, its sequel and the follow-up animated series.",-1.979861736
2251,"was founded in NUMBER@1 by PERSON@1 and PERSON@2 as a coeducational , non-sectarian institution where admission was offered irrespective of religion or race .","ORGANIZATION@1 was founded in NUMBER@1 by PERSON@1 and PERSON@2 as a coeducational, non-sectarian institution where admission was offered irrespective of religion or race.",-1.232534528
2252,"the last century , the concept of valence evolved into a range of approaches for describing the chemical bond , including PERSON@1 structures -LRB-/O1916/O-RRB- , valence bond theory -LRB-/O1927/O-RRB- , molecular orbitals -LRB-/O1928/O-RRB- , valence shell electron pair repulsion theory -LRB-/O1958/O-RRB- and all the advanced methods of quantum chemistry .","Over the last century, the concept of valence evolved into a range of approaches for describing the chemical bond, including PERSON@1 structures -LRB-/O1916/O-RRB-, valence bond theory -LRB-/O1927/O-RRB-, molecular orbitals -LRB-/O1928/O-RRB-, valence shell electron pair repulsion theory -LRB-/O19",-3.879956722
2253,"day , prisoners were ordered to rise at NUMBER@1 hours , wash , clean their cells and the corridor together , eat breakfast , stay in the garden until lunch-time at noon -LRB- weather permitting -RRB- , have a post-lunch rest in their cells , then return to the garden .","Every day, prisoners were ordered to rise at NUMBER@1 hours, wash their cells and the corridor together, eat breakfast, stay in the garden until lunch-time at noon -LRB- weather permitting -RRB-, have a post-lunch rest in their cells, then return to the garden.",-1.195329547
2254,of LINEAR 's discoveries were made using robotic telescopes .,All of LINEAR's discoveries were made using robotic telescopes.,-3.029747009
2255,"-LRB- Ench in Kréyòl -RRB- is a city in central Haiti , near the border with the Dominican Republic .","Hinche is a city in central Haiti, near the border with the Dominican Republic.",-2.691093206
2256,"service provides free resources and activities for teachers and students , primarily through its website .","The service provides free resources and activities for teachers and students, primarily through its website.",-4.262072563
2257,PERSON@1 made a solo album under the name PERSON@2 on allmusic.com .,After PERSON@1 made a solo album under the name PERSON@2 on allmusic.com.,-6.425724506
2258,is a commune in the Sarthe department in the region of Pays-de-la-Loire in northwestern France .,It is found in the region Pays de la Loire in the Sarthe department in the west of France.,-2.151506662
2259,PERSON@1 built the LOCATION@1 's first LOCATION@2 .,President PERSON@1 built the first LOCATION@2.,-4.348425865
2260,is a commune in the Calvados department in the Basse-Normandie region in northwestern France .,It is found in the region Basse-Normandie in the Calvados department in the northwest of France.,-2.626626015
2261,cook constantly mixes and chops the mixture using two spatulas .,The cook constantly mixes and chops the mixture using two spatulas.,-3.689375401
2262,"belongs to the Himalia group , five moons orbiting between NUMBER@1 and NUMBER@2 Gm from LOCATION@1 at an inclination of about NUMBER@3 ° .","PERSON@1 belongs to the Himalia group, five moons orbiting between NUMBER@1 and NUMBER@2 Gm from LOCATION@1 at an inclination of about NUMBER@3 °.",-1.51067996
2263,"& ndash ; Francisco Franco , dictator of Spain -LRB- d. 1975 -RRB-","1892 -- Francisco Franco, dictator of Spain -LRB- died 1975 -RRB-",-1.575994015
2264,"starred in the Las Vegas original cast of the musical '' Avenue Q '' , and spent time starring in the national tour as an understudy for the role of Christmas Eve .","She starred in the Las Vegas original cast of the musical '' Avenue Q '', and spent time starring in the national tour as an understudy for the role of Christmas Eve.",-3.19143343
2265,"-LRB- Shayyar -RRB- , a man who writes Urdu poetry","Share -LRB- Shayyar -RRB-, a man who writes Urdu poetry",-6.288969517
2266,"land and infrastructure is owned by a separate company , ORGANIZATION@1 Ltd./ORGANIZATION.","The land and infrastructure are owned by a separate company, ORGANIZATION@1 Ltd./ORGANIZATION.",-1.087467074
2267,"emphasized self-help and intellectual uplift of the masses as an alternative , stating that British imperialism was a '' political symptom of our social disease '' , urging Indians to accept that '' there can be no question of blind revolution , but of steady and purposeful education '' .","He emphasized self-help and intellectual uplift of the masses as an alternative, stating that British imperialism was a '' political symptom of our social disease '', urging Indians to accept that '' there can be no question of blind revolution, but of steady and purposeful education. ''",-1.001912117
2268,"did not face resistance by the Austrian Army -- on the contrary , the German troops were greeted by cheering Austrians with Hitler salutes , Nazi flags and flowers .","They faced no resistance by the Austrian Army, but the German troops were welcomed by cheering Austrians with Hitler salutes, Nazi flags and flowers.",-1.446625471
2269,is a municipality in the district of PERSON@1 in the canton of LOCATION@1 in LOCATION@2 .,Balsthal is a municipality of the district PERSON@1 in the canton of LOCATION@1 in LOCATION@2.,-1.253991961
2270,trilobites developed bizarre spines and nodules to defend against predators such as primitive sharks and nautiloids while other trilobites such as Aeglina prisca evolved to become swimming forms .,Many trilobites developed bizarre spines and nodules to defend against predators such as primitive sharks and nautiloids. Other trilobites such as Aeglina prisca evolved to become swimming forms.,-0.797125518
2271,-LRB- German : ; ; ; -RRB- is the capital of the Canton of Glarus in Switzerland .,Glarus is the capital of the Canton of Glarus in Switzerland.,-4.213527679
2272,"then attempted to perform a springboard hurricanrana on Orton , who moved out of the way , causing Mysterio to execute the move on Angle .","Mysterio then attempted to perform a springboard hurricanrana on Orton, who moved out of the way, causing Mysterio to execute the move on Angle.",-0.827634752
2273,"municipal area is NUMBER@1 km , with a mountainous territory within the LOCATION@1 of the LOCATION@2 and watered by the rivers LOCATION@3 and PERSON@1 .","The municipal area is NUMBER@1 km, with a mountainous territory within the LOCATION@1 of the LOCATION@2 and watered by the rivers LOCATION@3 and PERSON@1.",-0.816634715
2274,", NUMBER@2 , NUMBER@3 , passim ; PERSON@1 -LRB-/O1998/O-RRB- , pp .","NUMBER@1, NUMBER@2, NUMBER@3.",-5.107569695
2275,"can not use rollback on a page which has only been edited by one person , as there would be nothing to revert to .","Rollback cannot be used on a page which has only been edited by one person, there would be nothing to revert to.",-4.468317986
2276,"Olive -LRB- -RRB- , PERSON@1 europaea , is a species of a small tree in the family Oleaceae , native to the coastal areas of the eastern LOCATION@1 -LRB- the adjoining coastal areas of southeastern LOCATION@2 , western LOCATION@3 and northern LOCATION@4 -RRB- as well as northern LOCATION@5 at the south end of the LOCATION@6 .","The Olive -LRB- -RRB-, PERSON@1 europaea, is a species of small tree in the family Oleaceae. It grows in coastal areas of eastern LOCATION@1 -LRB- the adjoining coastal areas of southeastern LOCATION@2, western LOCATION@3 and northern LOCATION@4 -RRB- as well as northern LOCATION@5 at the south end of the LOCATION@6",-2.155828953
2277,"has previously played for the ORGANIZATION@1 , ORGANIZATION@2 , ORGANIZATION@3 , who originally drafted him 16th overall in the NUMBER@1 ORGANIZATION@4 Entry Draft .","He has played for the ORGANIZATION@1, ORGANIZATION@2, ORGANIZATION@3, who originally drafted him 16th overall in the NUMBER@1 ORGANIZATION@4 Entry Draft.",-1.298882604
2278,"'' CTF Edition '' was reviewed positively by Phoronix , a Linux-focused hardware and software review website , as well as Linux.com , a website providing news related to free and open source software .","The '' CTF Edition '' was reviewed positively by Phoronix, a Linux-focused hardware and software review website, as well as Linux.com, a website providing news related to free and open source software.",-1.974172473
2279,appears on the cover of -LRB- What 's the Story -RRB- Morning Glory ?,PERSON@1 appears on the cover of '' What's the Story '' Morning Glory?,-2.610786438
2280,-LRB- -RRB- is a Bengali film by Bangladeshi filmmaker PERSON@2 .,PERSON@1 -LRB- -RRB- is the first Bengali film made by Bangladeshi filmmaker PERSON@2.,-2.397953033
2281,"is an influential city for the northern parts of the country and the capital of the Central Macedonia Periphery , the Thessaloniki Prefecture and at the Municipality of Thessaloniki .","It is the capital of the Central Macedonia Periphery, the Thessaloniki Prefecture and at the Municipality of Thessaloniki.",-2.156469584
2282,began its associating with ORGANIZATION@1 by boring the Kent out to NUMBER@1 c for the ORGANIZATION@2 NUMBER@2 .,Cosworth started its associating with ORGANIZATION@1 by boring the Kent out to NUMBER@1 c for the ORGANIZATION@2 NUMBER@2.,-2.429402828
2283,"instance , an armoire desk is a desk built within a large wardrobe-like cabinet , and a portable desk is light enough to be placed on a person 's lap .","For instance, an armoire desk is a desk built within a large wardrobe-like cabinet, and a portable desk is light enough to be placed on a person's lap.",-3.249835968
2284,"of our senses operate in a logarithmic fashion -LRB- Weber -- Fechner law -RRB- , which makes logarithmic scales for these input quantities especially appropriate .","Some of our senses operate in a logarithmic manner -LRB- Weber law -RRB-, which makes logarithmic scales for these input quantities especially appropriate.",-5.815312862
2285,"based on the Formula One driver results legend template , but adjusted for accuracy regarding American motorsports cultural idiosyncracies .","Originally based on the Formula One driver results legend template, but adjusted for accuracy regarding American motorsports cultural idiosyncracies.",-1.892177701
2286,"-- 0 Wales -LRB- Glasgow , Scotland ; 26 March 1876 -RRB-","4 -- 0 Wales -LRB- Glasgow, Scotland ; 26 March 1876 -RRB-",-6.93225193
2287,"projects about 320 k into the Bering Sea between Norton Sound , the Bering Strait , the Chukchi Sea , and Kotzebue Sound , just below the Arctic Circle .","It projects about 320 k into the Bering Sea between Norton Sound, the Bering Strait, the Chukchi Sea, and Kotzebue Sound just below the Arctic Circle.",-1.772748232
2288,", mania is most often associated with bipolar disorder , where episodes of mania may alternate with episodes of major depression .","mania is most often associated with bipolar disorder, where episodes of mania may alternate with episodes of major depression.",-5.72995472
2289,"also runs his own record label GOOD Music , home to artists such as PERSON@1 , Common and Kid Cudi .","West also has his own record label, GOOD Music, which has sold albums to PERSON@1, Common and Kid Cudi.",-2.220656872
2290,"left the lower division at the end of 1984 , although in 1986 a modified version of their final Formula Two car , the 283 , was entered without success in two rounds of the Formula 3000 championship which had replaced Formula Two in 1985 .","Minardi left the lower division at the end of 1984, but in 1986 a modified version of their final Formula Two car, the 283, was entered without success in two rounds of the Formula 3000 championship which had replaced Formula Two in 1985.",-1.20489049
2291,"Takita -LRB- born May 16 , 1967 in Saitama , Japan -RRB- is a Japanese former football player .",Yuki Takita -LRB- born 16 May 1967 -RRB- is a former Japanese football player.,-1.975350857
2292,an action role-playing video game developed by Vanpool and published by Nintendo for the Nintendo DS handheld game console .,It is a role-playing video game developed by Vanpool and published by Nintendo for the Nintendo DS handheld game console.,-1.407391548
2293,"Aar -LRB- German Aare -RRB- , a tributary of the LOCATION@1 , is the longest river that both rises and ends entirely within LOCATION@2 .",The Aar -LRB- German Aare -RRB- is the longest river that both rises and ends entirely within LOCATION@2.,-1.335812688
2294,'s Cathedrals : The Cathedral Church of Saint Albans p. NUMBER@1,The Cathedral of Saint Albans p. NUMBER@1,-6.784988403
2295,"-LRB- novel -RRB- , a novel by PERSON@1","Summertime -LRB- novel -RRB-, a book by PERSON@1",-4.043727875
2296,"by Herman Hollerith , the machine was developed to help process data for the 1890 U.S. Census .","Invented by Herman Hollerith, the machine was developed to help process data for the 1890 U.S. Census.",-2.359987497
2297,was also a member of the tennis team .,He was also a member of the tennis team.,-1.692585111
2298,"is frequently used as a standard of tastefulness , particularly in the areas of visual design and decoration .","It is used as a standard of tastefulness, especially in the areas of visual design and decoration.",-2.124565601
2299,"'' PERSON@2 '' PERSON@3 -LRB- born NUMBER@1 September NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch football manager and former midfielder .",PERSON@1 '' PERSON@2 '' PERSON@3 -LRB- born NUMBER@1 September NUMBER@2 -RRB- is a former Dutch football player.,-2.15390563
2300,"the North of the county coal is extracted , near Motru and Rovinari .","In the North of the county coal is extracted, near Motru and Rovinari.",-5.547689438
2301,"NUMBER@1 PERSON@1 merged with ORGANIZATION@1 , a competing '' sanitary engineering company '' established at LOCATION@1 near LOCATION@2 , LOCATION@3 in NUMBER@2 , producing the famous brand name PERSON@2 .","In NUMBER@1 PERSON@1 merged with ORGANIZATION@1, a competing '' sanitary engineering company '' established at LOCATION@1 near LOCATION@2 in NUMBER@2.",-3.031533003
2302,"LOCATION@1 valley was the territory of the PERSON@1 , divided in LOCATION@2 -LRB- South of the LOCATION@1 -RRB- and PERSON@2 -LRB- North of the LOCATION@1 -RRB- .","The LOCATION@1 valley was the territory of the PERSON@1, divided in two parts : LOCATION@2 -LRB- South of the LOCATION@1 -RRB- and PERSON@2 -LRB- North of the LOCATION@1 -RRB-.",-3.092303753
2303,"is the largest marine phylum , comprising about NUMBER@1 % of all the named marine organisms .","This is the largest marine phylum, comprising about NUMBER@1 % of all the named marine organisms.",-4.152908325
2304,"is tree-like in habit , which is reflected in its common names : PERSON@1 tree , LOCATION@1 palm , Tree yucca , and Palm tree yucca .","It is tree-like in habit, which is reflected in its common names : LOCATION@1 palm, Tree yucca, and Palm tree yucca.",-3.858743429
2305,"was a taxidermist for the ORGANIZATION@1 , where he met PERSON@2 .","PERSON@1 was a taxidermist for the ORGANIZATION@1, where he met PERSON@2.",-4.39659214
2306,"as small white discs , the photophores are larger and more complex at the tips of the arms and at the base of the two fins , but are absent from the underside of the caped arms .","The photophores are smaller and more complex at the tips of the arms and at the base of the two fins, but are absent from the underside of the caped arms.",-0.771860361
2307,"LÃ opold Nicolas FrÃ dÃ ric PERSON@1 -LRB- August NUMBER@1 , NUMBER@2 â '' May NUMBER@3 , NUMBER@4 -RRB- , known as PERSON@2 , was a French naturalist and zoologist .","Jean-L opold Nicolas Fr d ric PERSON@1 -LRB- August NUMBER@1, NUMBER@2 â '' May NUMBER@3, NUMBER@4 -RRB- was a French naturalist and zoologist.",-2.15533042
2308,Province of Rimini is a province in the Emilia-Romagna region of Italy .,The Province of Rimini is a province in the Emilia-Romagna region of Italy.,-1.279628038
2309,"often results from the bacterial break down of sulfites in nonorganic matter in the absence of oxygen , such as in swamps and sewers -LRB- anaerobic digestion -RRB- .","It often results from the bacterial break down of sulfites in non-organic matter in the absence of oxygen, such as in swamps and sewers.",-2.508057117
2310,"LOCATION@1 toad , PERSON@1 latastii , is a species of toad in the Bufonidae family .","The LOCATION@1 toad, PERSON@1 latastii, is a species of toad.",-0.878118753
2311,"Following the success of Grand Theft Auto : Vice City , consumers anticipated a new Grand Theft Auto game on the PlayStation NUMBER@1 in late NUMBER@2 .","History After the success of Grand Theft Auto : Vice City, fans anticipated a new Grand Theft Auto game on the PS4 in late NUMBER@2.",-3.464314461
2312,"film was released in United States theaters on March 30 , 2001 and on VHS and DVD on September 28 , 2001 .","The film was released in United States theaters on March 30, 2001 and on VHS and DVD on September 28, 2001.",-5.307064533
2313,"the June 11 edition of Raw , Benoit was drafted from SmackDown !","On the June 11, Benoit was drafted from SmackDown!",-1.383800149
2314,facilities Airolo is also a small ski-resort with 30km of prepared slopes .,Airolo is also a small ski resort with 30km of prepared slopes.,-1.064400554
2315,"-LRB- old spelling : PERSON@1 , French PERSON@2 -RRB- is a municipality located in the Belgian province of LOCATION@1 . The municipality comprises the towns of Onze-Lieve-Vrouw-Waver and Sint-Katelijne-Waver proper .",Sint-Katelijne-Waver is a municipality located in the Belgian province of LOCATION@1.,-0.572324038
2316,"ORGANIZATION@1 , the LOCATION@1 , and LOCATION@2 are the world 's three largest sugar beet producers , ORGANIZATION@2 And Producers - Countries By Commodity although only the ORGANIZATION@1 and LOCATION@3 are significant exporters of sugar from beets .","The ORGANIZATION@1, the LOCATION@1, and the LOCATION@2 are the world's three biggest sugar beet producers. Only the ORGANIZATION@1 and LOCATION@3 exporters of sugar from beets.",-1.450514913
2317,"for Pizza is a short novel by PERSON@1 , released on September NUMBER@1 , NUMBER@2 .",Playing for Pizza is a short story written by PERSON@1 and published in NUMBER@3.,-1.333707333
2318,nebula are reflection nebula that change in brightness because of changes in their star .,Variable nebula are reflection nebula that change in brightness because of changes in their star.,-2.115376234
2319,"are all extremophiles unicellular ; protostome animals found in similar environments include the LOCATION@1 worm , the psychrophilic Grylloblattodea -LRB- insects -RRB- , Antarctic krill -LRB- a crustacean -RRB- , and the '' water bear '' .","Neither are all extremophiles unicellular ; protostome animals found in similar environments include the LOCATION@1 worm, the psychrophilic Grylloblattodea -LRB- insects -RRB-, Antarctic krill -LRB- a crustacean -RRB-, and the '' water bear ''.",-4.906728745
2320,"released her second solo album , Beautiful Collision , in NUMBER@1 .","PERSON@1 released her second solo album, Beautiful Collision in NUMBER@1.",-3.781079054
2321,resulting zygote develops into an embryo inside the ovule .,The resulting zygote develops into an embryo inside the ovule.,-1.361148357
2322,"Korean War -LRB- 1950 -- 1953 -RRB- was a military conflict between the Republic of Korea , supported by the United Nations , and the Democratic People 's Republic of Korea and People 's Republic of China -LRB- PRC -RRB- , with air support from the Soviet Union .","The Korean War -LRB- 1950-1953 -RRB- was a military conflict between the Republic of Korea and the Democratic Peoples Republic of Korea and People's Republic of China -LRB- PRC -RRB-, with air support from the Soviet Union.",-5.259509087
2323,"notable death mask is that of PERSON@1 , taken on the island of Saint PERSON@2 and displayed at LOCATION@1 s ORGANIZATION@1 .","Another notable death mask is that of PERSON@1, taken on the island of Saint PERSON@2 and displayed at LOCATION@1 s ORGANIZATION@1.",-0.607383549
2324,& ndash ; The United Kingdom Terrorism Act 2006 becomes a law .,2006 - The United Kingdom Terrorism Act 2006 becomes law.,-5.287688732
2325,"November NUMBER@1 , the storm turned to the southwest , and the next day PERSON@1 deteriorated to tropical depression status as it curved westward . Early on November NUMBER@2 PERSON@1 moved ashore near LOCATION@1 , LOCATION@2 as a minimal tropical cyclone ; it turned northward into LOCATION@3 , and on November NUMBER@3 PERSON@1 dissipated over LOCATION@4 .","Early on November NUMBER@2 PERSON@1 moved ashore near LOCATION@1, LOCATION@2 as a minimal tropical cyclone ; it turned north into LOCATION@3, and on November NUMBER@3 PERSON@1 dissipated over LOCATION@4.",-2.531430721
2326,"to classical Jewish belief , the Temple acted as the figurative '' footstool '' of God 's presence and a Third Temple will be built there in the future .","According to classical Jewish belief, the Temple acted as the '' footstool '' of God's presence and a Third Temple will be built there in the future.",-2.068662405
2327,"Indonesian capital city , LOCATION@1 , is in west Java .","The Indonesian capital, LOCATION@1, is in west Java.",-3.295451403
2328,-LRB- and William James -RRB- posited that a '' true science of mind should seriously take into account all kinds of human experiences before prematurely accepting a theory of mind '' .,Myers -LRB- and William James -RRB- said that a '' true science of mind should seriously take into account all kinds of human experiences before prematurely accepting a theory of mind ''.,-5.132305145
2329,"-LRB- twice -RRB- Soul and body we 'll lay down for our freedom , And show , that we , the brotherhood , are of PERSON@1 stock .","CHORUS -LRB- twice -RRB- Soul and body we lay down for our freedom, And show, that we, the brotherhood, are of PERSON@1 stock.",-3.430483341
2330,"of ORGANIZATION@1 's southern declination , it can only be viewed south of latitude NUMBER@1 Â N. Red dwarfs such as ORGANIZATION@1 are far too faint to be seen with the naked eye ; even from Alpha Centauri A or B , PERSON@1 would only be seen as a fifth magnitude star .","Because of ORGANIZATION@1's southern declination, it can only be seen south of latitude NUMBER@1  N. Red dwarfs such as ORGANIZATION@1 are far too faint to be seen with the naked eye.",-1.126548409
2331,"band is composed of Damian Kulash -LRB- lead vocals and guitar -RRB- , Tim Nordwind -LRB- bass guitar and vocals -RRB- , Dan Konopka -LRB- drums and percussion -RRB- and Andy Ross -LRB- guitar , keyboards and vocals -RRB- , who joined them in 2005 , replacing Andy Duncan .","The band is made up of Damian Kulash -LRB- lead vocals and guitar -RRB-, Tim Nordwind -LRB- bass guitar and vocals -RRB-, Dan Konopka -LRB- drums and percussion -RRB- and Andy Ross -LRB- guitar, keyboards and vocals -RRB-.",-0.861798346
2332,also provided for an administration board to govern the principality until a permanent form of government could be established .,It also provided for an administration board to govern the principality until a permanent form of government could be established.,-1.228847623
2333,"is a village in LOCATION@2 , LOCATION@3 , LOCATION@4 ; it also extends slightly into LOCATION@5 .","LOCATION@1 is a small village in LOCATION@3, LOCATION@4.",-2.931038141
2334,is a Northwest Caucasian language spoken mainly by the Abkhaz people .,Abkhaz is a Northwest Caucasian language spoken mainly by the Abkhaz people.,-3.476980448
2335,Rosa County is a county located in the U.S. state of Florida .,Santa Rosa County is a county in Florida.,-2.273576736
2336,"is a state in the southeastern LOCATION@2 , on the LOCATION@3 . It is bordered to the west by the LOCATION@4 , to the north by LOCATION@5 and LOCATION@6 , and to the east by the LOCATION@7 .","LOCATION@1 is a state in the LOCATION@2 on the LOCATION@3, bordered to the west by the LOCATION@4, to the north by LOCATION@5 and LOCATION@6, and east by the LOCATION@7.",-1.187353253
2337,"was formally appointed and installed as Special Envoy for LOCATION@1 for the ORGANIZATION@1 , Scientific and Cultural Organization on November NUMBER@1 , NUMBER@2 , for a four-year term .","PERSON@1 was appointed and installed as Special Envoy for LOCATION@1 for the ORGANIZATION@1, Scientific and Cultural Organization on November NUMBER@1, NUMBER@2.",-1.103113413
2338,"have noted that PERSON@1 also addresses issues of class , courage , compassion , and gender roles in the American Deep South .","Scholars have noted that PERSON@1 also addresses issues of class, courage, compassion, and gender roles in the American Deep South.",-1.965754986
2339,is a phylum of invertebrate animals also known as ribbon worms or proboscis worms .,LOCATION@1 is a phylum of animals also known as ribbon worms or proboscis worms.,-8.255400658
2340,"and his father became minority owners of the ORGANIZATION@1 , incorporated in NUMBER@1 by PERSON@1 -LRB- the son of PERSON@2 , Sr -RRB- .","He and his father became owners of the ORGANIZATION@1, which was incorporated in NUMBER@1 by PERSON@1 -LRB- the son of PERSON@2, Sr -RRB-.",-0.92106688
2341,"has more members than any other college in LOCATION@1 or LOCATION@2 , with around NUMBER@1 undergraduates , NUMBER@2 graduates , and over NUMBER@3 Fellows -LRB- however , counting only the student body but not Fellows , ORGANIZATION@1 has somewhat fewer students than ORGANIZATION@2 -RRB- .","ORGANIZATION@1 has more members than any other college in LOCATION@1 or LOCATION@2, with around NUMBER@1 undergraduates, NUMBER@2 graduates, and over NUMBER@3 Fellows -LRB- however, counting only the student body but not Fellows, ORGANIZATION@1 has somewhat fewer students than ORGANIZATION@2.",-0.817744553
2342,is similar to porridge but is much more like a drink ; it has a very thin consistency and is made with water .,Gruel is similar to porridge but is much more like a drink ; it has a very thin consistency and is made with water.,-1.869961023
2343,"References T. V. Gamkrelidze and V. V. Ivanov , The Early History of Indo-European Languages , Scientific American , March 1990 I.M. Diakonoff , The Prehistory of the Armenian People -LRB- 1984 -RRB- .","References T. V. Gamkrelidze and V. V. Ivanov, The Early History of Indo-European Languages, Scientific American, March 1990 I.M. Diakonoff, The Prehistory of the Armenian People -LRB- 1984 -RRB-.",-1.388064861
2344,"accessed : 9 September 2010 to a story of an empress who had club-like feet , which became viewed as a desirable fashion .","Date accessed : 9 September 2010 to a story of an empress who had club-like feet, which became viewed as a desirable fashion.",-5.741142273
2345,"is known only from an opalised dentary fragment , with one premolar and two molars in situ .","It is known only from an opalised dentary fragment, with one premolar and two molars in situ.",-2.229128122
2346,"Mechanical Hand -LRB- NUMBER@1 , Combat Records -RRB-","The Mechanical Hand -LRB- NUMBER@1, Combat Records",-2.637792349
2347,"its discovery , Cupid was given the temporary designation S\/2003 U 2 .","Following its discovery, Cupid was given the designation S/2003 U 2.",-1.5186131
2348,"Boys -LRB- Summertime Love -RRB- '' , by Sabrina Salerno",'' Boys -LRB- Summertime Love -RRB- ''.,-1.552269578
2349,"an initiative launched together with the ORGANIZATION@1 , NUMBER@1 locations within the country were designated as ` hotspots ' , similar to Official BookCrossing Zones .","In an initiative launched together with the ORGANIZATION@1, NUMBER@1 locations within the country were designated as  hotspots ', similar to Official BookCrossing Zones.",-0.81638068
2350,"is the author of NUMBER@1 books , the best known of which is Night , a memoir that describes his experiences during the Holocaust and his imprisonment in several concentration camps .","He is the author of NUMBER@1 books. The best known is Night, a memoir that describes his experiences during the Holocaust and his imprisonment in several concentration camps.",-1.995438337
2351,", Nancy .","Jervis, Nancy.",-6.981110096
