,source_sentence,pred,bart_score
828,"However , Dr. Wily grows disloyal of his partner and reprograms these six robots to aid himself in taking control of the world .","'However, Dr. Wily grows disloyal of his partner and reprograms these six robots to aid him in taking control of the world.",-0.976930022
829,"Reporters Without Borders , or RWB -LRB- , , , , -RRB- is a Paris-based international non-governmental organization that advocates freedom of the press .",'Reporters Without Borders is a non-governmental organization in Paris that advocates for the press.,-1.907947898
830,"Academics from diverse disciplines participate and exchange ideas about predominantly Muslim societies , past and present .","'Academics from diverse disciplines participate and exchange ideas about predominantly Muslim societies, past and present.",-1.203398466
831,"While the municipality itself -LRB- city center -RRB- has a population -LRB- as of -RRB- of , the metropolitan area has 1,240,000 residents , according to a 2007 census .","'While the municipality itself -LRB- city center -RRB- has a population of, the metropolitan area has 1,240,000 residents, according to a 2007 census.",-0.831109881
832,"Beverly and Jack had one son , Wesley Crusher .","'Beverly and Jack had one son, Wesley Crusher.",-1.409074664
833,"Edguy 's lyrics are often metaphorical , alluding to metaphysical or social themes : conformity -LRB- '' The Headless Game '' , '' Mysteria '' , '' King of Fools '' -RRB- , dictation by the church -LRB- '' The Kingdom '' , '' The Pride of Creation '' , '' Theater of Salvation '' -RRB- , and dangers of modern civilization -LRB- '' Navigator '' , '' The Devil and the Savant '' -RRB- .","""The lyrics are often metaphorical, alluding to metaphysical or social themes : conformity -LRB- '' The Headless Game '', '' Mysteria '', '' King of Fools '' -RRB-, dictation by the church -LRB- '' The Kingdom '', '' The Pride of Creation '', '' Theater of Salvation '' -RRB-.",-1.113896847
834,"Inception premiered in LOCATION@1 on July NUMBER@1 , NUMBER@2 , and was released in both conventional and IMAX theaters on July NUMBER@3 , NUMBER@2 .","'Inception was first shown in LOCATION@1 on July NUMBER@1, NUMBER@2. It was released in both conventional and IMAX theaters on July NUMBER@3, NUMBER@2.",-0.934585512
835,"Further reading Wikibooks : Introduction to sociology PERSON@1 ,","'Further reading Wikibooks : Introduction to sociology PERSON@1, LOCATION@1",-2.073975086
836,"It is used for Test cricket , One Day International cricket , some rugby league and rugby union matches , and is the home ground for the New South Wales Blues cricket team and the Sydney Swans of the Australian Football League .","'It is used for Test cricket, One Day International cricket, rugby league and rugby union matches.",-1.152773142
837,"Henry III -LRB- 1 October 1207 â '' 16 November 1272 -RRB- was the son and successor of John as King of England , reigning for fifty-six years from 1216 to his death .","""Henry III -LRB- 1 October 1207 â '' 16 November 1272 -RRB- was the son and successor of John as King of England, reigning for fifty-six years from 1216 to his death.",-0.535435975
838,"With Martin Lovett as cellist , the Amadeus gave their first concert at the Wigmore Hall in 1948 .","'With Martin Lovett as cellist, the Amadeus gave their first concert at the Wigmore Hall in 1948.",-0.760931194
839,The NUMBER@1 LOCATION@1 bombings occurred on NUMBER@2 October NUMBER@1 in the tourist district of LOCATION@2 on the Indonesian island of LOCATION@1 .,'The NUMBER@1 LOCATION@1 bombings occurred on NUMBER@2 October NUMBER@1 in the tourist district of LOCATION@2 on the Indonesian island of LOCATION@1.,-0.491693884
840,"LOCATION@1 is externally bounded by the LOCATION@2 to the west , LOCATION@3 to the north , LOCATION@4 to the east , and LOCATION@5 and LOCATION@6 to the south ; internally it almost completely surrounds The LOCATION@7 , namely on the north , east and south , exempting LOCATION@7 's short LOCATION@2 coastline .","'LOCATION@1 is bounded by the LOCATION@2 to the west, LOCATION@3 to the north, LOCATION@4 to the east, and LOCATION@6 to the south.",-0.843203962
841,"Burbank is a city in Los Angeles County , California , United States .",'Burbank is a city of California in the United States.,-2.163691282
842,"Narvi , or Saturn XXXI , is a natural satellite of Saturn .","'Narvi, or Saturn XXXI, is a moon of Saturn.",-1.847362518
843,The state with the most is LOCATION@1 -LRB- NUMBER@1 -RRB- .,'The state with the most is LOCATION@1 -LRB- NUMBER@1 -RRB-.,-1.033622265
844,"As of August 2009 , 110 countries have joined the court , including nearly all of Europe and South America , and roughly half the countries in Africa .","'As of August 2009, 110 countries have joined the court, including nearly all of Europe and South America, and roughly half the countries in Africa.",-0.914415777
845,And no aliens ! '',"""And no aliens! ''",-2.036762714
846,"In Wufeng , a village in southern Taichung County , the damage was especially devastating ; the village 's Guangfu Junior High School lay directly on the fault line and was severely damaged by the quake .","""In Wufeng, a village in southern Taichung County, the damage was especially devastating ; the village's Guangfu Junior High School was directly on the fault line and was severely damaged by the earthquake.",-0.919576406
847,"In immunocompromised patients , Candida infections can affect the esophagus with the potential of becoming systemic , causing a much more serious condition , a fungemia called candidemia .","'In immunocompromised patients, Candida infections can affect the esophagus with the potential to become systemic, causing a much more serious condition, a fungemia called candidemia.",-0.986334622
848,"The national language is Malay , while English is used virtually exclusively as the working language and in general conversation .",'The national language is Malay.,-2.232874393
849,"They are best known worldwide for their NUMBER@1 transatlantic Top NUMBER@2 hit single , '' Connected '' .","""They are best known worldwide for their NUMBER@1 transatlantic Top NUMBER@2 single, '' Connected ''.",-1.211505175
850,"PERSON@1 , PERSON@2 and PERSON@3 -LRB-/O1972/O-RRB- .","'PERSON@1, PERSON@2 and PERSON@3 -LRB-/O1972/O-RRB-",-1.294588089
851,It was adopted as an official state religion by the ORGANIZATION@1 dynasty and the Manchu Qing dynasty that ruled LOCATION@1 .,'It was adopted as an official state religion by the ORGANIZATION@1 dynasty and the Manchu Qing dynasty that ruled LOCATION@1,-0.869925857
852,The game PokÃ mon Yellow features a Pikachu as the only available Starter PokÃ mon. .,'The Pok mon Yellow features a Pikachu as the only Pok mon..,-4.345603466
853,This location was previously used for Survivor : Pearl Islands and Survivor : All-Stars .,'This location was previously used for Survivor : All-Stars and Survivor : Pearl Islands.,-1.324166536
854,Nottinghamshire County Councilhttp : \/O/ \/O/ www.nottscc.gov.uk \/O/,'Nottinghamshire County Council http://www.nottscc.gov.uk /O/,-1.698154449
855,PERSON@1 is hyperactive and always exploring new things .,'PERSON@1 is always exploring new things.,-1.600288272
856,"They were founded in Los Angeles , California in 1969 mainly by Raymond Washington and Stanley Williams .","'They were founded in Los Angeles, California in 1969.",-1.57977128
857,"Historically , a great number of coinage metals -LRB- including alloys -RRB- and other materials have been used practically , artistically , and experimentally in the production of coins for circulation , collection , and metal investment , where bullion coins often serve as more convenient stores of assured metal quantity and purity than other bullion.Com prehensive list of metals and their alloys which have been used at various times , in coins for all types of purposes .","'Historically, a great number of coinage metals -LRB- including alloys -RRB- and other materials have been used in the production of coins for circulation, collection, and metal investment.",-0.69661206
858,Vichy -LRB- -RRB- is a commune in the department of Allier in LOCATION@1 in central LOCATION@2 .,'It is found in the region LOCATION@1 in the Allier department in the central of LOCATION@2.,-3.216251612
859,"These are elateriform larvae , and are found in the click beetle -LRB- Elateridae -RRB- and darkling beetle -LRB- Tenebrionidae -RRB- families .","'These are elateriform larvae, and are found in the click beetle -LRB- Elateridae -RRB- and darkling beetle -LRB- Tenebrionidae -RRB- families.",-0.621536076
860,"Another popular variant is summer biathlon , which combines cross-country running with riflery , and also modern biathlon and biathle , which combine running with swimming .","'Another popular type of biathlon is summer biathlon, which combines cross-country running with riflery. Modern biathlon and biathle combine running and swimming.",-1.052716255
861,"The Battle of ORGANIZATION@1 -LRB- January NUMBER@1 , NUMBER@2 -RRB- was a battle in which General PERSON@1 's revolutionary forces defeated British forces near ORGANIZATION@1 , LOCATION@1 .","""The Battle of ORGANIZATION@1 -LRB- January NUMBER@1, NUMBER@2 -RRB- was a battle in which General PERSON@1's revolutionary forces defeated British forces near ORGANIZATION@1, LOCATION@1.",-0.495146036
862,"'' Naughty Girl '' is an R&B -- disco song written by PERSON@1 , PERSON@2 , PERSON@3 , and PERSON@4 for PERSON@5 's debut solo album , Dangerously in Love -LRB-/O2003/O-RRB- .","""'' Naughty Girl '' is an R&B -- disco song by PERSON@1 and PERSON@2 from his album Dangerously in Love -LRB-/O2003/O-RRB-.",-1.2230407
863,The NUMBER@1 World Cup was won by LOCATION@1 who beat the ORGANIZATION@1 NUMBER@2 -- NUMBER@3 after extra time in the final .,'The NUMBER@1 World Cup was won by LOCATION@1 who beat the ORGANIZATION@1 NUMBER@2 -- NUMBER@3 after extra time in the final.,-0.461376369
864,"Physical compression is the result of the subjection of a material to compressive stress , resulting in reduction of volume .","'Physical compression is the result of the subjection of a material to compressive stress, resulting in reduction of volume.",-0.733522773
865,It is located approximately NUMBER@1 km south of LOCATION@1 .,'It is located about NUMBER@1 km south of LOCATION@1.,-1.348146439
866,"In the summer of NUMBER@1 , Cold War Kids signed to Downtown Records -LRB- home to PERSON@1 , Art Brut -RRB- and released their debut ORGANIZATION@1 that fall .","'In the summer of NUMBER@1, Cold War Kids signed to Downtown Records -LRB- home to PERSON@1, Art Brut -RRB- and released their debut album ORGANIZATION@1 that fall.",-0.776105523
867,The title chef in the culinary profession originates from the roots of haute cuisine in the 19th century .,'The title chef in the culinary profession comes from the roots of haute cuisine in the 19th century.,-1.069509983
868,Puyvert is a commune in the Vaucluse department in the Provence-Alpes-C ôte d'Azur region in southeastern France .,'It is found in the region Provence-Alpes-C ôte dAzur in the Vaucluse department in the south of France.,-1.888139725
869,"Royal Mail , Address Management Guide , -LRB-/O2004/O-RRB- Including the correct post town in the address increases the chances of a letter or parcel being delivered on time .","'Royal Mail, Address Management Guide, -LRB-/O2004/O-RRB-.",-1.546922565
870,The Anguidae is a large and diverse family of lizards native to the northern hemisphere .,'The Anguidae is a family of lizards that live in the northern hemisphere.,-1.296206713
871,"While at Langston , he once dribbled out the clock in a conference tournament game to ridicule an opponent , Southern University , which had just run up the score against an inferior team -LRB- Sam Huston College , later Huston-Tillotson University -RRB- , which incidentally , was coached by a young Jackie Robinson .","'While at Langston, he once dribbled out the clock in a conference tournament game to ridicule an opponent, Southern University.",-1.04419291
872,"He seemingly falls through the ground into a room below , now wearing a mask .",'He falls through the ground into a room below.,-1.813463449
873,"The Venus of Willendorf , also known as the Woman of Willendorf , is an 11.1 cm -LRB- 4 3/8 inches -RRB- high statuette of a female figure estimated to have been made between 24,000 BCE -- 22,000 BCE .","'The Venus of Willendorf, also known as the Woman of Willendorf, is an 11.1 cm -LRB- 4 3/8 inches -RRB- high statuette of a female figure estimated to have been made between 24,000 BCE and 22,000 BCE.",-0.485961556
874,"In NUMBER@1 , PERSON@1 arranged for Formula One to return to the LOCATION@1 for the first time since NUMBER@2 .","'In NUMBER@1, PERSON@1 made arrangements for Formula One to return to the LOCATION@1 for the first time since NUMBER@2.",-1.050665379
875,"The population of the city -LRB- commune -RRB- at the 1999 census was 70,850 inhabitants -LRB- 71,300 inhabitants as per February 2004 estimates -RRB- .","'The population of the city -LRB- commune -RRB- in 1999 was 70,850 inhabitants.",-1.023977757
876,"During this period , they also built a wind tunnel to test aerodynamics -LRB- how well something will fly -RRB- .","'During this period, they also built a wind tunnel to test aerodynamics -LRB- how well something will fly -RRB-.",-0.947547674
877,"Victor PiÅ # urcÄ -LRB- born 8 May 1956 in Orodel , Dolj County -RRB- is a former football striker , and former manager of U Craiova .","'Victor Pi # urc -LRB- born 8 May 1956 in Orodel, Dolj County -RRB- is a former Belgian football player.",-1.615738392
878,"The instruments played on the album include the mandolin , mandola , bass guitar , electric guitar , violin , and various percussion instruments .","'The instruments played on the album include the mandolin, mandola, bass guitar, electric guitar, violin, and other percussion instruments.",-1.190868855
879,ORGANIZATION@1 received a Master 's Degree in Jazz Improvisation and Education at age NUMBER@1 in the Spring of NUMBER@2 .,"""ORGANIZATION@1 received a Master's Degree in Jazz Education at age NUMBER@1.",-1.491599679
880,"The character å -LRB- pinyin : tu -RRB- , which stands for earth , is shown with å 1\/4 -LRB- pinyin : qiang -RRB- , which means strength and stability .","'The character  -LRB- pinyin : tu -RRB-, which stands for earth, is shown with  1/4 -LRB- pinyin : qiang -RRB-, which means strength and stability.",-1.240765095
881,Note that these treatments need to be prescribed and monitored carefully to avoid harmful side-effects such as neuroleptic malignant syndrome with the antipsychotic medications .,'Note that these treatments need to be prescribed and monitored carefully to avoid harmful side-effects such as neuroleptic malignant syndrome with the antipsychotic medications.,-0.669852436
882,PERSON@1 -LRB- NUMBER@1 May NUMBER@2 NUMBER@3 -RRB- was an Australian ORGANIZATION@1 politician and the 16th Premier of LOCATION@1 .,'PERSON@1 -LRB- NUMBER@1 May NUMBER@2 --RRB- was the 16th Premier of LOCATION@1.,-1.114893079
883,"In 2002 , Powell 's was cited by USA Today as one of America 's 10 best bookstores .","""In 2002, Powell's was listed by USA Today as one of America's 10 best bookstores.",-1.142344594
884,"Unesco and Esperanto Today , Esperanto is employed in world travel , Traveling network of Esperanto ; Pasporta Servo correspondence , cultural exchange , conventions , literature , language instruction , Esperanto Edukado.net television , Internacia Televido movies , Esperanto movies and radio broadcasting .","'Today, Esperanto is employed in world travel, Internacia Televido movies, Esperanto movies and radio broadcasting.",-1.551220655
885,Whewell was born in Lancaster .,"'Whewell was born in Lancaster, England.",-1.598887801
886,"Although he was not personally involved in the bombing of the ORGANIZATION@1 headquarters , PERSON@1 was , because of his association with the Underground Anarchists , a likely candidate for a frameup .","'Although he was not personally involved in the bombing of the ORGANIZATION@1 headquarters, PERSON@1 was, because of his association with the Underground Anarchists, a likely candidate for a frameup.",-0.55451858
887,"His assumption of spirit communication was validated by many contemporaries , among them many scientists and philosophers who attended séances and studied the phenomena .",'His assumption of spirit communication was validated by many scientists and philosophers.,-1.513752222
888,PERSON@1 was taking a NUMBER@1 hour exposure of Beta Aquarii to secure astrometric positions of asteroid NUMBER@2 Eunike .,'PERSON@1 was taking a NUMBER@1 hour exposure of Beta Aquarii to secure astrometric positions of asteroid NUMBER@2 Eunike.,-0.506973445
889,"As a consequence , for half the year -LRB- from around NUMBER@1 March to NUMBER@2 September -RRB- the northern hemisphere is inclined toward the Sun , with the maximum around NUMBER@3 June , while for the other half year the southern hemisphere has this distinction , with the maximum around NUMBER@3 December .","'As a consequence, for half the year -LRB- from around NUMBER@1 March to NUMBER@2 September -RRB- the northern hemisphere is inclined toward the Sun, with the maximum around NUMBER@3 June. The southern hemisphere has this distinction, with the maximum around NUMBER@3 December.",-0.70358938
890,"Long , light strings can vibrate at different resonant frequencies , each such frequency describing a different elementary particle .","'Long, light strings vibrate at different frequencies, each frequency describing a different elementary particle.",-1.838303685
891,"It has hard and stiff plumage , a brown casque , blue face and neck , red nape and two red wattles hanging down its throat .","'It has hard and stiff plumage, a brown casque, blue face and neck, red nape and two red wattles hanging down its throat.",-0.707913876
892,"PERSON@1 succeeds in abducting LOCATION@1 , but when PERSON@2 is about to escape with Blonde , they are caught by PERSON@3 -LRB- Aria : '' Ho , how I will triumph '' -RRB- , and PERSON@1 and LOCATION@1 are also brought back by the guard .","""PERSON@1 succeeds in abducting LOCATION@1, but when PERSON@2 is about to escape with Blonde, they are caught by PERSON@3 -LRB- Aria : '' Ho, how I will triumph '' -RRB-, and PERSON@1 and LOCATION@1 are also brought back by the guard.",-0.582250834
893,"In some cases , the terms aid in dying or death with dignity are preferred .","'In some cases, the terms aid in dying or death with dignity are preferred.",-1.169541955
894,"A far sharper image can be obtained using materials with a high refractive index , decreasing to the edges -- this decreases the focal length and thus allows a sharp image to form on the retina .","'A far sharper image can be obtained using materials with a high refractive index, decreasing to the edges -- this decreases the focal length and allows a sharp image to form on the retina.",-0.831871867
895,"Johnny Thunders and the Heartbreakers , also known as The Heartbreakers , were an American rock & roll band formed in New York in May 1975 .",'Johnny Thunders and the Heartbreakers were an American rock & roll band that formed in New York in May 1975.,-1.087215543
896,"On 1 March , 2001 , a satellite of Camilla was found by A. Storrs , F. Vilas , R. Landis , E. Wells , C. Woods , B. Zellner , and M. Gaffey using the Hubble Space Telescope IAUC 7599 .","'On 1 March 2001, a satellite of Camilla was found by A. Storrs, F. Vilas, R. Landis, E. Wells, C. Woods, B. Zellner, and M. Gaffey using the Hubble Space Telescope IAUC 7599.",-0.600328028
897,"He raises the signature to the power of -LRB- as he does when encrypting a message -RRB- , and compares the resulting hash value with the message 's actual hash value .","""He raises the signature to the power of -LRB- as he does when encrypting a message -RRB-, and compares the resulting hash value with the message's actual hash value.",-0.820533574
898,"Chester Burton Atkins -LRB- June 20 , 1924 -- June 30 , 2001 -RRB- , better known as Chet Atkins , was an American guitarist and record producer who created , along with Owen Bradley , the smoother country music style known as the Nashville sound , which expanded country 's appeal to adult pop music fans as well .",'Chester Burton Atkins -LRB- 20 June 1924 -- 30 June 2001 -RRB- was an American country music guitarist.,-1.749212027
899,PERSON@1 -- Drums on '' Fame '','PERSON@1 -- Drums on Fame,-2.859121084
900,"PERSON@1 -LRB- ; born June NUMBER@1 , NUMBER@2 -RRB- is an American film critic and screenwriter .","'PERSON@1 -LRB- born June NUMBER@1, NUMBER@2 in LOCATION@1, LOCATION@2 -RRB- is an American film critic and screenwriter.",-1.378691673
901,"Publisher of the weekly newspaper , PERSON@1 .","'Publisher of the weekly newspaper, PERSON@1.",-1.838975191
902,"ORGANIZATION@1 , Spread across four campuses in LOCATION@1 , LOCATION@2 , and PERSON@1","'ORGANIZATION@1, Spread across four campuses in LOCATION@1, LOCATION@2, and PERSON@1",-1.272057891
903,"Archaeological evidence shows that the site of the Roman Baths ' main spring was treated as a shrine by the Iron Age Britons , and was dedicated to the goddess Sulis , whom the Romans identified with PERSON@1 ; however , the name Sulis continued to be used after the Roman invasion , leading to the town 's Roman name of Aquae Sulis -LRB- literally , '' the waters of Sulis '' -RRB- .","""Archaeological evidence shows that the Roman Baths'main spring was treated as a shrine by the Iron Age Britons, and was dedicated to the goddess Sulis.",-1.838543177
904,The film 's name is based on the saying '' idle hands are the Devil 's plaything '' or '' idle hands do the Devil 's work '' .,"""The film's name is based on the saying '' idle hands are the Devil's plaything '' or '' idle hands do the Devil's work ''.",-1.1024611
905,"In August 2008 , four of her relatives were killed in a safari bus crash in South Africa , and she was given indefinite leave from filming Terminator Salvation , returning later to complete filming .","'In August 2008, four of her relatives were killed in a safari bus crash in South Africa. She was given leave from filming Terminator Salvation.",-0.919819593
906,"But Pascal became more and more extravagant , finally losing his credibility with Caesar and Cleopatra -LRB- 1945 -RRB- which was the most expensive British movie ever made at that time and a terrible financial and critical flop , although it is highly regarded today .","'But Pascal became more extravagant, finally losing his credibility with Caesar and Cleopatra -LRB- 1945 -RRB- which was the most expensive British movie ever made at that time and a terrible financial and critical flop, although it is highly regarded today.",-0.800555289
907,"For new proposals , see .","'For new proposals, see.",-2.780019045
908,"PERSON@1 -LRB- born August NUMBER@1 , NUMBER@2 -RRB- is a Japanese football player .","'PERSON@1 -LRB- born NUMBER@1 August, NUMBER@2 -RRB- is a Japanese football player.",-1.363556385
909,"Stegosaurus did have very short forelimbs , in relation to its hind legs .","'Stegosaurus did have very short forelimbs, in relation to its hind legs.",-1.160141349
910,-LRB- The movie The Dish was based somewhat loosely on the role the telescope played during the 1969 Apollo 11 moon landing . -RRB-,'-LRB- The movie The Dish was based somewhat loosely on the role the telescope played during the moon landing of Apollo 11.,-1.082380652
911,"Rickman is known for his film performances as Hans Gruber in Die Hard , Severus Snape in the Harry Potter film series , Eamon de Valera in Michael Collins , and Metatron in Dogma .","'Rickman is best known for his film performances as Hans Gruber in Die Hard, Severus Snape in the Harry Potter film series, Eamon de Valera in Michael Collins, and Metatron in Dogma.",-0.777382672
912,"Pagat.com : A History of Poker by David Parlett In the 1937 edition of Foster 's Complete Hoyle , R. F. Foster wrote : '' the game of poker , as first played in the United States , five cards to each player from a twenty-card pack , is undoubtedly the Persian game of as nas . ''","""In the 1937 edition of Foster's Complete Hoyle, R. F. Foster wrote : '' The game of poker, as first played in the United States, five cards to each player from a twenty-card pack, is undoubtedly the Persian game of as nas. ''",-0.797158182
913,"The true hornets make up the genus Vespa and are distinguished from other vespines by the width of the vertex -LRB- part of the head behind the eyes -RRB- , which is proportionally larger in LOCATION@1 and by the anteriorly rounded gasters -LRB- the section of the abdomen behind the wasp waist -RRB- .","'The true hornets make up the genus Vespa and are distinguished from other vespines by the width of the vertex -LRB- part of the head behind the eyes -RRB-, which is proportionally larger in LOCATION@1 and by the anteriorly rounded gasters -LRB- section of the abdomen behind the wasp waist -RRB-.",-0.711464942
914,"PERSON@1 -LRB- ä æ æ å , born NUMBER@1 June NUMBER@2 in Å ita , LOCATION@1 -RRB- is a Japanese football midfielder .",'PERSON@1 -LRB- born NUMBER@1 June NUMBER@2 -RRB- is a Japanese football player.,-1.38535738
915,"Overview It was performed in 16 teams , and River Plate won the championship .","'Overview It was played in 16 teams, and River Plate won the championship.",-1.927476645
916,"Waverly is an incorporated town in Sussex County , Virginia , United States .",'Waverly is a town of Virginia in the United States.,-2.259843588
917,The island was used in NUMBER@1 to shoot a major challenge episode from the TV program The Biggest Loser Australia : Couples on the episode NUMBER@2 .,'The island was used in NUMBER@1 to shoot a big challenge episode from the TV program The Biggest Loser Australia : Couples on the episode NUMBER@2.,-0.825295687
918,The Tibetan red deer -LRB- Cervus canadensis wallichi -RRB- also known as shou is a subspecies of Wapiti that is native to the southern Tibetan highlands and LOCATION@1 .,'The Tibetan red deer -LRB- Cervus canadensis wallichi -RRB- is a subspecies of Wapiti that is native to the southern Tibetan highlands and LOCATION@1.,-0.598932445
919,Baigneaux is a commune in the Gironde department in southwestern France .,'Baigneaux is a commune. It is found in the region Rhône-Alpes in the Gironde department in the southwest of France.,-2.390945435
920,"On the night of September 7 , 1996 , Shakur was shot four times in a drive-by shooting in Las Vegas .","'On the night of September 7, 1996, Shakur was shot four times in a drive-by shooting in Vegas.",-1.019967794
921,"VÃ lerenga 's home ground , as of NUMBER@1 , is Ullevaal Stadion , the stadium for the LOCATION@1 national football team .",'V lerenga play for the national team.,-2.684038401
922,"Additionally , military service during World War I and World War II helped accelerate assimilation .",'World War I and World War II helped assimilate the Germans.,-2.04645443
923,"Additionally , Zenwalk comes with many specialized tools , designed for beginner through advanced users as it offers system configuration via both graphical and command-line operations .","'Additionally, Zenwalk comes with many specialized tools, designed for beginner through advanced users as it offers system configuration via graphical and command-line operations.",-1.25662601
924,In 1971 Pierre Boulez became the first Frenchman to hold the post of Philharmonic Music Director .,'In 1971 Pierre Boulez became the first Frenchman to be conductor of the Paris Philharmonic.,-1.358503222
925,KSJAA - Kevin Sorbo bio 1958-77 Sorbo was educated at Minnesota State University Moorhead and worked as a model for print and television advertising in the 1980s .,'KSJAA - Kevin Sorbo Bio 1958-77 Sorbo was educated at Minnesota State University Moorhead and worked as a model for print and television advertising in the 1980s.,-0.744635284
926,"The foiling of the Gunpowder Plot initiated a wave of national relief at the delivery of the King and his sons , and inspired in the ensuing parliament a mood of loyalty and goodwill , which PERSON@1 astutely exploited to extract higher subsidies for the King than any -LRB- bar one -RRB- granted in PERSON@2 's reign .","""The foiling of the Gunpowder Plot started a wave of national relief at the delivery of the King and his sons, and inspired in the ensuing Parliament a mood of loyalty and goodwill, which PERSON@1 cleverly exploited to extract higher subsidies for the King than any other granted in PERSON@2's reign.",-1.228474498
927,SÃ rignÃ is a commune in the VendÃ e department in the Pays de la Loire region in western France .,'S rign is a commune. It is found in the region Pays de la Loire in the Vend e department in the west of France.,-2.73506403
928,The LOCATION@1 is a suspension bridge in east central LOCATION@2 .,'The LOCATION@1 is a bridge in east central LOCATION@2.,-1.834567189
929,The freeway then runs along a viaduct through LOCATION@1 for about until it reaches the PERSON@1 Tunnels through the LOCATION@2 .,'The freeway then runs through LOCATION@1.,-2.512003422
930,"Some BIOS chips allow overclocking , an action in which the CPU is adjusted to a higher clock rate than its factory preset .","'Some BIOS chips allow overclocking, an action in which the CPU is set to a higher clock rate than its factory preset.",-1.317696214
931,1031 exchange form -- Section 1031 of the U.S. Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like-kind properties .,'1031 exchange form - Section 1031 of the U.S. Internal Revenue Code allows investors to defer capital gains taxes on the exchange of like-kind properties.,-0.776260614
932,"Kyoto University , one of Japan 's national universities , is considered to be one of the top universities in Japan .","""Kyoto University, one of Japan's national universities, is considered to be one of the top universities in Japan.",-1.093166351
933,"Based on the terms of the treaty , PERSON@1 ceded most of LOCATION@1 to PERSON@2 except for the districts of LOCATION@2 , PERSON@3 , and PERSON@4 .","'PERSON@1 ceded most of LOCATION@1 to PERSON@2 except for the districts of LOCATION@2, PERSON@3, and PERSON@4.",-0.624489963
934,The album 's lead single was '' U Do n't Know Me -LRB- Like U Used To -RRB- Remix '' .,"""The album's first single was '' U Don't Know Me -LRB- Like U Used To -RRB- Remix ''.",-1.545870304
935,"Ve and the Cyrillic letter Be -LRB- Ð ` Ð -RRB- were both derived from the Greek letter Beta -LRB- Î ' Î -RRB- , which already represented \/O/ v \/O/ in Greek by the time the Cyrillic alphabet was created .","""Ve and the Cyrillic letter Be were both derived from the Greek letter Beta -LRB- Î'Î -RRB-, which already represented /O/ v /O/ in Greek by the time the Cyrillic alphabet was created.",-1.139064074
936,"The '' Big Four '' bands of thrash metal are Anthrax , PERSON@1 , PERSON@2 and PERSON@3 , Get Thrashed : The Story of Thrash Metal -LRB- Review -RRB- .","""The '' Big Four '' bands of thrash metal are Anthrax, PERSON@1, PERSON@2 and PERSON@3.",-0.786668837
937,"'' Get Me Bodied '' is a song recorded by American R&B singer PERSON@1 . The song was written by PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 , and PERSON@6 '' PERSON@7 , and was produced by PERSON@8 , BeyoncÃ and PERSON@2 , for BeyoncÃ 's second solo studio album , B ` Day .","""'' Get Me Bodied '' is a song by American R&B singer PERSON@1, written by PERSON@1, PERSON@2, PERSON@3, PERSON@4, PERSON@5 and PERSON@6.",-0.871510446
938,"Men play using a curved stick called in Irish a camÃ n. Women would use a shorter stick , at one stage described by the diminutive form camÃ g/O. The suffix - aÃ ocht -LRB- originally â uidheachtâ -RRB- was added to both words to give names for the sports : camÃ naÃ ocht -LRB- which became iomÃ naÃ ocht -RRB- and camÃ gaÃ ocht .","'Men play using a curved stick called in Irish a cam n. Women would use a shorter stick, at one stage described by the diminutive form cam g/O. The suffix - a ocht -LRB- originally â uidheachtâ -RRB- was added to both words to give names for the sports.",-0.716579378
939,"Today , a shrine and museum in the church 's basement , known as the Liberty Bell Museum , marks the spot where the bell was hidden .","""Today, a shrine and museum in the church's basement, known as the Liberty Bell Museum, marks the spot where the bell was hidden.",-0.975920081
940,It was written by PERSON@1 for the band 's NUMBER@1 album A Night at the Opera .,"""It was written by PERSON@1 for the band's NUMBER@1 album A Night at the Opera.",-0.718193829
941,The establishment of a separate network was only made possible when Radio 4 became a fully national network and moved from medium wave to long wave .,'The establishment of a separate network was only made possible when Radio 4 became a fully national network and moved from medium wave to long wave.,-0.937387466
942,The SPL has been home to many notable events .,'The SPL has hosted many notable events.,-2.355083704
943,"The French under PERSON@1 took hold of the Maltese islands in NUMBER@1 , although with the aid of the British the Maltese were able to oust French control two years later .",'The French took control of the Maltese islands in NUMBER@1.,-1.613099098
944,"PERSON@1 -LRB- August NUMBER@1 NUMBER@2 May NUMBER@3 , NUMBER@4 -RRB- was a French naturalist and zoologist .",'PERSON@1 -LRB- August NUMBER@1 NUMBER@2 May NUMBER@4 -RRB- was a French naturalist and zoologist.,-0.767882347
945,"In NUMBER@1 , during the War of the League of LOCATION@1 , the city was sacked by Spanish troops assembled by Pope PERSON@1 and emperor PERSON@2 to recover the nearby city of LOCATION@2 for the PERSON@3 family .","'In NUMBER@1, during the War of the League of LOCATION@1, the city was sacked by Spanish troops.",-0.882245421
946,Darling '' in 2007 as the last song for her appearance on Channel 4 's Live from Abbey Road .,"""Darling '' in 2007 as the last song for her appearance on Channel 4's Live from Abbey Road.",-0.681688964
947,The opera company which was founded under Princess PERSON@1 of Savoy has been in existence since NUMBER@1 .,'The company which was founded under Princess PERSON@1 of Savoy has been in existence since NUMBER@1.,-1.035051227
