source_sentence,pred,gold,bert_score_precision_pred_with_brevity_penalty,sentence_id,bert_precision_gold_with_brevity_penalty
"After graduating from the Seijo Junior High School in 1950 , Ozawa sprained his finger in a rugby game .","After graduating from the Seijo Junior High School in 1950, Ozawa sprained his finger in a rugby game.",He was invited to the Tanglewood Music Center where he won a prize for conducting .,0.9534989125453508,1968,0.8146506215517337
Gontenschwil is a municipality in the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3 .,Gontenschwil is a municipality of the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3.,Gontenschwil is a municipality of the district LOCATION@1 in the canton of LOCATION@2 in LOCATION@3 .,0.9656863573652048,1969,0.9809883317122093
Sardar Khan had managed to obtain the backing of the following important tribal leaders .,Sardar Khan managed to get the support of the following important tribal leaders.,Sardar Khan had the support of the following important tribal leaders .,0.8799548671486672,1970,0.879785399758414
"April 14 & ndash ; The foundation stone of Cathedral St. Peter and St. Paul in Nantes , France is laid .","The foundation stone of Cathedral St. Peter and St. Paul in Nantes, France is laid","September 23 - Yolande of Valois , Duchess of Savoy -LRB- died 1478 -RRB-",0.7137582485492413,1971,0.6432315844755906
The hills between the valleys of Kammel and the neighboring valleys of GÃ 1\/4 nz and Mindel are covered with forest .,The hills between the valleys of Kammel and the neighboring valleys of G 1/4 nz and Mindel are covered with forest.,The hills between the valleys of Kammel and the neighboring valleys of GÃ 1\/4 nz and Mindel are covered with wood in parts .,0.9221731252589468,1972,0.9655761516700356
"PERSON@1 , the elder child of Alfonso IV , PERSON@2 of LOCATION@1 , and his wife , PERSON@3 , was born on NUMBER@1 October NUMBER@2 NS in LOCATION@1 , Duchy of LOCATION@1 , LOCATION@2 .","PERSON@1, the elder child of Alfonso IV, PERSON@2 of LOCATION@1, and his wife, PERSON@3, was born on NUMBER@1 October NUMBER@2 in LOCATION@1, Duchy of LOCATION@1, LOCATION@2.","PERSON@1 was the older child of Alfonso IV , PERSON@2 of LOCATION@1 and his wife PERSON@3 . She was born on NUMBER@1 October NUMBER@2 NS in LOCATION@1 .",0.8738509249042821,1973,0.8826870821617746
The High Priest and Priestess act as administrative chiefs and primary public representatives ; each position -LRB- High Priest and High Priestess -RRB- is held by a single individual at a time .,The High Priest and Priestess are administrative chiefs and primary public representatives ; each position -LRB- High Priest and High Priestess -RRB- is held by one individual at a time.,The High Priest and Priestess act as administrative chiefs and the two main public representatives .,0.9396246084800134,1974,0.8588284492492676
"Between NUMBER@1 and NUMBER@2 , he appeared most frequently on ORGANIZATION@1 's list of most admired people .","Between NUMBER@1 and NUMBER@2, he appeared most frequently on ORGANIZATION@1's list of most admired people.","Between NUMBER@1 and NUMBER@2 , PERSON@1 appeared many times on ORGANIZATION@1 's list of most admired people .",0.9354234852574089,1975,0.940235109762712
"More recently , Davenport was part of the ensemble cast of characters in the drama series FlashForward .",He is also part of the ensemble cast of characters in the television series FlashForward.,His most recent role is as a lead character in the TV series Swingtown .,0.7474973264795083,1976,0.7181896097384965
"As of 2010 , current head coaches from the baseball , womenâ s golf , womenâ s gymnastics , men 's soccer , and women 's soccer programs had all received conference â Coach of the Yearâ honors .","As of 2010, current head coaches from the baseball, womenâ s golf, womenâ s gymnastics, men's soccer, and women's soccer programs had all received coach of the year awards.","In 2008 head coaches from the menâ s soccer , baseball , womenâ s gymnastics , and womenâ s golf programs had all been named the conference â Coach of the Year .",0.8266054072330907,1977,0.8356388450897846
"Saving Abel is an American rock band from Corinth , Mississippi , formed in 2004 by Jared Weeks and Jason Null .","Saving Abel is an American rock band from Corinth, Mississippi. They were formed in 2004 by Jared Weeks and Jason Null.",2008 - Saving Abel,0.9559652209281921,1978,0.7690023183822632
"It is the world 's elite rugby league championship and , per season , is the single most viewed and attended Rugby football competition in the world .","It is the worlds elite rugby league championship and, per season, is the single most watched and attended Rugby football competition in the world.",It is the biggest rugby league competition in the world .,0.9115259250005087,1979,0.8609402203559876
"PERSON@1 is an island in the LOCATION@1 , LOCATION@2 , LOCATION@3 . Located in the LOCATION@4 , it is the 31st largest island in the world and LOCATION@3 's seventh largest island .",PERSON@1 is an island in the LOCATION@4 in the LOCATION@3.,PERSON@1 is the 31st biggest island in the world and LOCATION@3 's 7th biggest island .,0.26376723255241774,1980,0.29423258976383104
"Eukaryotes are also found in l'Atalante , including ciliates -LRB- 45 % -RRB- , dinoflagellates -LRB- 21 % -RRB- and choanoflagellates -LRB- 10 % -RRB- .","Eukaryotes can also be found in l'Atalante, including ciliates -LRB- 45 % -RRB-, dinoflagellates -LRB- 21 % -RRB- and choanoflagellates -LRB- 10 % -RRB-.","Eukaryotes are also found in l'Atalante , mostly ciliates -LRB- 45 % -RRB- , dinoflagellates -LRB- 21 % -RRB- and choanoflagellata -LRB- 10 % -RRB- .",0.9779133200645447,1981,0.9904568195343018
Rozoy-sur-Serre is a commune in the Aisne department in Picardy in northern France .,It is found in the region Picardie in the Aisne department in the north of France.,Rozoy-sur-Serre is a commune . It is found in the region Picardie in the Aisne department in the north of France .,0.8150668342908223,1982,0.9583540062109629
"In sports , home is a term referring to both the city and stadium , arena , or field where an athletic team plays games at their venue , whilst when the team plays elsewhere then they are considered the away team .","In sports, home is a term referring to both the city and stadium, arena, or field where an athletic team plays at their venue, while when the team plays elsewhere then they are considered the home team.","In sports , home is a term meaning both the city and stadium , arena , or field where an athletic team plays games at their own venue .",0.891416559152514,1983,0.8787132005825221
"Later , it changed its name to ORGANIZATION@1 and in NUMBER@1 , after receiving financial support from ORGANIZATION@2 , it took its current name .","Later, it changed its name to ORGANIZATION@1 and in NUMBER@1, after receiving financial support from ORGANIZATION@2, it took its current name.","Later , it changed its name to ORGANIZATION@1 .",0.9315004405910021,1984,0.8746561742808721
The province is the most populated of the 12 provinces .,The province is the most populated of the 12 provinces.,The area south of The Hague is called Westland .,0.9451929373400552,1985,0.8039957231708935
"Alexandre Paes Lopes -LRB- born October 29 , 1974 in Rio de Janeiro , Brazil -RRB- is a Brazilian football player .",Alexandre Paes Lopes -LRB- born 29 October 1974 -RRB- is a Brazilian football player.,Alexandre Paes Lopes -LRB- born 29 October 1974 -RRB- is a former Brazilian football player .,0.6832590258639791,1986,0.7042887936467709
"Spacewatch is a project at the University of Arizona that specializes in the study of minor planets , including various types of asteroids and comets .","Spacewatch is a project at the University of Arizona that specializes in the study of minor planets, including various types of asteroids and comets.","Spacewatch is a project at the University of Arizona that studies minor planets , as well as asteroids and comets .",0.9613631600575732,1987,0.9467105932583083
"Maurizio Giuliano -LRB- born 1975 -RRB- is an Italian-British traveller , author and journalist .","Maurizio Giuliano -LRB- born 1975 -RRB- is an Italian-British traveller, author and journalist.","Maurizio Giuliano -LRB- born 1975 -RRB- is a person from Italy and England , who travels a lot and wrote books and in newspapers .",0.9498730609097431,1988,0.9329681052375085
"The tests were greeted with jubilation in both countries ; in Pakistan , Khan was feted as a national hero .",The tests were greeted with joy in both the countries ; in Pakistan Khan was feted as a national hero.,He is the National Hero of Pakistan .,0.908223099178738,1989,0.7988587187396156
"In addition , historic districts consist of contributing and non-contributing properties .",Historical districts also have contributing and non-contributing properties.,The rest of the properties are smaller contributing properties that are part of historic districts .,0.7575574292076959,1990,0.7387813276714749
The Battle of Patay -LRB- NUMBER@1 June NUMBER@2 -RRB- was the culminating engagement of the Loire Campaign of the Hundred Years ' War between the French and English in north-central LOCATION@1 .,The Battle of Patay -LRB- NUMBER@1 June NUMBER@2 -RRB- was the culmination of the Loire Campaign of the Hundred Years'War between the French and English in north-central LOCATION@1.,The Battle of Patay -LRB- NUMBER@1 June NUMBER@2 -RRB- was an important battle in the Hundred Years ' War between the French and the English in north-central LOCATION@1 .,0.8912696013083825,1991,0.876970325372158
"The Estates-General was organized into three estates , respectively : the clergy , the nobility , and the rest of France . On the last occasion that the Estates-General had met , in 1614 , each estate held one vote , and any two could override the third .","The Estates-General were organized into three estates : the clergy, the nobility, and the rest of France.","Even though the Third Estate had lots more members than the other two Estates , each Estate only had one vote in the Estates-General .",0.3583924209370332,1992,0.35016265686820536
A movie projector is an opto-mechanical device for displaying moving pictures by projecting them on a projection screen .,A movie projector is a mechanical device for displaying moving pictures by projecting them on a projection screen.,The,0.8843080741314848,1993,0.701091504294025
"LOCATION@1 is a village and civil parish in LOCATION@2 , LOCATION@3 , situated north of the city of LOCATION@4 .","LOCATION@1 is a village and civil parish in LOCATION@2, LOCATION@3.","LOCATION@1 is a village in LOCATION@2 , LOCATION@3 .",0.5378009474703244,1994,0.5363255590200424
He played his entire 20-year career -LRB- 1982 & ndash ; 2001 -RRB- for the San Diego Padres .,He played his entire 20-year career -LRB- 1982 & 2001 -RRB- for the San Diego Padres.,He played from 1982 to 2001 .,0.8449122595026138,1995,0.7320292103797832
"Called , after the original chicken flavour , it was originally considered a luxury item with a price of ¥ NUMBER@1 , around six times that of traditional udon and soba noodles at the time .","Called, after the original chicken flavour, it was originally considered a luxury item with a price of  NUMBER@1.","Called Chikin Ramen , after the original flavour , it was originally considered a luxury food item as it cost around six times that of traditional non-instant udon and soba noodles .",0.5210589816695765,1996,0.5559242844581603
"This muscle is responsible for causing the follicle lissis to become more perpendicular to the surface of the skin , and causing the follicle to protrude slightly above the surrounding skin -LRB- piloerection -RRB- and a pore encased with skin oil .",This muscle is responsible for causing the follicle lissis to become more perpendicular to the surface of the skin and causing the follicle to protrude slightly above the surrounding skin -LRB- piloerection -RRB- and a pore encased with skin oil.,The muscle area can also cause the follicle to stick up slightly above the nearby skin -LRB- piloerection -RRB- with a pore incased with skin oil .,0.9705839947045567,1997,0.9055335320622088
"Biography PERSON@1 was born in LOCATION@1 , south LOCATION@2 , the son of PERSON@2 , a mustard manufacturer 's clerk .","He was born in LOCATION@1, the son of PERSON@2.","Biography PERSON@1 was born in LOCATION@1 , LOCATION@3 , LOCATION@4 .",0.3288668040501869,1998,0.33744833176418887
Étrelles - sur-Aube is a commune in the Aube department in north-central France .,Étrelles - sur-Aube is a commune of the Aube d partement in the north-central part of France.,Étrelles - sur-Aube is a commune of the Aube département in the north-central part of France .,0.960263192653656,1999,0.9876616597175598
"Playing in the position of midfield , Gascoigne 's career included spells at Newcastle United , Tottenham Hotspur , Lazio , Rangers , Middlesbrough and Everton .","Gascoigne played in midfield for Newcastle United, Tottenham Hotspur, Lazio, Rangers, Middlesbrough and Everton.",Total 57 10,0.6285866447117018,2000,0.514479512753694
"As the rest of PERSON@1 's troops began to arrive on the scene , PERSON@2 's soldiers secured elevated positions overlooking the river .","As the rest of PERSON@1's troops began to arrive on the scene, PERSON@2's soldiers secured elevated positions overlooking the river.","As the rest of PERSON@1 's troops began to arrive on the scene , General PERSON@2 's men secured the high hill overlooking the river .",0.9309277464361752,2001,0.9384449790505802
The Earth of the early ORGANIZATION@1 may have supported a tectonic regime unlike that of the present .,The Earth of the early ORGANIZATION@1 may have supported a tectonic regime unlike that of the present.,The Earth of the early ORGANIZATION@1 may have supported a tectonic condition different from that of the present .,0.9712102945568493,2002,0.9690439238131625
"They are among the least evolutionarily changed insects , appearing in the Devonian period along with the arachnids .","They are among the least evolutionarily changed insects, appearing in the Devonian period along with the arachnids.",They are among those insects which changed least during evolution . They first appear in the Devonian period along with the arachnids -LRB- Spiders -RRB- .,0.9537162128676716,2003,0.9299945449217771
Seal script -LRB- Chinese : Simplified : ; Traditional : ; pinyin : zhuànsh -RRB- is an ancient style of Chinese calligraphy .,Seal script -LRB- Chinese : Simplified : ; Traditional : ; pinyin : zhuànsh -RRB- is an ancient style of Chinese calligraphy.,Script,0.9787613673815652,2004,0.7163082205113911
PERSON@1 and PERSON@2 were named in their respective roles by Pope PERSON@3 in September NUMBER@1 .,PERSON@1 and PERSON@2 were named in their respective roles by Pope PERSON@3 in September NUMBER@1.,PERSON@1 and PERSON@2 have been named in their respective roles under by Pope PERSON@3 in September NUMBER@1 .,0.9630796042355625,2005,0.9674635547580142
It has been called '' the best race track in the world '' by Formula One supremo PERSON@1 .,It has been called '' the best race track in the world '' by Formula One supremo PERSON@1.,It has been called '' the best race track in the world '' by Formula One leader PERSON@1 .,0.9663175554065915,2006,0.964662485070281
", and '' Thief '' .",", and '' Thief ''",NUMBER@1 - '' Thief '',0.85505358482662,2007,0.825773182668184
The story was supposed to be set on the day immediately following the end of the first Dumbo story .,The story was supposed to be set on the day immediately following the end of the first Dumbo story.,The story was supposed to be as if the first Dumbo ended and this one started the next day .,0.9703394562005997,2008,0.9059906977415084
"Analogy is both the cognitive process of transferring information from a particular subject -LRB- the analogue or source -RRB- to another particular subject -LRB- the target -RRB- , and a linguistic expression corresponding to such a process .","Analogy is both the cognitive process of transferring information from a particular subject -LRB- the analogue or source -RRB- to another particular subject -LRB- the target -RRB-, and a linguistic expression corresponding to such a process.","To be more precise one can say that it is both the cognitive process of transferring information from a particular subject -LRB- the analogue or source -RRB- to another particular subject -LRB- the target -RRB- , and a linguistic expression corresponding to such a process .",0.968546111397292,2009,0.9656274132277249
"In 1999 , Hahn stated that she played Bach more than any composer and that she had played solo Bach pieces every day since she was eight .","In 1999, Hahn stated that she played Bach more than any other composer and that she had played solo Bach pieces every day since she was eight.","As of 1999 , Hahn has stated that she plays Bach more than any other composer and that she has played solo Bach pieces every day since she was eight -LRB- Zaustinsky 1999 -RRB- .",0.9748791456222534,2010,0.980766236782074
He was brought to LOCATION@1 the next year by PERSON@1 to teach at the ORGANIZATION@1 and was involved in directing opera and theater .,He was brought to LOCATION@1 the next year by PERSON@1 to teach at the ORGANIZATION@1 and was involved in directing opera and theater.,He moved to LOCATION@1 the next year to teach in ORGANIZATION@1 and was involved in directing opera and theater .,0.9730437932191072,2011,0.9588183738567211
"Release and reception '' Naughty Girl '' was released as the fourth and final single from the album , through ORGANIZATION@1 .","Release and reception '' Naughty Girl '' was released as the fourth and final single from the album, through ORGANIZATION@1.",It was released as the fourth single .,0.950136003040132,2012,0.8286888353408328
"1798 & ndash ; Giacomo Leopardi , Italian poet -LRB- d. 1837 -RRB-","1798 - Giacomo Leopardi, Italian poet","1798 - Giacomo Leopardi , Italian poet -LRB- d. 1837 -RRB-",0.4872208084120894,2013,0.5312115947405497
"The American Rhodes Scholarships : A Review of the First Forty Years , Review author s : Harvie Branscomb , The American Historical Review 1947 American Historical Association Rhodes Scholars may study any full-time postgraduate course offered by the University , Periodically the Rhodes Trustees include or exclude the MBA from the courses offered .","The American Rhodes Scholars may study any full-time postgraduate course offered by the University, Periodically the Rhodes Trustees include or exclude the MBA from the courses offered.","The American Rhodes Scholarships : A Review of the First Forty Years , Review authors : Harvie Branscomb , The American Historical Review 1947 American Historical Association",0.4613710701465607,2014,0.46920130593436105
Le Poizat is a commune in the Ain department in eastern LOCATION@1 .,It is found in the region Rhône-Alpes in the Ain department in the east of LOCATION@1.,It is found in the region LOCATION@2 in the Ain department in the east of LOCATION@1 .,0.8301607966423035,2015,0.8241031765937805
"Prior to the arrival of the Portuguese in LOCATION@1 in NUMBER@1 , the ORGANIZATION@1 also sent bishops to the Saint PERSON@1 of the ORGANIZATION@2 , who claimed that their church had been founded by the apostle PERSON@2 .","Before the Portuguese arrived in LOCATION@1 in NUMBER@1, the ORGANIZATION@1 sent bishops to the Saint PERSON@1 of the ORGANIZATION@2, who claimed that their church had been founded by the apostle PERSON@2.","Before the Portuguese arrival in LOCATION@1 in NUMBER@1 , it provided '' East Syrian '' bishops to the Saint PERSON@1 .",0.8784645044051849,2016,0.7982001339530086
"PERSON@1 -LRB- baptised NUMBER@1 October NUMBER@2 & ndash ; NUMBER@3 November 1623His will was dated NUMBER@3 November , and he was buried on NUMBER@4 December , which strongly suggests he died on NUMBER@3 November .","PERSON@1 -LRB- baptised NUMBER@1 October NUMBER@2 & ndash ; NUMBER@3 November 1623His will was dated NUMBER@3 November, and he was buried on NUMBER@4 December, which strongly suggests he died on NUMBER@3 November.",Music,0.9614517150653734,2017,0.7265115487906668
Eleven converging rows of menhirs stretching for NUMBER@1 b/O. There is what PERSON@1 considered to be the remains of stone circles at either end .,Eleven converging rows of menhirs stretching for NUMBER@1 b/O. There are what PERSON@1 considered to be the remains of stone circles at either end.,Eleven converging rows of menhirs stretching for NUMBER@1 b/O. There is what may be the remains of stone circles at either end .,0.9876725077629089,2018,0.9744566679000854
"The buzz generated off the back of the single led to another release , '' Banquet\/Staying Fat '' , this time through Moshi Moshi Records , and to the eventual signing with independent label Wichita Recordings in April 2004 .","The buzz generated off the back of the single led to another release, '' Banquet/Staying Fat '', this time through Moshi Moshi Records.","The success of the track led to the release of another single , '' Banquet '' , which was released by Moshi Moshi Records . They went on to sign with independent label Wichita Recordings in April 2004 .",0.550911819934845,2019,0.5508203744888306
"ORGANIZATION@1 is a Brazilian soccer team , from the city of PERSON@1 , ORGANIZATION@2 , founded on January NUMBER@1 , NUMBER@2 .","ORGANIZATION@1 is a Brazilian soccer team, from the city of PERSON@1, ORGANIZATION@2.","The team was founded on January NUMBER@1 , NUMBER@2 .",0.594661138778509,2020,0.5628918192183324
"The human ORGANIZATION@1 are roughly NUMBER@1 mm in length , and NUMBER@2 mm thick .","The human ORGANIZATION@1 are about NUMBER@1 mm in length, and NUMBER@2 mm thick.",The male vocal folds are between NUMBER@3 mm and NUMBER@4 mm in length .,0.9110277607327415,2021,0.842887106395903
The club was founded in NUMBER@1 and refounded in NUMBER@2 .,The club was founded in NUMBER@1 and reformed in NUMBER@2.,PERSON@1 is a football club which plays in LOCATION@1 .,0.9056928356488546,2022,0.8031131744384765
Brazilian,Brazilian,PERSON@1,1.0000001192092896,2023,0.9200972318649292
The thumb is the first digit of the hand .,The thumb is the first digit of the hand.,Hand,0.933827485357012,2024,0.7366374532381693
"Rosignano Marittimo is a comune -LRB- municipality -RRB- in the Province of Livorno in the Italian region Tuscany , located about 80 km southwest of Florence and about 20 km southeast of Livorno .","Rosignano Marittimo is a commune -LRB- municipality -RRB- in the Province of Livorno in the Italian region Tuscany, located about 80 km southwest of Florence and about 20 km southeast of Livorno.",PlotData =,0.9661228468223494,2025,0.7002966151553758
It is the third Joker 's Card entry in the group 's Dark Carnival saga .,It is the third Joker's Card entry in the Dark Carnival saga.,The album was the third of the '' Joker Cards '' in the Dark Carnival mythology .,0.7830965518951416,2026,0.7657821724812189
"He urged a would-be author '' to search for that simplicity of manners , and innocence of behavior , which has been often known among mere savages ; ere they were corrupted by our commerce '' -LRB- Advice to an Author , Part III .","He urged a would-be author '' to search for that simplicity of manners, and innocence of behavior, which has been often known among mere savages ; ere they were corrupted by our commerce.","He told the would-be author '' to search for that simplicity of manners , and innocence of behaviour , which has been often known among mere savages ; ere they were corrupted by our commerce '' -LRB- Advice to an Author , Part III .",0.7614792450614597,2027,0.8074777131495268
"The ORGANIZATION@1 -LRB- PERSON@1 ' i anvan hin dzeá agreri institut -RRB- , commonly referred to as the Matenadaran , is an ancient manuscript repository located in LOCATION@1 , LOCATION@2 . It holds one of the world 's richest depositories of medieval manuscripts and books which span a broad range of subjects , including history , philosophy , medicine , literature , art history and cosmography in Armenian and many other languages .","The ORGANIZATION@1 -LRB- PERSON@1'i anvan hin dzeá agreri institut -RRB- is a ancient manuscript repository in LOCATION@1, LOCATION@2.","PERSON@1 ' ORGANIZATION@2 in LOCATION@1 , LOCATION@2 , is one of the richest depositories of manuscripts and books in the world .",0.25227847246274554,2028,0.2444339582364853
"It was issued by the United Kingdom of Great Britain and Ireland on 1 May , 1840 , for use from 6 May of that year .","It was issued by the United Kingdom of Great Britain and Ireland on 1 May, 1840, for use from 6 May that year.",It was issued by the United Kingdom on the first of May 1840 and used from the sixth May of the same year .,0.9022303901869675,2029,0.8845929236247622
"ISBN 966-00-0590-3 -LRB- 4 -RRB- Pyrohy or pirogi -LRB- plural -RRB- are full-sized pies , while pyrizhky or pirozhki -LRB- , -RRB- are individual-sized buns that can be eaten with one hand .","Pyrohy or pirogi -LRB- plural -RRB- are full-sized pies, while pyrizhky or pirozhki -LRB- plural -RRB- are individual-sized buns that can be eaten with one hand.","Pyrohy or pirogi are full-sized pies , while pyrizhky or pirozhki are smaller-sized pies that can be eaten with one hand .",0.7664668310375113,2030,0.7368441614180958
"PERSON@1 divided PERSON@2 's works into '' early '' and '' late '' novels , categories which are still used by scholars today .","PERSON@1 divided PERSON@2's works into '' early '' and '' late '' novels, categories which are still used by scholars today.",PERSON@1 separated PERSON@2 's works into '' early '' and '' late '' novels . Scholars still separate PERSON@2 's works as PERSON@1 did today .,0.9367030774514506,2031,0.8885579109191895
"Around the time of the OpenBSD 2.7 release , the original mascot , a BSD daemon with a trident and halo , was replaced by Puffy , traditionally said to be a pufferfish .","Around the time of the release, the original mascot, a BSD daemon with a trident and halo, was replaced by Puffy, traditionally said to be a pufferfish.","OpenBSD 's first mascot was a BSD daemon with a halo , it was replaced with Puffy , a pufferfish , on June 15th , 2000 , with the release of OpenBSD 2.7 .",0.8427174500459751,2032,0.8346361747154823
"The word nego is Portuguese for '' I deny '' , referring to the protests that erupted in the 1920s in ParaÃ ba , supported by state governor JoÃ # o Pessoa CavalcÃ cents nti de Albuquerque , to the appointment of JÃ lio Prestes as the President of Brazil .","The word nego is Portuguese for '' I deny '', referring to the protests that erupted in the 1920s in Para ba, supported by state governor Jo # o Pessoa Cavalc cents nti de Albuquerque, to the appointment of J lio Prestes as the President of Brazil.",The word nego is Portuguese for '' I deny '' . It refers to protests in the 1920s in ParaÃ ba against JÃ lio Prestes becoming the President of Brazil .,0.8828586023300886,2033,0.8607717677950859
"A sexually transmitted disease -LRB- STD -RRB- , also known as sexually transmitted infection -LRB- STI -RRB- or venereal disease -LRB- VD -RRB- , is an illness that has a significant probability of transmission between humans or animals by means of sexual contact , including vaginal intercourse , oral sex , and anal sex .","A sexually transmitted disease -LRB- STD -RRB- also known as sexually transmitted infection -LRB- STI -RRB- or venereal disease -LRB- VD -RRB-, is an illness that has a high probability of transmission between humans or animals by means of sexual contact.","A sexually transmitted disease is a disease which generally spreads by sexual intercourse , including oral sex or anal sex .",0.73638373778926,2034,0.6694456852144666
Biofuels,Biofuels Fuel Cells -LRB- biodiesel -RRB-,Straw is a type of grass .,0.9520383477210999,2035,0.7456508874893188
"The nagamaki is considered to be a type of the no-dachi sword , a variation of the long samurai sword .","The nagamaki is a type of the no-dachi sword, a variation of the long samurai sword.",The nagamaki is considered to be a type of the no-dachi sword . This one was a variation of long samurai sword .,0.782257589321692,2036,0.8041271029166804
"The camp was deactivated in 1944 , after only two years of operation .",The camp was deactivated in 1944 after only two years of operation.,"The camp stopped being used in 1944 , after only two years .",0.9139402542795454,2037,0.9124054908752441
"From these the headwaters of several major European rivers such as the Rhine , Rhône , Inn , Aare , and Ticino flow finally into the largest Swiss lakes such as Lake Geneva -LRB- Lac Léman -RRB- , Lake Zürich , Lake Neuchâtel , and Lake Constance .","From here, the headwaters of several major European rivers such as the Rhine, Rhône, Inn, Aare and Ticino flow into the largest Swiss lakes such as Lake Geneva -LRB- Lac Léman -RRB-, Lake Zürich, Lake Neuchâtel, and Lake Constance.","The biggest lakes are : Lake Geneva -LRB- Lac Léman -RRB- , Lake Zürich , Lake Neuchâtel and Lake Constance -LRB- Bodensee -RRB- .",0.8904481717655736,2038,0.8095332896036486
Jurassic - Present,Jurassic - Present Jurassic,Many lizards have highly acute color vision .,0.973686695098877,2039,0.8056179285049438
"In poetry , valkyries appear in '' Die WalkÃ 1\/4 ren '' by PERSON@1 -LRB- appearing in LOCATION@1 , NUMBER@1 -RRB- , '' Die WalkÃ 1\/4 ren '' -LRB- NUMBER@2 -RRB- by PERSON@2 , '' SkÃ ldmon '' -LRB- appearing in GÃ mda Land , NUMBER@3 -RRB- .","In poetry, valkyries appear in '' Die Walk 1/4 ren '' by PERSON@1 -LRB- appearing in LOCATION@1, NUMBER@1 -RRB-, '' Die Walk 1/4 ren '' -LRB- NUMBER@2 -RRB- by PERSON@2, '' Sk ldmon '' -LRB- appearing in G","PERSON@3 composed some operas , featuring ORGANIZATION@1 -LRB- German : WalkÃ 1\/4 ren , singular : WalkÃ 1\/4 re -RRB- . These operas are Die WalkÃ 1\/4 re , PERSON@4 , and GÃ tterdÃ mmerung .",0.7523556820159096,2040,0.7218907166410375
"Harrell met with Blige and in 1989 she was signed to the label , becoming the company 's youngest and first female artist .",Harrell met with Blige and in 1989 she signed to the label.,"Harrell met with Blige and , in 1989 , she joined the label , becoming the company 's youngest and first female artist .",0.433298900844605,2041,0.472656458858552
"Port Said is also an important harbour both for exports of Egyptian products like cotton and rice , but also a fueling station for ships that pass through the Suez Canal .","Port Said is also an important port for exports of Egyptian products like cotton and rice, but also a fueling station for ships that pass through the Suez Canal.","Port Said is also an important harbour both for exports of Egyptian products like cotton and rice , but also a fuelling station for ships that pass through the Suez Canal .",0.9126270992016932,2042,0.9335496627796463
poco a poco and dim .,poco a poco and dim.,and poco a poco dim .,0.9122751440320696,2043,0.8944910480862571
"On July 25 , 1958 , in Nueva Helvecia , Uruguay , Mengele remarried to Martha Mengele , the widow of his younger brother Karl . Marthe Mengele had arrived in Buenos Aires in 1956 with Karl-Heinz , her son from her first marriage .",Marthe Mengele had arrived in Buenos Aires in 1956 with her son Karl-Heinz.,Mengele was known as the Angel of Death .,0.27152307007623755,2044,0.25308025919872784
"BÄ lÅ # i -LRB- ; , -LRB- -RRB- and -LRB- -RRB- , -LRB- -RRB- , -LRB- -RRB- -RRB- is a city in LOCATION@1 .","B l # i -LRB-, -RRB- and -LRB- -RRB-, -LRB- -RRB- is a city in LOCATION@1.",BÄ lÅ # i is the third-largest city in the country of LOCATION@1 .,0.5927166470857423,2045,0.5763950403605665
"PERSON@1 , PERSON@2 , '' PERSON@3 dead at NUMBER@1 '' , Globe and Mail , January NUMBER@2 , NUMBER@3 In religious contexts , he was sometimes called '' Haji '' or '' el-Haj PERSON@4 '' , but that was not part of his formal name or generally used .","PERSON@1, PERSON@2, '' PERSON@3 dead at NUMBER@1 '', Globe and Mail, January NUMBER@2, NUMBER@3.","In contexts where his religion is being discussed he is sometimes called PERSON@5 or el-Haj PERSON@4 , but this Islamic title is not part of his formal name or generally used .",0.32830831396434956,2046,0.34049856517961635
"She is best known for her work during the NUMBER@1 , when she released singles such as '' I Only Want To Be With You '' -LRB-/O1963/O-RRB- , '' You Do n't Have to Say You Love Me '' -LRB-/O1966/O-RRB- and '' Son of a Preacher Man '' -LRB-/O1968/O-RRB- , and her most acclaimed album Dusty in LOCATION@1 -LRB-/O1969/O-RRB- .","She is best known for her work during the NUMBER@1, when she released singles such as '' You Don't Have to Say You Love Me '' -LRB-/O1966/O-RRB- and '' Son of a Preacher Man ''.","PERSON@1 -LRB- or Dusty LOCATION@2 -RRB- -LRB- April NUMBER@2 , NUMBER@3 -- NUMBER@4 March NUMBER@5 -RRB- was a British singer of pop music .",0.4803226484971888,2047,0.42621024584991646
"The Canadian Grand Prix -LRB- known in French as the Grand Prix du Canada -RRB- , abbreviated as gpc , is an annual auto race held in Canada starting in 1961 .",The Canadian Grand Prix -LRB- known in French as the Grand Prix du Canada -RRB- is an annual auto race held in Canada starting in 1961.,The Canadian Grand Prix -LRB- known in French as the Grand Prix du Canada -RRB- is an auto race held in Canada since 1961 .,0.7914265596641685,2048,0.8002891349342635
"Tactics also play a key role , and the combination makes it attractive to many .","Tactics also play a key role, and the combination makes it attractive to many.","Strategies also play a key role , and the combination makes it attractive to many .",0.9286984696984291,2049,0.9746922835707664
There are a number HIV and AIDS misconceptions .,There are a number of misconceptions about HIV and AIDS.,Not every person who has HIV has AIDS .,0.9533697366714478,2050,0.8814049959182739
