source_sentence,gold_sentence,pred
"PERSON@1 -LRB- born November NUMBER@1 , NUMBER@2 -RRB- is a funny car drag racer for ORGANIZATION@1 .",Television,"PERSON@1 -LRB- born November NUMBER@1, NUMBER@2 -RRB- is a car racer for ORGANIZATION@1."
"Charles duly ordered the bell from Thomas Lester of the London bellfounding firm of Lester and Pack -LRB- today the Whitechapel Bell Foundry -RRB- for the sum of Â # 150 13s 8d , -LRB- equivalent to approximately $ 36,400 today -RRB- including freight to Philadelphia and insurance .","So Charles paid Lester and Pack -LRB- today the Whitechapel Bell Foundry -RRB- Â # 150 13s 8d , -LRB- the same amount of money as about $ 36,400 today -RRB- for the bell , including the cost of taking it to Philadelphia and its insurance .","Charles duly ordered the bell from Thomas Lester of the London bellfounding firm of Lester and Pack -LRB- today the Whitechapel Bell Foundry -RRB- for the sum of  # 150 13s 8d, -LRB- equivalent to approximately $ 36,400 today -RRB- including freight to Philadelphia and insurance."
"He was placed second on TV Guide 's 2002 Top 50 Greatest Cartoon Characters , behind Bugs Bunny ; fifth on Bravo 's 100 Greatest TV Characters , one of only four cartoon characters on that list ; and first in a Channel 4 poll of the greatest television characters of all time .","In a TV Guide poll , Homer was named as the second greatest cartoon character , behind Bugs Bunny .","He was placed second on TV Guide's 2002 Top 50 Greatest Cartoon Characters, behind Bugs Bunny ; fifth on Bravo's 100 Greatest TV Characters."
"PERSON@1 -LRB- born April NUMBER@1 , NUMBER@2 -RRB- is a retired Canadian professional ice hockey right winger who played in the ORGANIZATION@1 with the ORGANIZATION@2 , ORGANIZATION@3 , ORGANIZATION@4 and the ORGANIZATION@5 .","PERSON@1 -LRB- born April NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a retired Canadian professional ice hockey right winger who played in the ORGANIZATION@6 with the ORGANIZATION@2 , ORGANIZATION@3 , ORGANIZATION@4 and the ORGANIZATION@5 .","PERSON@1 -LRB- born April NUMBER@1, NUMBER@2 -RRB- is a former Canadian professional ice hockey player."
"ORGANIZATION@1 -LRB- men 's soccer , not sponsored by the LOCATION@1",ORGANIZATION@2,"ORGANIZATION@1 -LRB- men's soccer, not sponsored by the LOCATION@1"
"Formal languages play a crucial role in the development of compilers , typically produced by means of a compiler compiler , which may be a single program or may be separated in tools like lexical analyzer generators -LRB- e.g. lex -RRB- , and parser generators -LRB- e.g. yacc -RRB- .",Language for languages in general,"Formal languages play a crucial role in the development of compilers, typically produced by means of a compiler compiler, which may be a single program or may be separated in tools like lexical analyzer generators -LRB- e.g. lex -RRB-, and parser generators -LRB- e.g. yacc -RRB-."
"The command of the priest or king and his seal could go far beyond his sight and voice and could survive his death '' Wells in LOCATION@1 , NUMBER@1 , p. NUMBER@2 .",LOCATION@1 .,"Wells in LOCATION@1, NUMBER@1, p. NUMBER@2."
"With the German national team , Ziege won Euro 96 .",He has played for Germany national team .,Ziege won Euro 96.
PERSON@1 and PERSON@2 is a Canadian animated series that debuted in NUMBER@1 -LRB- following a pilot episode in NUMBER@2 -RRB- that is aimed at a preschool audience .,PERSON@3,PERSON@1 and PERSON@2 is a Canadian animated series that started in NUMBER@1.
"The first national race of Belgium was held in 1925 at the Spa region 's race course , an area of the country that had been associated with motor sport since the very early years of racing .","The first national race of Belgium was held in 1925 at the Spa region 's race course , an area of the country that had been associated with motor sport since the very early years of racing before the turn of the century .","The first national race of Belgium was held in 1925 at the Spa region's race course, an area of the country that had been associated with motor sport since the early years of racing."
"Outside the temple , the king and High Priest join with LOCATION@1 's priests in prayer that the god may be appeased .","Outside the temple , the king and High Priest join with LOCATION@1 's priests to pray that the god will be kind and merciful .","Outside the temple, the king and High Priest join with LOCATION@1's priests in prayer that the god may appeased."
"It was the franchise 's 35th season in the National Hockey League , 28th season as the Calgary Flames .",The 2007-08 Calgary Flames season is the team 's 27th season in the National Hockey League since the franchise relocated to Calgary .,"It was the franchise's 35th season in the National Hockey League, 28th season as the Calgary Flames."
Jasses is a commune in the PyrÃ nÃ es-Atlantiques department in south-western LOCATION@1 .,"Labatut , PyrÃ nÃ es-Atlantiques is a commune of the PyrÃ nÃ es-Atlantiques dÃ partement in the southwestern part of LOCATION@1 .",Jasses is a commune of the Pyr n es-Atlantiques d partement in the southwestern part of LOCATION@1.
"WWE and Vince McMahon were credited for production of the films The Scorpion King , The Rundown and Walking Tall all starring The Rock .","WWE and Vince McMahon were credited for production of the films The Scorpion King , The Rundown and Walking Tall all starring The Rock -LRB- Dwayne Johnson -RRB- .","The movie The Scorpion King, The Rundown and Walking Tall were the first two movies made by WWE and Vince McMahon."
"Caliri designed the team 's prototype Formula One car -LRB- intended as a dual purpose design for the new Formula 3000 -RRB- around Alfa Romeo 's V8 turbocharged engine but when engineer Carlo Chiti left Alfa Romeo to found Motori Moderni , Minardi became the only customer for his new V6 engine design .","The car was designed to use the Alfa Romeo 's V8 turbocharged engine . When engineer Carlo Chiti left Alfa Romeo , he founded Motori Moderni .","Caliri designed the team's prototype Formula One car -LRB- intended as a dual purpose design for the new Formula 3000 -RRB- around Alfa Romeo's V8 turbocharged engine but when engineer Carlo Chiti left Alfa Romeo to found Motori Moderni, Minardi became the only customer for his new V6 engine design."
The PERSON@1,Other websites,The PERSON@1
"Navigation is the process of reading , and controlling the movement of a craft or vehicle from one place to another .",Navigation is how ships or planes find their way from one place to another place .,"Navigating is the process of reading, and controlling the movement of a craft or vehicle."
Nagri Tutial or the town of the Tutials is named after PERSON@1 chief PERSON@2 -LRB- a son of PERSON@3 -RRB- .,Nagri Tutial which means the town of the Tutials is named after PERSON@1 chief PERSON@2 -LRB- a son of PERSON@3 -RRB- .,Nagri Tutial or the town of the Tutials is named after PERSON@1 chief PERSON@2.
PERSON@1 -LRB- born NUMBER@1 October NUMBER@2 -RRB- is an Australian lead guitarist for alternative rock band Powderfinger .,"PERSON@2 -LRB- born NUMBER@1 October NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is the guitarist in the band '' Powderfinger '' .","PERSON@1 -LRB- born October NUMBER@1, NUMBER@2 -RRB- is an Australian lead guitarist for the rock band Powderfinger."
It is one of the best preserved of all Roman buildings .,The Pantheon is the best preserved of all Roman buildings .,It is one of the best preserved of all Roman buildings.
"Rezovski Creek -LRB- 're - zov-ski po - ` tok -RRB- is a melt-water stream located on Livingston Island , Antarctica .",It is 500 meters long .,"Rezovski Creek -LRB-'re - zov-ski po -  tok -RRB- is a melt-water stream located on Livingston Island, Antarctica."
"Starting his career as a commercial artist , Ray was drawn into independent filmmaking after meeting French filmmaker Jean Renoir and viewing the Italian neorealist film Bicycle Thieves during a visit to London .",He started his career as a commercial artist . Ray was interested in filmmaking by meeting French filmmaker Jean Renoir and seeing the Italian neorealist film Bicycle Thieves during a visit to London .,"Starting career as a commercial artist, Ray was drawn into independent filmmaking after meeting French filmmaker Jean Renoir during a visit to London."
Balls of solid glass occasionally were used in a method purported to prevent lightning strikes to ships .,Balls of solid glass occasionally were used in a method thought to prevent lightning strikes to ships .,Balls of glass were sometimes used in a method purported to prevent lightning strikes to ships.
"PERSON@1 , the Reverend consents to her visiting PERSON@2 's home , PERSON@3 , on an extended holiday .","PERSON@1 , so he lets her visit PERSON@2 's home .","PERSON@1, the Reverend consents to her visiting PERSON@2's home, PERSON@3, on an extended holiday."
"Unable to crack the ORGANIZATION@1 regularly he was traded by the Coyotes to the LOCATION@1 for PERSON@1 on July NUMBER@1 , NUMBER@2 .","Unable to make the ORGANIZATION@1 regularly he was traded by the Coyotes to the LOCATION@1 for PERSON@1 on July NUMBER@1 , NUMBER@2 .","He was not able to crack the ORGANIZATION@1 regularly, so he was traded by the Coyotes to the LOCATION@1 for PERSON@1 on July NUMBER@1, NUMBER@2."
"Jahan 's eldest daughter , the devoted Jahanara Begum , gradually brought him out of grief and took the place of Mumtaz at court .","Jahan 's eldest daughter , the devoted -LRB- loving -RRB- Jahanara Begum , slowly brought him out of mourning and took the place of Mumtaz at court .","Jahan's eldest daughter, the devoted Jahanara Begum, gradually brought him out of grief and took the place of Mumtaz at court."
"The Acts joined the Kingdom of England and the Kingdom of Scotland -LRB- previously separate states , with separate legislatures but with the same monarch -RRB- into a single , united kingdom named '' Great Britain '' .","The Acts of Union were a pair of Parliamentary Acts passed in 1706 and 1707 by , respectively , the Parliament of England and the Parliament of Scotland , to make effective the Treaty of Union which had been between the two countries .","The Acts joined the Kingdom of England and the Kingdom of Scotland -LRB- previously separate states, with separate legislatures but with the same monarch -RRB- into a single, united kingdom named '' Great Britain. ''"
"Traditionally , ORGANIZATION@1 has been referred to as '' the chief nurse of LOCATION@1 's statesmen '' , '' ORGANIZATION@1 - the establishment 's choice '' , ORGANIZATION@2 , LOCATION@2 , NUMBER@1 September NUMBER@2 .","Traditionally , ORGANIZATION@1 has been referred to as '' the chief nurse of LOCATION@1 's statesmen '' .","Traditionally, ORGANIZATION@1 has been referred to as '' the chief nurse of LOCATION@1's statesmen '', '' ORGANIZATION@1 - the establishment's choice '', LOCATION@2, NUMBER@1 September NUMBER@2."
When people are eating with chopsticks they usually do n't also use a knife and fork .,When people are eating with chopsticks they usually do n't use a knife and fork .,"When people are eating, they usually do not also use a knife and fork."
"According to German food laws , only products called '' Bavarian Leberkäse '' are allowed not to contain liver ; otherwise , there must be a minimum liver content of 4 % .","According to German food laws , only products called '' Bavarian Leberkäse '' are allowed not to have liver in them ; otherwise , there must be a minimum liver content of 4 % .","According to German food laws, only products called '' Bavarian Leberkäse '' are allowed not to contain liver ; otherwise there must be a minimum liver content of 4 %."
It was released for the Game Boy Advance in 2004 in Japan and Europe and 2005 in North America .,Setting,It was released for the Game Boy Advance in 2004.
"The LOCATION@1 were a single province since Indonesian independence , until they were split into LOCATION@2 and LOCATION@3 in NUMBER@1 .","The islands are now divided between two provinces , LOCATION@3 and LOCATION@2 .","The LOCATION@1 have been a single province since Indonesian independence, until they were split into LOCATION@2 and LOCATION@3 in NUMBER@1."
The ORGANIZATION@1 of LOCATION@1 was founded in NUMBER@1 as the ORGANIZATION@2 -LRB- it acquired the '' Royal '' prefix in NUMBER@2 -RRB- by royal charter of King PERSON@1 in NUMBER@1 - the first medical institution in LOCATION@2 to receive a royal charter .,It was originally created as the College of Physicians by royal charter of King PERSON@1 in NUMBER@1 .,The ORGANIZATION@1 of LOCATION@1 was founded in NUMBER@1 as the ORGANIZATION@2.
"Kinect holds the Guinness World Record of being the '' fastest selling consumer electronics device '' . It sold an average of 133,333 units per day with a total of 8 million units in its first 60 days .","The Kinect was named the '' Fastest selling consumer electronics device '' by the Guinness World Records , selling an average of 133,333 kinects per day with a total of 8 million units in its first 60 days .","Kinect is the '' fastest selling consumer electronics device '' with an average of 133,333 units per day."
"In LOCATION@1 , the goddess PERSON@1 -LRB- Sanskrit : T r , PERSON@2 : -RRB- meaning '' star '' is the second of the ORGANIZATION@1 -LRB- ten -RRB- Mahavidyas or '' Great Wisdom goddesses '' , Tantric manifestations of LOCATION@2 , LOCATION@3 , or Parvati .","In Hinduism , the Goddess PERSON@1 -LRB- Sanskrit : T r , PERSON@2 : -RRB- meaning '' star '' is the second of the ten Mahavidyas or '' Great Wisdom -LRB- Goddesse -RRB- s '' , Tantric manifestations of LOCATION@2 , LOCATION@3 or Parvati .","In LOCATION@1, the goddess PERSON@1 -LRB- Sanskrit : T r, PERSON@2 : -RRB- meaning '' star '', is the second of the ORGANIZATION@1 -LRB- ten -RRB- Mahavidyas or '' Great Wisdom goddesses ''."
"PERSON@1 -LRB- K. NUMBER@1 ; complete title : , literally '' The Rake Punish 'd , or PERSON@1 '' -RRB- is an opera in two acts with music by PERSON@2 and with Italian libretto by PERSON@3 .",PERSON@1 is an opera by PERSON@2 .,"PERSON@1 -LRB- K. NUMBER@1 ; complete title :, literally '' The Rake Punish 'd, or PERSON@1 '' -RRB- is an opera in two acts with music by PERSON@2 and libretto by PERSON@3."
"Instead , he took a ship to England , where he boarded the passenger ferry Sussex for Dieppe , France .",He took a ship to England instead .,"Instead, he took a ship to England, where he boarded the passenger ferry Sussex for Dieppe, France."
"The katana was paired most often with the wakizashi or sh t , a similarly made but shorter sword , both worn by the members of the warrior class .",How they are made,"The katana was worn most often with the sh t, a similarly made sword."
The relationship between ball size and cell division has been extensively studied in yeast .,Cell size,The relationship between ball size and cell division has been studied in yeast.
The ORGANIZATION@1 deletion policy describes how pages that do not meet the relevant criteria for content of the encyclopedia are identified and removed from ORGANIZATION@1 .,-LRB- Removed .,The ORGANIZATION@1 deletion policy describes how pages that do not meet the relevant criteria for content of the encyclopedia are identified and removed from ORGANIZATION@1.
The war began on 25 June 1950 and an armistice was signed on 27 July 1953 .,July 1950,The war began on June 25 1950 and an armistice was signed on July 27 1953.
"Overall , the definition of food waste can vary in many ways , including , but not limited to : what food waste consists of , how food waste is produced , and where\/what it is discarded from\/generated by .",What food waste consists of,"Food waste can vary in many ways, including : what food waste consists of, how food waste is produced, and where it is discarded from/generated by."
1880 & ndash ; France annexes Tahiti .,1880 - France annexes Tahiti,1880 - France annexes Tahiti.
Various inscriptions of the Res Gestae have been found scattered across the former LOCATION@1 .,Various copies of the Res Gestae have been found throughout the LOCATION@1 .,Various inscriptions of the Res Gestae have been found scattered across the former LOCATION@1.
"Other languages Lol is a Dutch word -LRB- not an acronym -RRB- which , coincidentally , means '' fun '' -LRB- '' lollig '' means '' funny '' -RRB- .","It also means mute in Persian and is a native Dutch word -LRB- not an acronym -RRB- which , conveniently , means '' fun '' -LRB- '' lollig '' means '' funny '' -RRB- .",Other languages Lol is a Dutch word -LRB- not an acronym -RRB- which means '' fun '' -LRB- '' lollig '' means '' funny '' -RRB-.
"The longest land tunnel in the world , the LÃ tschberg Base Tunnel , is in operation since late NUMBER@1 , connecting by rail the town of LOCATION@1 in canton LOCATION@2 , with the town of Visp in canton Valais\/Wallis .","The longest land tunnel in the world , the LÃ tschberg Base Tunnel , will soon be working , in late NUMBER@1 perhaps , connecting by rail the town of LOCATION@1 in canton LOCATION@2 , with the town of Visp in canton Valais\/Wallis .","The longest land tunnel in the world, the L tschberg Base Tunnel, is in operation since late NUMBER@1."
"Over the centuries , Sunderland grew as a port , trading coal and salt .","Sunderland grew as a port , mostly selling coal and salt . Sunderland was a big trading port at the time .","Over the centuries, Sunderland grew as a port, trading coal and salt."
The barnyard and petting zoo were added in 1949 .,The barnyard and petting zoo opened in 1949 .,The barn and petting zoo were added in 1949.
"Kinto the Waterbender , originally of the North Pole 's Northern Water Tribe , is a world traveller and a chronic practical joker who plays tricks",Kinto the Waterbender,"Kinto the Waterbender, originally of the North Pole's Northern Water Tribe, is a world traveller and a chronic practical joker who plays tricks."
The Nintendo DS version will feature changeable outfits and swappable partners .,Waltz -LRB- DS only -RRB-,The Nintendo DS version will feature changeable outfits and swappable partners.
Chronic lymphocytic leukemia -LRB- CLL -RRB- most often affects adults over the age of 55 .,Chronic lymphocytic leukemia -LRB- CLL -RRB- is usually seen in people over the age of 55 .,Chronic lymphocytic leukemia -LRB- CLL -RRB- most often affects adults over 55.
"King James I , who came to the English throne from Scotland in 1603 , had a keen interest in witchcraft .","King James I , came to the English throne in 1603 .","King James I, who came to the English throne from Scotland in 1603, was interested in witchcraft."
Its members made a deliberate and emphatic choice early on to play football exclusively and to turn their backs on rugby -- their chosen sport 's close cousin -- at a time when both of these new English games were still evolving .,ORGANIZATION@1 is a football club which plays in LOCATION@1 .,Its members made a deliberate and emphatic choice early on to play football exclusively and to turn their backs on rugby -- their chosen sport's close cousin.
"Currently , key lengths of NUMBER@1 bits -LRB- for symmetric key algorithms -RRB- and NUMBER@2 bits -LRB- for public-key algorithms -RRB- are common .","Currently , commonly used key lengths are : 128-bits for symmetric key algorithms .","Currently, key lengths of NUMBER@1 bits -LRB- for symmetric key algorithms -RRB- and NUMBER@2 bits -LRB- for public-key algorithms -RRB- are common."
The heterodox Christian therefore remains in the tradition and attempts to stimulate constructive dialog around issues with which they disagree .,The heterodox Christians remain in the tradition and attempt a constructive dialog around issues with which they disagree .,The heterodox Christian therefore remains in the tradition and seeks to stimulate dialogue around issues with which they disagree.
The group gained popularity on ORGANIZATION@1 and climbed the charts early on in their career .,They got spots in music festivals such as Bamboozle Left NUMBER@1 and Audio Overload NUMBER@1 .,The group gained popularity on ORGANIZATION@1 and climbed the charts early in their career.
Aftershocks occur with a pattern that follows Omori 's law .,Omoris Law,Aftershocks occur with a pattern that follows Omori's law.
"In NUMBER@1 , the installation of a fax machine and an electronic computer in the ORGANIZATION@1 led to more accurate and quicker forecasting .","In NUMBER@1 , a fax machine and an electronic computer were bought by the ORGANIZATION@1 . This gave better and quicker forecasting .","In NUMBER@1, the installation of a fax machine and an electronic computer in the ORGANIZATION@1 led to more accurate and quicker forecasting."
"The line-up included Stone Gossard on rhythm guitar , Jeff Ament on bass guitar -LRB- both ex-members of Mother Love Bone -RRB- , Mike McCready on lead guitar , Matt Cameron on drums and Eddie Vedder providing lead and backing vocals .","The line-up included Stone Gossard on rhythm guitar , Jeff Ament on bass guitar -LRB- both ex-members of Mother Love Bone -RRB- , Mike McCready on lead guitar , Matt Cameron on drums and Eddie Vedder , providing backing vocals .","Stone Gossard on rhythm guitar, Jeff Ament on bass -LRB- both members of Mother Love Bone -RRB-, Mike McCready on lead guitar, Matt Cameron on drums and Eddie Vedder providing lead vocals."
"Deceptively named , carrot cake more closely resembles a quick bread in method of preparation -LRB- all the wet ingredients , such as the eggs and sugar , are mixed together , all the dry ingredients are mixed together , and the wet are then added to the dry -RRB- and final consistency -LRB- which is usually denser than a traditional cake and has a coarser crumb -RRB- .",Carrot cake more closely is a quick bread in method of .,"Deceptively named, carrot cake more closely resembles a quick bread in method of preparation -LRB- all the wet ingredients, such as the eggs and sugar, are mixed together, and the wet are then added to the dry -RRB- and final consistency -LRB- which is usually denser than a traditional cake and has a coarser crumb -RRB-."
"The term '' eudicots '' has been widely adopted to refer to one of the two largest clades of angiosperms , monocots being the other .",The are one of the two major clades .,"The term '' Eudicots '' has been widely used to refer to one of the two largest clades of angiosperms, monocots being the other."
"Any ceremonial action taken to correct a hardware problem , with the expectation that nothing will be accomplished .",Any ceremonial action taken to fix a hardware problem in which nothing is expected to happen .,"Any action taken to correct a hardware problem, with the expectation that nothing will be done."
This has occasionally led to fans requesting these songs during encores of their live shows .,Fan,Fans have sometimes requested these songs during encores of their live shows.
Boissey is a commune in the Ain department in eastern France .,Boissey is a commune .,Boissey is a commune.
"Swindon play their home games at The County Ground which has a capacity of 14,700 .",They play their home games at the County Ground .,"Swindon play their home games at The County Ground which has a capacity of 14,700."
Both parents were keen amateur musicians : his father sang in church choirs and played the cello and his mother sang songs from her native Wales .,The programs were much longer than they are in concerts today .,Both his parents were keen musicians : their father sang in church choirs and played the cello.
ORGANIZATION@1 readers have two possibilities to influence the way ORGANIZATION@1 content is displayed on their screens : by creating an account and reading ORGANIZATION@1 while logged in .,"ORGANIZATION@1 readers have two possibilities to influence the way ORGANIZATION@1 content is displayed on their screens : They can create an account , and log into that account for reading articles .",ORGANIZATION@1 readers have two possible ways to influence the way ORGANIZATION@1 content is displayed on their screens : by creating an account and reading ORGANIZATION@1 while logged in.
"Although Portlethen has been granted official town status , it resembles a residential suburb without a clear ` town center ' or focal point .","Although Portlethen is a town in terms of population -LRB- and it has been granted official town status -RRB- , it resembles a residential suburb without a clear ` town center ' or focal point .","Although Portlethen has been granted official town status, it looks like a residential suburb without a clear  town center'or focal point."
"According to Thai Rath Newspaper of Thailand on 8 May 2008 , in the afternoon -LRB- Bangkok time -RRB- of 7 May 2008 , the Burmese junta permitted Italian flights containing relief supplies from the United Nations , and twenty-five tonnes of consumable goods , to land in Burma .","According to Thai Rath Newspaper of Thailand on 8 May 2008 , in the afternoon -LRB- Bangkok time -RRB- of 7 May 2008 , the Burmese junta permitted Italian flights containing relief supplies from the United Nations , and twenty-five tonnes of consumable goods , to land in Myanmar .","On 8 May 2008, in the afternoon -LRB- Bangkok time -RRB- of 7 May 2008, the Burmese junta allowed Italian flights containing relief supplies from the United Nations, and twenty-five tonnes of consumable goods to land in Burma."
PERSON@1 attempted to defend it due to the name 's musical connotation to the series .,Music,PERSON@1 attempted to defend it due to the name's musical connotation to the series.
LOCATION@1 is a district in LOCATION@2 .,LOCATION@3 is a district of LOCATION@4 .,LOCATION@1 is a district in LOCATION@2.
"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 & ndash ; February NUMBER@3 , NUMBER@4 -RRB- , nicknamed Charlie O or Charley O , was an American businessman who is best remembered for his tenure as the owner of the ORGANIZATION@1 team .",He was the owner of the ORGANIZATION@2 team .,"PERSON@1 -LRB- February NUMBER@1, NUMBER@2 - February NUMBER@3, NUMBER@4 -RRB- was an American businessman who started the ORGANIZATION@1 team in NUMBER@5."
"ORGANIZATION@1 is a website created by PERSON@1 in NUMBER@1 , where he sets out his proposed theory of everything , a description of the nature of the universe .",Time Cube is a website created by PERSON@1 .,"ORGANIZATION@1 is a website created by PERSON@1 in NUMBER@1, where he sets out his proposed theory of everything."
O'Connor first came to the attention of Xena : Warrior Princess executive producers Robert G. Tapert and Sam Raimi with an '' over-the-top '' audition that won her the role of the young Deianeira in their two-hour '' Action Pack '' adventure '' Hercules and the Lost Kingdom '' .,O'Connor first came to the attention of Xena : Warrior Princess executive producers Robert Tapert and Sam Raimi with an '' over-the-top '' audition that won her the role of the young Deianeira in their two-hour '' Action Pack '' adventure Hercules and the Lost Kingdom .,O'Connor first came to the attention of Xena : Warrior Princess executive producers Robert G. Tapert and Sam Raimi with an audition that won her the role of the young Deianeira in their two-hour '' Action Pack '' adventure '' Hercules and the Lost Kingdom ''.
"For most of their recording career , The Clash consisted of PERSON@1 -LRB- lead vocals , rhythm guitar -RRB- , PERSON@2 -LRB- lead guitar , vocals -RRB- , PERSON@3 -LRB- bass guitar , backing vocals , occasional lead vocals -RRB- and PERSON@4 '' Topper '' PERSON@5 -LRB- drums , percussion -RRB- .",PERSON@3 - Bass guitar,"The Clash was made up of PERSON@1 -LRB- lead vocals, rhythm guitar -RRB-, PERSON@2 -LRB- bass -RRB-, PERSON@3 -LRB- bass -SSB-, backing vocals and PERSON@4 '' Topper '' PERSON@5 -LRB- drums, percussion -RRB-."
Cetology is the branch of marine science associated with the study of cetaceans .,Genus Eubalaena : Right whales,Cetology is a branch of marine science related to the study of cetaceans.
Lefaux is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Lefaux is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France.
PERSON@1 was elected as the first mayor of LOCATION@1 for the years NUMBER@1 -- NUMBER@2 .,The current mayor is PERSON@1 .,PERSON@1 was elected as the first mayor of LOCATION@1 for the years NUMBER@1 - NUMBER@2.
"After a successful junior career with the Quebec Major Junior Hockey League 's Laval Titan , Sauvé was drafted by the NHL 's Buffalo Sabres in the 1st round -LRB- 17th overall -RRB- in 1975 NHL Entry Draft .",1977-78 Buffalo Sabres NHL 11 480 20 0 0 2.50 6 2 0 0 0.000,Sauvé played with the Quebec Major Junior Hockey League's Laval Titans before being traded to the NHL's Buffalo Sabres in the 1st round -LRB- 17th overall -RRB- in 1975.
The reservoir has a volume of NUMBER@1 mio mÂ and a surface area of NUMBER@2 kmÂ .,The lake has a volume of NUMBER@1 million mÂ and a surface area of NUMBER@2 kmÂ .,The reservoir has a volume of NUMBER@1 mio m and a surface area of NUMBER@2 km.
"Chiba Prefecture was established on June 15 , 1873 with the merger of Kisarazu Prefecture and Inba Prefecture .","Chiba Prefecture was established on June 15 , 1873 by combining Kisarazu Prefecture and Inba Prefecture .","Chiba Prefecture was founded on June 15, 1873 with the merger of Kisarazu Prefecture and Inba Prefecture."
"It marks the southernmost point of the BahÃ a de Banderas , upon which the port and resort city of LOCATION@1 stands .",It is the most southern point of the BahÃ a de Banderas .,"It marks the southernmost point of the Bah a de Banderas, on which the port and resort city of LOCATION@1 stands."
Symptoms of a peptic ulcer can be,Symptoms of peptic ulcers,Symptoms of a peptic ulcer can be found anywhere in the body.
"There is a limited set of diacritic marks , which are only applied to certain bases in modern Japanese .","Katakana is used to write words which have been borrowed from other languages , or to write foreign names and names of countries .","There is a limited set of diacritic marks, which are only applied to certain bases in modern Japanese."
"In March NUMBER@1 , three of the circuit 's corners were given names after a competition amongst local NUMBER@2 fans to submit ideas .","In March NUMBER@1 , three of the circuits corners were given names .","In March NUMBER@1, three of the circuit's corners were given names after a competition amongst local NUMBER@2 fans to submit ideas."
"Sometimes , they migrate in very large groups in long files of lobsters across the sea floor .","Sometimes , they migrate en masse , in long files of lobsters across the sea floor .","Sometimes, they migrate in very large groups across the sea floor."
She is the older sister of actress and singer-songwriter PERSON@1 .,She is the sister of PERSON@1 .,She is the older sister of actress and singer-songwriter PERSON@1.
"Sebum is the cause of some people 's experiencing '' oily '' hair , as in hot weather or if not washed for several days .","Sebum is the cause of some people experiencing '' oily '' hair , as in hot weather or if not washed for several days .",Sebum is the cause of some people's experiencing '' oily '' hair.
"In the NUMBER@1 , PERSON@1 performed his offbeat , absurdist comedy routines before packed houses on national tours .",I majored in philosophy .,"In the NUMBER@1, PERSON@1 performed his offbeat, absurdist comedy routines before packed houses on national tours."
"In 2007 , Keselowski began running in the NASCAR Busch series full time and for Rookie of the Year honors with Keith Coleman Racing , but the team suspended operations in July .","In 2007 , Keselowski started racing in the Busch series .","In 2007, Keselowski began running in the NASCAR Busch series full time and for Rookie of the Year honors with Keith Coleman Racing, but the team suspended operations in July."
"According to the ORGANIZATION@1 , the city has a total area of NUMBER@1 square miles -LRB- NUMBER@2 km2 -RRB- , of which , NUMBER@3 square miles -LRB- NUMBER@4 km2 -RRB- of it is land and NUMBER@5 square miles -LRB- NUMBER@6 km2 -RRB- of it -LRB- NUMBER@7 % -RRB- is water .",The ORGANIZATION@1 says that the city has an area of NUMBER@1 square miles .,The city has an area of NUMBER@1 square miles -LRB- NUMBER@2 km2 -RRB-.
"Along with New York 's Broadway theater , West End theater is usually considered to represent the highest level of commercial theater in the English speaking world .",It is like New York 's Broadway theater .,"Along with New York's Broadway theater, West End theater is usually considered to represent the highest level of commercial theater in the English speaking world."
He gave his diary to his American grandson in NUMBER@1 to translate into English and to bring it to the attention of the public .,He wanted him to translate it into different languages and bring it to the attention of the public . Part of the movie is about the grandson 's attempt to bring the PERSON@1 diary to the attention of the public .,He gave his diary to his American grandson in NUMBER@1 to translate into English and to bring it to the attention of the public.
"Beaminster , Dorset Home Page It lies south of Bristol , west of Bournemouth , east of Exeter and northwest of the county town of Dorchester .","Beaminster is a town in Dorset , England .","Beaminster, Dorset Home Page It lies south of Bristol, west of Bournemouth, east of Exeter and northwest of the town of Dorchester."
Tehsils & Unions in the District of Mardan - Government of Pakistan It is located at 34 ° 10 ' 47N 71 ° 59 ' 2E and has an altitude of 286 metres -LRB- 941 feet -RRB- .,Tehsils & Unions in the District of Mardan - Government of Pakistan It is located at 34 ° 10 ' 47N 71 ° 59 ' 2E and has a height of 286 metres -LRB- 941 feet -RRB- .,Tehsils & Unions in the District of Mardan - Government of Pakistan It is located at 34 ° 10'47N 71 ° 59'2E and has an altitude of 286 metres -LRB- 941 feet -RRB-.
The term originally referred to portions of a log which had been split lengthwise into four or six sections .,The term originally meant the portions of a log which one had split lengthwise into four or six sections .,The term originally refers to portions of a log which had been divided lengthwise into four or six sections.
"PERSON@1 released a small amount of information about his trip to LOCATION@1 , and recorded a song called '' Hurricane '' with Kanye West .","On Twitter , PERSON@1 released a bit of information about his trip to LOCATION@2 , and recorded a song called '' Hurricane '' with Kanye West and PERSON@2 of The Killers .","PERSON@1 released a little more information about his trip to LOCATION@1, and recorded a song called '' Hurricane '' with Kanye West."
