source_sentence,simplified_sentence,Human Score,ChatGPT score
Fumichon is a commune in the Calvados département in the LOCATION@1 region of LOCATION@2 .,It is found in the region LOCATION@1 in the Calvados département in the LOCATION@2 region of LOCATION@2 .,4,3
-LRB- See also Separation of church and state and Laïcité . -RRB-,-RRB- See also Separation of church and state and Lacité .,3.5,4
"Duke Nukem NUMBER@1 -LRB- Xbox Live -RRB- . The game was released on September NUMBER@2 , NUMBER@3 for Xbox Live .","The game was released on September NUMBER@2 , NUMBER@3 for Xbox Live .",4.5,5
"Within a year 's stretch , Linkin Park had performed at over 320 concerts .","Within a year , Linkin Park had performed at over 320 concerts .",5,5
"ISBN 1-876429-14-3 is a town on the Calder Highway in the Macedon Ranges of Victoria , Australia .","It is a town on the Calder Highway in the Macedon Ranges of Victoria , Australia .",4.25,4
"In turn , taximeter is an adaptation of the French word taximètre , which is a derivation of the German word taxameter , coined from Medieval Latin taxa , which means tax/charge , together with meter from the Greek metron meaning measure .","In turn , taximeter is an adaptation of the French word taximtre , which is a derivation of the German word taxameter , coined from Medieval Latin taxa , which means tax/charge , together with meter from the Greek metron meaning measure .",3.5,4
"Shirley Jackson -LRB- December 14 , 1916 -- August 8 , 1965 -RRB- was an influential American author .","Shirley Jackson -LRB- December 14 , 1916 -- August 8 , 1965 -RRB- was an American author .",4.25,4
": Example : Walnuts and hickories belong to the Juglandaceae , or walnut family .","Walnuts and hickories belong to the Juglandaceae , or walnut family .",4.25,5
PERSON@1 's plans for both the nave and the façade were accepted .,PERSON@1 's plans for both the nave and the faade were accepted .,3.5,4
"PERSON@1 , one of the first cities to be planned in LOCATION@1 , was built with the intention of becoming the state capital . Founded in NUMBER@1 , as the capital of LOCATION@2 .","PERSON@1 , one of the first cities to be planned in LOCATION@1 , was built with the intention of becoming the state capital .",4.5,5
The sapta-Konkan is a slightly larger region described in the Skanda-purana .,The sapta-Konkan is a region in the Skanda-purana .,4.5,5
"There , Mario defeats a huge Bowser robot being controlled by Shadow Mario which is called Mecha Bowser . It is then revealed that Shadow Mario 's real identity is Bowser Jr. , the youngest son of Bowser .","There , Mario defeats a huge Bowser robot being controlled by Shadow Mario which is called Mecha Bowser .",4,4
"PERSON@1 is a mosque in LOCATION@1 , LOCATION@2 & LOCATION@3 , LOCATION@4 .","PERSON@1 is a mosque in LOCATION@1 , LOCATION@2 & LOCATION@3 .",4.5,4
Most myomorph species belong to superfamily Muroidea :,Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to superfamily Muroidea : Most myomorph species belong to super,1,1
November NUMBER@1 & ndash ; Claude Lorrain French painter -LRB- b. c. NUMBER@2 -RRB-,NUMBER@1 & ndash ; Claude Lorrain French painter -LRB- b.,3.75,4
-LRB- in LOCATION@1 -RRB-,-LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION@1 -LRB- in LOCATION@1 -RRB- in LOCATION,1,1
"'M y Own Trumpet ' , p. 186/7 In 1933 , Boult married Ann Wilson , the ex-wife of Steuart Wilson , tenor singer and administrator .","In 1933 , Boult married Ann Wilson , the ex-wife of Steuart Wilson , tenor singer and administrator .",4,5
This made the white Ã migrÃ s a target for infiltration by the Soviet secret police -LRB- e.g. operation TREST and the Inner Line -RRB- .,This made the white  migr s a target for infiltration by the Soviet secret police -LRB- e.g.,4,4.5
"Schmeer , P. , and M. L. Hazen , CV Aquarii identified with -LRB- 52 -RRB- Europa , Journal of the American Association of Variable Star Observers , Vol .","Hazen , CV Aquarii identified with -LRB- 52 -RRB- Europa , Journal of the American Association of Variable Star Observers , Vol .",3.75,4
"Founded in 2001 by singer Bill Kaulitz , guitarist Tom Kaulitz , drummer Gustav Schäfer and bassist Georg Listing .","Founded in 2001 by singer Bill Kaulitz , guitarist Tom Kaulitz , drummer Gustav Schfer and bassist Georg Listing .",3.5,3
Grand Forks is the third-largest city in the U.S. state of North Dakota and the county seat of Grand Forks County .,Grand Forks is the third-largest city in the U.S.,3.25,3.5
Hafnium was the penultimate stable isotope element to be discovered -LRB- rhenium was identified two years later -RRB- .,Hafnium was the penultimate stable element to be discovered -LRB- rhenium was identified two years later -RRB- .,3.5,4
"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many elevations in the Grison Alps, including the Tödi at and the highest peak Piz Bernina at.",5,5
"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former German football player.,0.5,3.5
"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player. He plays for ORGANIZATION@1 and LOCATION@2 national team.,4.25,4
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory.,4.5,5
"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Dr. Gregory House -LRB- Hugh Laurie -RRB- is the head of the Department of Diagnostic Medicine.,4.5,5
"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-, and ended roughly NUMBER@3 billion years ago.",4,5
"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a time in the World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars, a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB-, and culminated at the end of the wars",4.25,5
"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurentia -LRB- i.e. the core North American continent -RRB-, Baltica, Siberia, Kazakhstania, and the North China and East China cratons -RRB-.",3,4.5
"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is a commune of the Nord.,3,4
"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing, a serial port is a physical interface for data transfers one bit at a time through a serial communication.",4,4.5
"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It is part of the German Spitz breed, and in many countries they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB-, or Toy German PERSON@1.",4,4.5
"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","He started piano and harmony training with his mother when he was 5, and at age 7 turned to the violin, getting instruction from Maurice Frenkel.",4.5,4
a.k.a. Pro Player Park -LRB- -RRB-,A.k.a. Pro Player Park -LRB- -RRB-,4.75,5
"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a politician and writer of the Baroque era.",5,4
He currently plays for the Japanese team Yokohama F. Marinos .,He plays for Yokohama F. Marinos.,4.5,5
"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide, CdI2, is a chemical compound.",4,4.5
"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .",One day PERSON@1 took his place.,0.5,3
His replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they keep.,5,2.5
"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,5,4.5
The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of todays Ain about 1500 B.C..,4,1.5
"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost has won many awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006.",4,4.5
"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much that the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-, even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1's PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5.",4,5
"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.",4,4
"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy, released by Atlantic Records on June 28, 2004 on most international territories and on June 29, 2004 in Canada and the United States.",5,5
"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.",5,2
"The second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the official winner.",4.25,5
"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- are an English football club that play in Northampton, Northamptonshire.",4.5,4.5
The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,5,5
"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.",5,5
"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.",5,5
They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were first influenced by The Beatles and other sixties pop groups like The Kinks.,4.25,5
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s.,5,5
"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock doesn't open, it means they've counted wrong and they can go back and correct their mistakes.",4.25,5
"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo.",5,5
"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho, real name Nazareth Filho -LRB- born 5 June 1955 -RRB- was a Brazilian football player.",3.5,5
LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the atomic number NUMBER@1.,4,3
"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","For example, if the frequency of an allele is 20 % in a population, then among population members, one in five chromosomes will carry that allele.",5,5
"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while changing pressure, temperature, and other state variables, eventually returning a system to its original state.",5,5
"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.",5,5
"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public research university in College Station, Texas.",4.5,3
"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Dikes are mostly made using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons.",5,5
Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,5,5
Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city in the U.S. state of Iowa.,4.5,5
"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","Billericay is a small town in Essex, England.",5,4
PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born NUMBER@1 November NUMBER@1 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.,4,5
"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE, FRSA -LRB- born 21 June 1948 -RRB- is an English writer.",4.5,3
Ultratop is the official Belgian record charts .,Ultratop is the official Belgian record chart.,5,5
The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,The album also has two bonus songs : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB-.,4.5,4
Electronic gear used by audiophiles can be bought at specialist shops and websites .,Electronic gear used by audiophiles can be bought online.,4.5,4
"The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .","The Rocker is a 2008 movie starring Rainn Wilson, Josh Gad, Teddy Geiger, Emma Stone and Jason Sudeikis.",4.5,5
