source_sentence,simplified_sentence
Cosworth has subsequently made several 3000 c V10 engines for a number of Formula One teams .,Cosworth has made several 3.0 L V10 engines for other Formula One teams .
"Progressive rock eventually stuck as a label for a specific genre of rock music , while '' art rock '' was used to refer to a wider , more subjective and harder-to-categorize collection of bands .","Progressive rock eventually stuck as a label for a specific genre of rock music , while art rock was used to described bands that were harder to label ."
"It has been reported to be a maniraptoran dinosaur from the Middle Jurassic or Upper Jurassic age Daohugou Beds of Inner Mongolia , China -LRB- about 152 to 168 mya -RRB- .","It is a small maniraptoran dinosaur from the Middle or Upper Jurassic age Daohugou Beds of Inner Mongolia , China -LRB- perhaps 152 to 168 million years ago -RRB- ."
Finally the commune hosts a waste incinerator which disposes of the waste from NUMBER@1 surrounding communes .,"Finally , the commune hosts a waste incinerator which disposes of the waste from NUMBER@1 surrounding communes ."
"The Prince of Wales Trophy , also known as the Wales Trophy , is an award presented by the National Hockey League -LRB- NHL -RRB- to the Eastern Conference -LRB- formerly the Wales Conference -RRB- playoff champions , prior to the final series of games for the Stanley Cup .","The Prince of Wales Trophy , or simply the Wales Trophy , is a National Hockey League -LRB- NHL -RRB- trophy awarded to the Eastern Conference -LRB- formerly the Wales Conference -RRB- playoff champions ."
"Within two months , PERSON@1 had won five races and in July NUMBER@1 was offered terms by two professional teams ; he decided to join PERSON@2 , which already had a British cyclist , PERSON@3 .","Within two months , PERSON@1 had won five races and in July NUMBER@1 was offered terms by two professional teams ; he decided to join the Rapha Geminiani team , which already had a British cyclist , PERSON@3 , in its squad ."
"After joining them in NUMBER@1 , his younger son , PÃ ter BartÃ k , enlisted in the ORGANIZATION@1 .",Their son PÃ ter joined them in NUMBER@1 and later joined the ORGANIZATION@1 .
"The committee had also organised a '' London Provincial Tournament '' for other British players , and '' promoted '' some of the entrants to play in the International Tournament in order to obtain the right number of players for a knock-out tournament .","The committee had also organized a ` London Provincial Tournament ' for other British players , and promoted some of the entrants to play in the International Tournament to get the right number of players for a knock-out tournament ."
"He is a well-known economist , investor , capitalist , politician , former Senator , and leader of the presidential and parliamentary electoral coalition Coalition for Change .","He is a well-known economist , investor , businessperson , politician , former Senator , and leader of the presidential and parliamentary electoral coalition Coalition for Change ."
"PERSON@1 convinces ORGANIZATION@1 that PERSON@2 is solely responsible ; then news arrives that PERSON@2 is still at large -- his ship was attacked by pirates on the way to LOCATION@1 , and he has returned to LOCATION@2 .","PERSON@1 sends Hamlet to LOCATION@1 to have him killed , but his ship is attacked by pirates who take Hamlet prisoner but then return him to LOCATION@2 ."
"In a unique arrangement for the league , the ORGANIZATION@1 share LOCATION@1 in LOCATION@2 , LOCATION@3 with the ORGANIZATION@2 .",Even though they are called the ORGANIZATION@3 they play in LOCATION@3 . They hail from the same stadium as the ORGANIZATION@2 .
"Asia Liu Xuan , a descendant of the Han Dynasty royal family and leader of insurgents against the Xin Dynasty , proclaims himself emperor against Wang Mang .","Gaius Asinius Pollio , Gaius Antistius Vetus become consuls Asia Liu Xuan , a descendant of the Han Dynasty royal family and leader of insurgents against the Xin Dynasty , proclaims himself emperor against Wang Mang ."
"When she was twelve , she was accepted into a middle school affiliated to Sichuan Conservatory of Music after scoring the highest with her violin talents , but she opted to become a singer instead .","When she was twelve , she went to a middle school founded by the Sichuan Music College after scoring the highest with her violin-playing , but she chose to become a singer instead ."
"Colin Davis attended Christ 's Hospital in Sussex before studying clarinet in London In 1949 , Davis married the soprano April Cantelo .",Davis went to school at Christ 's Hospital before studying the clarinet at the Royal College of Music in London .
"Alsatian -LRB- Alsatian and -LRB- literally Alsatian-German -RRB- ; ; or Elsässerdeutsch -RRB- is a Low Alemannic German dialect spoken in most of Alsace , a region in eastern France which has passed between French and German control many times .","Alsatian -LRB- French : Alsacien , German : Elsässisch -RRB- is a German language spoken in Alsace -LRB- eastern part of France -RRB- ."
"Koenraad Elst -- Gandhi and Godse - a Review and a Critique , Voice of India , 2001 .","Koenraad Elst -- Gandhi and Godse - A Review and A Critique , Voice of India , 2001 ."
"Users will be able to send a question via text message , and AskMeNow will search Britannicas 28,000-article concise encyclopedia to return an answer to the query .","Users can send a question by text message , and AskMeNow will search Britannicas 28,000-article encyclopedia to answer the user ."
PERSON@1 faced PERSON@2 later in the evening and won the championship by pinning PERSON@2 .,PERSON@1 faced PERSON@2 later in the event .
"A new DVD release of all episodes -LRB- '' Extra Stoopid Edition '' -RRB- was launched in November , 2007 , containing new documentaries and two commentary tracksRoobarb 's DVD Forum -LRB- pilot and final episodes only -RRB- .","A new DVD release of all episodes -LRB- '' Extra Stoopid Edition '' -RRB- came out in November of 2007 , with new documentaries and two commentary tracks ."
"The Flora family of asteroids is a large grouping of S-type asteroids in the inner main belt , whose origin and properties are relatively poorly understood at present .","The Flora family of asteroids is a big group of S-type asteroids in the closer part of the main belt , whose origin and properties are not well understood right now ."
"Crabs are found in all of the world 's oceans , while many crabs live in fresh water and on land , particularly in tropical regions .","Most crabs live in sea-water , but there are some who live in fresh water , and some who live on land ."
Eragon is the first book in the Inheritance Cycle by PERSON@1 .,Eragon is a book written by PERSON@1 . Eragon is the first book in the Inheritance Cycle .
"Kim Do-Hoon -LRB- born 21 July , 1970 -RRB- is a former South Korean football player .","Kim Do-Hoon -LRB- born 21 July , 1970 -RRB- is a former football player ."
"He was one of the first NHL goaltenders to catch the puck with his hand to make a save , and helped popularize the technique .",Thompson helped to make common the technique of catching the puck as a method of making a save . He was one of the first goaltenders in the NHL to catch the puck in order to stop it .
"Tunicates are more closely related to craniates -LRB- including hagfish , lampreys , and jawed vertebrates -RRB- than to lancelets , echinoderms , hemichordates , PERSON@1 or other invertebrates .","Tunicates are more closely related to craniates -LRB- hagfish , lampreys , jawed vertebrates -RRB- than to lancelets , echinoderms , hemichordates , or other invertebrates ."
"Another god , KichijÅ ten , goddess of happiness , is sometimes found depicted along with the seven traditional gods , replacing JurÅ jin , the reasoning being that JurÅ jin and Fukurokuju were originally manifestations of the same Taoist deity , the ORGANIZATION@1 .","Another god , KichijÅ ten , goddess of happiness , is sometimes found depicted along with the seven traditional gods , replacing JurÅ jin ."
It was released by EMI Gold on 8 August 2005 .,It was released by EMI on 8 August 2005 .
"In Major League Baseball -LRB- MLB -RRB- , the 500 home run club is a term applied to the group of batters who have hit 500 or more regular-season home runs in their careers .","In Major League Baseball -LRB- MLB -RRB- , the 500 home run club is a term given to the group of batters who have hit 500 or more regular-season home runs in their careers ."
"The greater Cranbourne area consists of Cranbourne , Cranbourne North , Cranbourne East , Cranbourne South , Cranbourne West .",The Cranbourne area is made up of the suburbs : Cranbourne Cranbourne East Cranbourne North Cranbourne South Cranbourne West Junction Village .
"The only permanent settlement on the island , LOCATION@1 or Ikhuak , an Inuvialuit hamlet , is on the southwest coast .","The only permanent Inuvialuit settlement on the island , LOCATION@1 or LOCATION@2 , is on the southwest coast ."
Méritein is a commune in the Pyrénées - Atlantiques department in south-western LOCATION@1 .,Méritein is a commune of the Pyrénées - Atlantiques département in the southwestern part of LOCATION@1 .
Australian Idol - NUMBER@1,Australian Idol - NUMBER@2
"This means that the cells of the innate system recognize and respond to pathogens in a generic way , but unlike the adaptive immune system , it does not confer long-lasting or protective immunity to the host .","This means the cells of the innate system recognize and respond to pathogens in a general way , but unlike the adaptive immune system , it does not confer long-lasting or protective immunity to the host ."
Essigny-le-Petit is a commune in the LOCATION@1 département in LOCATION@2 in northern LOCATION@3 .,It is found in the region LOCATION@2 in the LOCATION@1 department in the north of LOCATION@3 .
"It was started in NUMBER@1 , with PERSON@1 as its first writer , with PERSON@2 added to the team in October NUMBER@1 .","It started in NUMBER@1 , with PERSON@1 as its first writer and PERSON@2 added to the team in October NUMBER@1 ."
Lie joined the Labour Party in 1911 and was named as the party 's national secretary soon after receiving his law degree from the University of Oslo in 1919 .,He joined the Labour Party in 1911 and was named as the party 's national secretary soon after getting his law degree from the University of Oslo in 1919 .
"At the 2000 census the population was 3,374 .","At the 2000 census , the population was 3,374 ."
"The Kingdom of Great Britain was superseded by the United Kingdom of Great Britain and Ireland on 1 January 1801 , when Great Britain was united with the Kingdom of Ireland by the Acts of Union of 1800 following the suppression of the Irish Rebellion of 1798 .",The Kingdom of Great Britain was followed by the United Kingdom of Great Britain and Ireland in 1801 when the Kingdom of Ireland became part of the United Kingdom by the Act of Union 1800 after the suppression of the Irish Rebellion of 1798 .
Youri Raffi Djorkaeff -LRB- born 9 March 1968 -RRB- is a former French football player who played as a forward or as an attacking midfielder .,Youri Djorkaeff -LRB- born 9 March 1968 -RRB- is a former French football player .
"This definition coupled with present definition of the second is based on the special theory of relativity , that our space-time is a Minkowski space .",This definition combined with present definition of time makes our space-time to be Minkowski space and makes special relativity absolutely correct simply by definition .
"In professional sports , a trade is a sports league transaction involving an exchange of players ' contracts and\/or draft picks between teams .","In professional sports , a trade is when one -LRB- or more -RRB- player 's contract and\/or draft picks is traded between sports teams ."
"Because of Harty 's estrangement from his wife , the conductor was nursed through his final illness by his secretary and intimate friend , Olive Elfreda Baguley .","He was looked after by his secretary Olive Baguley , because he had separated from his wife ."
"On 4 January 1923 John Murray married Mary Madeline Cannon at St Mary 's Cathedral , Sydney , and his civilian career began to prosper , being appointed as the Manager of the delivery department at Anthony Hordern & Sons .","On 4 January 1923 John Murray married Mary Madeline Cannon at St. Mary 's Cathedral , Sydney , and soon after became the manager of the delivery department at Anthony Hordern & Sons ."
2020 -LRB- MMXX -RRB- will be a leap year starting on Wednesday in the Gregorian calendar .,2020 -LRB- MMXX -RRB- will be a leap year starting on Wednesday of the Gregorian calendar .
"It is made of silicates and metallic nickel-iron , and may be the core remnant of a large asteroid that was destroyed by an ancient collision .","It is made of silicates and metallic nickel-iron , and may be the core remnant of a big asteroid that was destroyed by an ancient collision ."
"At , Avebury is respectively about 6 a from the modern towns of Marlborough and Calne .","At , Avebury is roughly midway between the towns of Marlborough and Calne , just off the main A4 road ."
The district of Entremont is a district in the canton of Valais in Switzerland .,Entremont is a district in the canton of Valais in Switzerland .
"After seven years the children have the right to live with the father or the mother , as they decide .","After NUMBER@1 years children have the right to live with father or mother , as they decide ."
"History PERSON@1 is one of the original NUMBER@1 departments created during the French Revolution on March NUMBER@2 , NUMBER@3 .",It is one of the NUMBER@1 original departments created during the french revolution .
"Some bacteria use conjugation to transfer genetic material between bacteria ; while not the same as sexual reproduction , this also results in the mixture of genetic traits .","Some bacteria use conjugation to transfer genetic material between bacteria . This is not the same as sexual reproduction , but it also results in the mixture of genetic traits ."
"Expanding his interest in the neglected area of chamber music , Brain formed a wind quintet with his brother in 1946 .","Brain played a lot of chamber music , forming a wind quintet with his brother in 1946 ."
"Marcellina is with them , having informed Susanna of Figaro 's suspicions and plans .",Marcellina is with them . She has told Susanna of Figaro 's suspicions and plans .
ORGANIZATION@1 won the Presidents ' Trophy and home-ice advantage throughout the playoffs .,won the Presidents ' Trophy and home-ice advantage throughout the playoffs .
"The Flock is a 2007 thriller film directed by Andrew Lau , the co-director of the Infernal Affairs trilogy .","The Flock is a 2007 movie directed by Andrew Lau , the co-director of the Infernal Affairs trilogy ."
"The logo was a reference to a partial Smilodon skeleton found beneath downtown LOCATION@1 in NUMBER@1 , during construction of the ORGANIZATION@1 building , now the ORGANIZATION@2 -LRB- LOCATION@1 -RRB- .","Their logo is a reference to a partial Smilodon skeleton that was found beneath downtown LOCATION@1 in NUMBER@1 , during the construction of the ORGANIZATION@1 ."
"NUMBER@1 saw ORGANIZATION@1 's worst Formula One season in terms of points despite a promising driver lineup in PERSON@1 and PERSON@2 , a revised NUMBER@2 entrant and a new NUMBER@3 powerplant from ORGANIZATION@2 .","saw ORGANIZATION@1 's worst Formula One season in terms of points . They had a promising driver lineup with PERSON@1 and PERSON@2 , a revised NUMBER@2 car and a new NUMBER@3 engine from ORGANIZATION@2 ."
"For instance , nudity among immediate family members in the home is sometimes permitted , especially in the bedroom and bathroom ; or wearing undergarments casually , which would not be done outdoors .","Nudity among close family members in the home is sometimes permitted , especially in the bedroom and bathroom ."
"According to Roman tradition , the city was founded by the twins Romulus and Remus on 21 April 753 BC .","According to legend , Rome was founded on April 21 , 753 by Romulus ."
The constitution provides for a separation of powers and proclaims LOCATION@1 's '' attachment to the Rights of Man and the principles of national sovereignty as defined by the Declaration of NUMBER@1 . '',The constitution provides for a separation of powers . It proclaims LOCATION@1 's '' attachment to the Rights of Man and the principles of national sovereignty defined by the Declaration of NUMBER@1 . ''
"It is similar in function to the template , which is used on general purpose disambiguation pages .",It is similar in function to Template : Disambig which is used on general purpose disambiguation pages .
Cytosine has a half-life of NUMBER@1 days at and NUMBER@2 years in freezing water .,Cytosine has a half-life of NUMBER@1 days at NUMBER@3 ° C and NUMBER@2 years in freezing water .
"Super Smash Bros. is the first game in the Super Smash Bros. series , and was followed by Super Smash Bros. .",Super Smash Bros. is the first game in the Super Smash Bros. series .
"Most jurisdictions that restrict pit bulls , including LOCATION@1 , LOCATION@2 , , LOCATION@3 , LOCATION@4 and LOCATION@5 , LOCATION@6 , apply the restriction to the modern American pit bull terrier , ORGANIZATION@1 terrier , LOCATION@7 bull terrier , or any other dog that has the substantial physical characteristics and appearance of those breeds .","Pit bull is a word used to describe several breeds of dog . This includes the American Pit Bull Terrier , ORGANIZATION@2 , and ORGANIZATION@3 , and dogs with a mix of these breeds ."
"By decree of President Jorge Montt and his Interior Minister , Manuel José Irarrázabal , the city was officially established on December 22 , 1891 .","President Jorge Montt and his Minister , Manuel José Irarrázabal , the city was officially established on December 22 , 1891 ."
"Some participating publishers , however , delay release of their articles for a set time after paper publication -LRB- often six months -RRB- .","Some publishers , though , do not show their articles for some time after they publish them on paper -LRB- usually about six months -RRB- ."
They called this uptake and incorporation of DNA by bacteria '' transformation . '',They called this uptake and incorporation of DNA by bacteria ` transformation ' .
"The first two sections are meant to represent life , the last two death and transfiguration .","The first two sections are meant to be about life , the last two sections are about death ."
"After becoming extratropical , the storm weakened as it tracked eastward , becoming a gale center west of LOCATION@1 early on September NUMBER@1 .","After becoming fully extratropical , the storm weakened as it tracked eastward , becoming a gale center west of LOCATION@1 early on September NUMBER@1 ."
"Detmold -LRB- -RRB- is a city in North Rhine-Westphalia , Germany , with a population of about 74,000 .",Detmold is a town in the German state North Rhine-Westphalia .
"Led Zeppelin were an English rock band formed in 1968 by Jimmy Page -LRB- guitar -RRB- , Robert Plant -LRB- vocals -RRB- , John Paul Jones -LRB- bass guitar , keyboards -RRB- , and John Bonham -LRB- drums -RRB- .","The lineup was Robert Plant -LRB- vocals -RRB- , Jimmy Page -LRB- lead guitar -RRB- , John Paul Jones -LRB- bass -RRB- , and John Bonham -LRB- drums -RRB- ."
"In NUMBER@1 , assuming that the asteroid was of S-type and that it had a diameter of NUMBER@2 km , the rotational period was measured to be NUMBER@3 hours .","In NUMBER@1 , believing that the asteroid was of S-type and that it had a diameter of NUMBER@2 km , the length of NUMBER@4 LOCATION@1 's day was thought to be NUMBER@3 hours ."
LOCATION@1 declared war on LOCATION@2 on NUMBER@1 June .,LOCATION@1 began the war with the Allies on NUMBER@1 June .
"left -LRB- frac -LCB- x - mu -RCB- -LCB- sigma -RCB- right -RRB- ,",; exp left -LRB- - frac -LCB- left -LRB- x - mu right -RRB- ^ NUMBER@1 -RCB- -LCB- NUMBER@1 sigma ^ NUMBER@1 -RCB- right -RRB- !
"According the NUMBER@1 Census , LOCATION@1 was the fourth fastest growing state -LRB- at NUMBER@2 percent -RRB- in the LOCATION@2 between NUMBER@3 and NUMBER@1 .","According to the NUMBER@1 Census , LOCATION@1 was the fourth fastest growing state -LRB- at NUMBER@2 percent -RRB- in the LOCATION@2 between NUMBER@3 and NUMBER@1 ."
"Instead it leads to a bridge , a 24-measure long glissando-like crescendo starting from low E to an E several octaves higher .","Instead it leads to a bridge , a long climax starting from low E to an E several octaves higher ."
"It too features a sharp toe like the Bügel for penetrating weed and grass , sets quickly Lowe , Colin : '' Gear Test : Rocna Anchor '' , Boating NZ , July 2006 , and has a particularly large fluke area .","It too has a sharp toe for weed and grass . It sets quickly Lowe , Colin : '' Gear Test : Rocna Anchor '' , Boating NZ , July 2006 , and has a large fluke area ."
"Regions that experienced greater environmental effects as the last glacial period ended have a much more apparent Mesolithic era , lasting millennia .",Regions that experienced greater environmental effects as the last ice age ended have a much more evident Mesolithic era . This lasted millennia .
"Centrifugal compressors use a rotating disk or impeller in a shaped housing to force the gas to the rim of the impeller , increasing the velocity of the gas .","Centrifugal compressors use a vaned rotating disk or impeller in a shaped housing to force the gas to the rim of the impeller , increasing the velocity of the gas ."
"Cover versions Classic Case did a cover of '' Fell on Black Days '' on the band 's 2006 EP , Black Unicorn Split .","Cover versions In 2006 , Classic Case did a cover of '' Fell on Black Days '' on the band 's Black Unicorn Split EP with '' He is Legend '' ."
"LOCATION@1 is on PERSON@1 , a fifty square-mile tract of formerly open land in LOCATION@2 and ORGANIZATION@1 .","It is located in LOCATION@3 , LOCATION@2 , and is the current home and official residence of Prince PERSON@2 , the Earl of ORGANIZATION@2 and PERSON@3 , Countess of ORGANIZATION@2 ."
"Orodel is a commune in Dolj County , Romania with a population of 3,242 people .","Orodel is a commune found in Dolj County , Romania ."
"Bluetooth exists in many products , such as the iPod Touch , Lego Mindstorms NXT , PlayStation 3 , PSP Go , telephones , the Nintendo Wii , and some high definition headsets , modems , and watches .","Bluetooth exists in many products , such as telephones , the Wii or PlayStation 3 . It has recently been built into some high definition watches , modems and headsets ."
A context switch is the computing process of storing and restoring the state -LRB- context -RRB- of a CPU such that multiple processes can share a single CPU resource .,A context switch is the computing process of saving and restoring the state -LRB- context -RRB- of a CPU such that multiple processes can share a single CPU resource .
"1880 -- Coaxial cable patented in England by Oliver Heaviside , patent no. 1,407 .","Timeline 1880 -- Coaxial cable patented in England by Oliver Heaviside , patent no. 1,407 ."
It can be accompanied by yawning .,It may be done while yawning .
"The debut CD '' Killing My Darlings '' was released on the May 7 , 2008 and became one of the most sold albums of 2008 landing at number 1 on the Swedish album chart .",Her first album was released in 2008 and became a number 1 album on the charts .
June 1 * The 2006 Atlantic hurricane season officially begins .,"The season officially began on June 1 2006 , and lasted until November 30 . June June 1 * The 2006 Atlantic hurricane season officially begins ."
"The name Syfy was officially adopted on July 7 , 2009 .",The name Syfy was officially adopted on 7 July 2009 .
The album includes two duets '' Hay Hay '' and '' Nereye BÃ yle '' with him .,"Album includes two duets , '' Hay Hay '' and '' Nereye BÃ yle '' with popstar PERSON@1 ."
"Geography LOCATION@1 is located in LOCATION@2 's inner city , west of the LOCATION@3 park .","Geography LOCATION@1 is located along the river Spree within the LOCATION@4 glacial valley , west of the LOCATION@3 park ."
"In these cases , the reason is the following : Start with any irregularly shaped two-dimensional figure .","In these cases , the reason is the following : Start with any irregularly shaped two-dimensional figure F0 ."
"While the original film 's plot seems to have been inspired on the PERSON@1 play PERSON@2 , this sequel 's plot is similar to another PERSON@1 play , PERSON@3 and PERSON@4 .","Like how the first movie seems to have been based on the PERSON@1 play Hamlet , this movie is similar to another PERSON@1 play , PERSON@3 and PERSON@4 ."
"On 18 January 2007 , he announced his decision to step down from the posts of minister-president and party chairman by 30 September , after having been under fire in his own party for weeks .","On January 18 , 2007 , he said he no longer wanted to be minister-president and party leader by September 30 , after having been criticized by his own party for weeks ."
"Me savas nek la Sanskrito e nek la Latina , Mea vid-cirklo es ancien-mod ' quale tino Nur morto e nasko homala , nur grani ed astri Aden mea vid-cirklo penetras e standas sat mastre .","Aden mea vid-cirklo penetras e standas sat mastre Nur morto e nasko homala , nur grani ed astri ."
The first performance of the revised version of his Enigma Variations - the version usually performed - took place at the cathedral during the 1899 Three Choirs Festival .,The first performance of his Enigma Variations took place at the cathedral during the 1899 festival .
The Festival Hall dates to the 19th century and is now used solely for the Bayreuth Festival . Only works by Richard Wagner are put on .,"Bayreuth is internationally famous for the Bayreuth Festival -LRB- Bayreuther Festspiele -RRB- , a festival of the music of Richard Wagner ."
LOCATION@1 Water Gateway It was built from NUMBER@1 to NUMBER@2 with funding from the ORGANIZATION@1 .,The dam was built in NUMBER@2 with funding from the ORGANIZATION@1 .
The Platypus sleeps during the day .,The platypus sleeps during the day .
Dance Album -LRB-/O1980/O-RRB-,Down There For Dancing -LRB-/O1982/O-RRB-
"With a population rate increase of NUMBER@1 % annually the city has become the 3rd fastest growing in LOCATION@1 -LRB- 9th fastest in the world -RRB- after LOCATION@2 and LOCATION@3 , respectively .",The population of LOCATION@4 is increasing at a rate of NUMBER@1 % each year . It is the 3rd fastest growing city in LOCATION@1 and the 9th fastest in the world .
PERSON@1 won both an Academy Award in NUMBER@1 and a Grammy in NUMBER@2 for '' Lose Yourself . '',PERSON@1 won an Academy Award in NUMBER@1 and a Grammy in NUMBER@2 for '' Lose Yourself '' .
"He moved up to Formula series in NUMBER@1 , competing in LOCATION@1 Formula PERSON@1 and becoming champion .",He moved up to Formula series in NUMBER@1 . He was a champion in LOCATION@1 Formula PERSON@1 .
"Sheffield United Football Club is a professional English football club based in the city of Sheffield , South Yorkshire .","Sheffield United F.C. is an English football club who play in Sheffield , Yorkshire , England ."
"The PERSON@1 , dubbed '' the ghost yacht '' , is a 9.8-meter catamaran which was found drifting NUMBER@1 nautical miles -LRB- NUMBER@2 km -RRB- off of the northern coast of LOCATION@1 on April NUMBER@3 , NUMBER@4 .","The PERSON@1 is a NUMBER@5 metre catamaran that was found drifting NUMBER@2 km -LRB- NUMBER@6 nautical miles -RRB- off the northern coast of LOCATION@1 on April NUMBER@3 , NUMBER@4 ."
Sainte-Genevi Ã ve is a commune in the Aisne dÃ partment in LOCATION@1 in northern LOCATION@2 .,"Sainte-Genevi Ã ve , LOCATION@3 is a commune ."
"In NUMBER@1 , its grounds became the location for a famous murder .","In NUMBER@1 , the grounds around the house became the location for a famous murder ."
"Following on from the original 1990 concert , the Three Tenors concerts were held during the Football World Cups : in Los Angeles in 1994 , in Paris in 1998 , and in Yokohama in 2002 .","Following on from the original 1990 concert , Three Tenors concerts were held during the Football World Cups ; in Los Angeles in 1994 , in Paris in 1998 , and in Yokohama in 2002 ."
"This applies to the bare skin , hair and undergarments , and especially to intimate parts .","Usually , this applies to bare skin , hair , undergarments , and especially to intimate parts ."
"PERSON@1 -LRB- born NUMBER@1 August NUMBER@2 in zu , ORGANIZATION@1 , LOCATION@1 -RRB- is a former Japanese football player .",PERSON@1 -LRB- born NUMBER@1 August NUMBER@2 -RRB- is a former Japanese football player .
Travaillan is a commune in the Vaucluse department in the Provence-Alpes-C Ã te d'Azur region in southeastern France .,Travaillan is a commune . It is found in the Provence-Alpes-C Ã te d'Azur region in the Vaucluse department in the south of France .
"With the unspoken agreement of the occupation authorities , Rhee conducted a campaign to '' remove Communism '' .","With the unspoken agreement of the occupation authorities , Rhee conducted a number of actions to '' remove Communism '' ."
"Personal life PERSON@1 married actress PERSON@2 , whom he met when she had a guest role on Hercules , on January NUMBER@1 , NUMBER@2 .","Personal life PERSON@1 married actress PERSON@2 on January NUMBER@1 , NUMBER@2 ."
Christian Wilhem Walter Wulff -LRB- ; born 1959 -RRB- is the President of Germany and a politician of the Christian Democratic Union .,Christian Wilhelm Walter Wulff -LRB- born 19 June 1959 -RRB- is a German politician of the conservative Christian Democratic Union .
"2 in Japan -RRB- is a platform video game developed by Sony and published by Sony in Japan and Europe , while Ubisoft published it in North America for the PlayStation 2 video game console .","It was published and developed to the PS2 by Sony , but in North America , it was published by Ubisoft ."
The Padres won two of three games in a series against the Dodgers at Petco Park .,The Padres play their home games in a stadium called Petco Park .
"More importantly , the discovery of celestial bodies orbiting something other than the LOCATION@1 dealt a blow to the then-accepted Ptolemaic world system , which held that the LOCATION@1 was at the center of the universe and all other celestial bodies revolved around it .","More importantly , the discovery of celestial bodies orbiting something other than the LOCATION@1 dealt a blow to the then-accepted Ptolemaic world system . This held that the LOCATION@1 was at the center of the universe and all other celestial bodies revolved around it ."
"Founded in 1831 , St. Xavier is the oldest high school in the Cincinnati area and one of the oldest in the nation , preceding many universities in foundation .","Because St. Xavier opened in 1831 , it is the oldest high school in the Cincinnati area and one of the oldest in the nation , even older than many universities ."
"It had the steepest drop of any wooden roller coaster in the world , at NUMBER@1 degrees , until this record was broken by ORGANIZATION@1 in NUMBER@2 .","It has the steepest drop of any wooden rollercoaster in the world , at NUMBER@1 degrees ."
"The Sanacja movement controlled Poland until the start of World War II in 1939 , when Nazi Germany invaded on 1 September and the Soviet invasion of Poland followed by breaking the Soviet -- Polish Non-Aggression Pact on 17 September .","On September 1 , 1939 , World War II started when Nazi Germany attacked Poland , and the Soviet Union attacked on September 17 ."
"He was born in LOCATION@1 . He was the eldest son of PERSON@1 I , Elector of LOCATION@2 - whom he succeeded , and his second wife PERSON@2 of LOCATION@3 , daughter of the emperor PERSON@3 , Holy Roman Emperor .","He was born in LOCATION@1 and was the eldest son of PERSON@1 I , Elector of LOCATION@2 and PERSON@2 of LOCATION@3 a daughter of PERSON@3 , Holy Roman Emperor ."
LOCATION@1 is a commune in the Calvados department in the LOCATION@2 region in north-western LOCATION@3 .,It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@3 .
Events By place Roman Empire PERSON@1 marries PERSON@2 following the death of PERSON@3 .,PERSON@1 marries PERSON@2 following the death of PERSON@3 .
He has also written a book called Circle of Life : Sustenance for the Soul about dealing with grief and tragedy when it strikes .,He wrote a book called Circle of Life : Sustenance for the Soul . It is about handling grief and tragedy .
"PERSON@1 -LRB- born NUMBER@1 September NUMBER@2 in LOCATION@1 near LOCATION@2 , LOCATION@3 -RRB- is a former German football player .","PERSON@2 -LRB- born NUMBER@1 September , NUMBER@2 -RRB- is a former German football player ."
"The Dutch East Indies , or LOCATION@1 , was the Dutch colony that became modern LOCATION@2 following World War II .","The Dutch East Indies , or LOCATION@1 , was the Dutch colony that is now modern LOCATION@2 ."
"PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 , in LOCATION@1 , LOCATION@2 -RRB- is a former astronaut and LOCATION@3 politician who became the first American to orbit the LOCATION@4 , and later , LOCATION@5 Senator .","PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 , in LOCATION@1 , LOCATION@2 -RRB- is a former LOCATION@5 Senator ."
"Southern Florida experienced moderate rainfall , with a peak of occurring in Tavernier .","Southern Florida saw fair rainfall , with a maximum of 16.47 inches occurring in Tavernier ."
"E. iron -LRB- II -RRB- sulphate -RRB- or ferrous sulfate is the chemical compound with the formula -LRB- FeSO4 -RRB- , known since ancient times as copperas .","Iron -LRB- II -RRB- sulfate , also known as ferrous sulfate or copperas , is a chemical compound . Its chemical formula is FeSO4 ."
Recorded observations of Mercury date back to at least the first millennium BC .,Known sightings of Mercury date back to at least the first millennium BC .
"Dr PERSON@1 , HI , is a journalist , academic , and diplomat from LOCATION@1 .","Dr. PERSON@1 , HI , is a journalist , academic , and diplomat from LOCATION@1 ."
"Auburn has been marked in recent years by rapid growth , and is currently the fastest growing metropolitan area in LOCATION@1 and the nineteenth-fastest growing metro area in the LOCATION@2 since NUMBER@1 .",It is currently the fastest growing metropolitan area in LOCATION@1 . It is also the nineteenth-fastest growing metro area in the LOCATION@2 since NUMBER@1 .
"Worn by men Lower body Boxer briefs Trunks These are similar in style to boxer shorts , but are generally shorter and form-fitting like briefs .","Worn by men Lower body Boxer briefs Trunks These are similar in style to boxer shorts , but are generally shorter and fit the body more tightly like briefs ."
"Around a black hole there is an undetectable surface which marks the point of no return , called an event horizon .",A black hole can be inferred by tracking the movement of a group of stars that orbit a region in space .
"A great hall was the main room of a royal palace , a nobleman 's castle or a large manor house in the Middle Ages , and in the country houses of the 16th and early 17th centuries .","A great hall was the main room of a royal palace , a nobleman 's castle or a large manor house in the Middle Ages ."
