,source_sentence,simplified_sentence
186433,He also wrote 10 sonatas for violin and piano and five sonatas for cello and piano .,"Violin sonatas , flute sonatas etc usually have piano accompaniment but are not normally called '' duets '' . Piano trios are pieces for piano , violin and cello . A piano quartet would be for piano , violin , viola and cello ."
13524,"Jody David Scheckter -LRB- born January 29 , 1950 -RRB- is a South African former auto racing driver , the Formula One World Drivers Champion .","Jody David Scheckter -LRB- born January 29 , 1950 -RRB- is a South African former auto racing driver ."
126358,"During the Civil War -LRB- 1861 â '' 65 -RRB- , postal services in the Confederacy were provided by the CSA Post Office Department , headed by Postmaster General John Henninger Reagan .","During the Civil War , postal services in the Confederacy were provided by the Confederate States of America Post Office Department , headed by Postmaster General John Henninger Reagan ."
12837,"Following Monroe 's success in these roles , Hyde negotiated a seven-year contract for her with 20th Century Fox , shortly before his death in December 1950 .","Following Monroe 's success in these roles , Hyde arranged for a seven-year contract for her with 20th Century Fox , shortly before his death in December 1950 ."
535833,"In the video games , Sonic 's original design by PERSON@1 was quite short and round , with short quills , a round body and no visible irises .",Sonic Rivals
535324,"The 8-day ORGANIZATION@1 is the world 's first and most famous annual ballroom dance competition of international significance , held in the Empress Ballroom at the LOCATION@1 , LOCATION@2 , LOCATION@3 since NUMBER@1 .","The 8-day ORGANIZATION@1 is the world 's first and most famous annual ballroom dance competition of international significance . It has been held in the LOCATION@1 , LOCATION@2 , LOCATION@3 since NUMBER@1 -LRB- except for war-time -RRB- ."
405638,The Passacaglia was also published separately -LRB- as op .,"The first American performance was in NUMBER@1 at LOCATION@1 conducted by PERSON@1 pupil , PERSON@2 ."
161826,"However , the Soviet Union out-produced the United States in heavy industry during the Brezhnev era . One more galling result of Brezhnev 's rule was that some of the Eastern Bloc economies were more advanced than the Soviet Union .",Leonid Brezhnev was a leader of the Soviet Union .
412780,Public nudity or nude in public -LRB- NIP -RRB- refers to nudity not in an entirely private context .,Public nudity is nudity that is not in private .
528191,"It is shown on the satellite and cable channels Living , LOCATION@1 and ORGANIZATION@1 -LRB- Formerly Virgin NUMBER@1 and Ftn -RRB- , primarily for the LOCATION@2 market .","It is shown on the satellite and cable channels Living , Living2 and Virgin NUMBER@1 -LRB- Formerly Ftn -RRB- , mainly for the LOCATION@2 market ."
490325,"Lord PERSON@1 is a fantasy novel by PERSON@2 , published in NUMBER@1 .",Lord PERSON@1 is a fantasy book written by PERSON@2 in NUMBER@1 .
383566,"A heat wave is a prolonged period of excessively hot weather , which may be accompanied by high humidity .","A heat wave is a long period of extremely hot weather , which may be followed by high humidity ."
497327,"Each user also has a '' User Info '' page , which contains a variety of data including contact information , a biography , images -LRB- linked from off-site sources -RRB- and lists of friends , interests , communities and even schools which the user has attended in the past or is currently attending .","Each user also has a '' User Info '' page , which may contain contact information , a biography of the user , and lists of friends , interests , communities , and even schools the user had attended ."
354234,"LOCATION@1 is also a major center in the LOCATION@2 motorsports industry , with ORGANIZATION@1 having multiple offices in and around LOCATION@1 .",ORGANIZATION@1 also has many offices in LOCATION@1 and in the towns around LOCATION@1 .
560445,"ORGANIZATION@1 , although in LOCATION@1 , is actually located near LOCATION@2 and is easily accessible to LOCATION@3 residents via LOCATION@4 .",ORGANIZATION@1 is in LOCATION@1 but is close LOCATION@3 and is easy to get to by driving on Interstate NUMBER@1 .
225,Poland A second-level administrative division in Poland is called a powiat .,Poland In English we normally call the Polish second-level organisation unit powiat a '' county '' or '' district '' .
426091,"A land grant is a gift of real estate -- land or its privileges -- made by a government or other authority as a reward for services to an individual , especially in return for military service .","A land grant is a gift of real estate - land or privileges - made by a government or other authority as a reward for services to an individual , especially as rewards for military service ."
502705,"At this time , PERSON@1 had been predicted to peak at NUMBER@1 mph -LRB- NUMBER@2 km\/h -RRB- winds instead of NUMBER@3 mph -LRB- NUMBER@4 km\/h -RRB- .",PERSON@1 peaked at this time with winds at NUMBER@1 mph winds instead of NUMBER@3 mph .
96779,"Chris Amon 's own car , like the Token and the Trojan , was not a success .",1974 Drivers Championship final standings
359563,"October NUMBER@1 -- The temple of Apollo at LOCATION@1 , outside LOCATION@2 , is destroyed in a mysterious fire .","October NUMBER@1 - The temple of Apollo at LOCATION@1 , outside of LOCATION@2 is destroyed in a mysterious fire ."
506483,-LRB- unranked -RRB- ORGANIZATION@1,ORGANIZATION@1
239342,"However , diodes can have more complicated behavior than this simple on-off action , due to their complex non-linear electrical characteristics , which can be tailored by varying the construction of their P-N junction .",Construction
502855,ORGANIZATION@1 's discovery showed the importance of the telescope as a tool for astronomers by proving that there were objects in space that can not be seen by the naked eye .,ORGANIZATION@1 's discovery proved the importance of the telescope as a tool for astronomers by showing that there were objects in space to be found that until then had remained unseen by the naked eye .
585683,"PERSON@1 , Jr. -LRB- born October NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- , also known as '' Iron Mike '' , is a former American football ORGANIZATION@1 player , television commentator , and coach .","PERSON@1 , Jr. -LRB- born October NUMBER@1 , NUMBER@2 , in LOCATION@1 , LOCATION@2 -RRB- , is a former ORGANIZATION@1 player , television commentator , and coach ."
132088,"The university grew out of an association of scholars in the city of Cambridge that was formed , early records suggest , in 1209 by scholars leaving Oxford after a dispute with townsfolk there .",The University grew out of a group of scholars in the city of Cambridge . Early records suggest that this happened in 1209 by scholars leaving Oxford after a dispute with local townsfolk there .
301154,"When the Community was established , French leader PERSON@1 specified that any country within it would eventually have the option of moving to complete independence .","When the Community was established , French President PERSON@2 said that any country in the French Community could move to complete independence ."
302801,MOLECULAR PHYLOGENETICS AND EVOLUTION Vol .,The reindeer is the only deer that has been domesticated .
368436,August NUMBER@1 & ndash ; King Guttorm of LOCATION@1,August NUMBER@1 - King Guttorm of LOCATION@1
342664,"When the King asks who shall be her champion , PERSON@1 describes a knight she has beheld in her dreams -LRB- Narrative : '' Alone in dark days '' -RRB- and sinks to her knees , praying for God to send her relief .",He asks PERSON@1 if he can be her knight .
456203,AmÄ '' r al-Mu ` minÄ '' n -LRB- Arabic Ø # Ù,PERSON@1 -LRB- Arabic Ø # Ù
109289,"In August 1944 , Antonescu was toppled and arrested by King Michael I of Romania and Romania changed sides and joined the Allies .","In August 1944 , Antonescu lost power and was arrested by King Michael I of Romania . As a result of this , Romania changed sides and joined the Allies ."
466965,-LRB- UMG -RRB- is the largest business group and family of record labels in the recording industry .,"With a NUMBER@1 % market share , it is one of the Big Four record labels ."
294897,"Habitat Boa constrictor flourishes in a wide variety of environmental conditions , from tropical rainforests to arid semi-desert country .","Habitat Flourishes in a wide variety of environmental conditions , from tropical rainforests to arid country ."
146924,"In 1770 , Port-au-Prince replaced Cap-Fran çais -LRB- the modern Cap-Ha ïtien -RRB- as capital of the colony of Saint-Domingue , and in 1804 , it became the capital of newly independent Haïti .","Port-au-Prince was built in 1749 and , in 1770 , it replaced Cap-Fran çais -LRB- the modern Cap-Ha ïtien -RRB- as capital of the French colony of Saint-Domingue ."
185019,Construction continued with the addition of the South Portico in 1824 and the North in 1829 .,Jeffersons colonnades connected the new wings .
387220,"Zeus , LOCATION@1 , Poseidon , ORGANIZATION@1 , ORGANIZATION@2 , and Hades were siblings .","Zeus , LOCATION@1 , Poseidon , ORGANIZATION@1 , ORGANIZATION@2 , and Hades are all brothers and sisters ."
224812,The Prime Minister of the United Kingdom of Great Britain and Northern Ireland is the Head of Her Majesty 's Government in the United Kingdom .,The Prime Minister of the United Kingdom is the highest elected office in the United Kingdom .
331000,"Road Race World Championships -LRB- NUMBER@1 , NUMBER@2 -RRB-",UCI Road World Championships Road Race -LRB- 4th -RRB-
507020,The city area of LOCATION@1 was ruled by the ORGANIZATION@1 kingdom of LOCATION@2 and the LOCATION@3 before passing to the control of the ORGANIZATION@2 dynasty in the 9th century .,"LOCATION@1 has a very old history , the city area of LOCATION@1 was ruled by the ORGANIZATION@1 and Hindu kingdoms century ."
385395,After eleven years as a District Councillor he stood for the LOCATION@1 ORGANIZATION@1 -LRB- Abgeordnetenhaus von LOCATION@1 -RRB- which serves as the City 's Landtag or state legislature in NUMBER@1 .,After eleven years he stood for the LOCATION@1 ORGANIZATION@2 of Deputies Abgeordnetenhaus which is City 's Landtag or state legislature in NUMBER@1 .
201805,Journey to the West has been enjoyed by many generations of Chinese and is one of the most popular Chinese classic folk novels .,The novel has been enjoyed by many generations of Chinese and is the most popular Chinese classic folk novel .
89578,"The rook moves horizontally or vertically , forward or back , through any number of unoccupied squares , as shown in the diagram .","The rook moves forward or back through any number of squares without other pieces on them , as shown in the diagram ."
379942,"LOCATION@1 -LRB- -RRB- is a southern district of the arrondissement and city of LOCATION@2 , in the Flemish Region of LOCATION@3 .",It has NUMBER@1 NUMBER@2 inhabitants .
449269,"The penalty kick is taken from the penalty mark , which is a midline spot NUMBER@1 y from the goal . The penalty kick taker -LRB- who does not have to be the player who was fouled -RRB- must be clearly identified to the referee .",A penalty kick is taken by the team which has been fouled if the violent act is made in the penalty box .
571896,"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 -- December NUMBER@3 , NUMBER@4 -RRB- was an American track and field coach and co-founder of ORGANIZATION@1 .","PERSON@2 -LRB- February NUMBER@1 , NUMBER@2 - December NUMBER@3 , NUMBER@4 -RRB- was an American track and field coach at the ORGANIZATION@2 ."
371879,Castillon-la-Bataille is a commune in the LOCATION@1 department in LOCATION@2 in south-western LOCATION@3 .,Castillon-la-Bataille is a commune . It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .
456281,"Whether or not this series of events should be called a '' revolution '' is disputable ; what is clear is that , from August NUMBER@1 onwards , demonstrations and uprisings against French colonial rule broke out in cities and towns throughout LOCATION@1 .",The August Revolution happened in LOCATION@1 in August of NUMBER@2 .
409730,"Zoology In zoological nomenclature , synonyms are different scientific names that pertain to the same taxon , for example two names for the same species .","In other words , two names for the same thing ."
488710,The Summer Palace is mainly dominated by LOCATION@1 -LRB- NUMBER@1 meters high -RRB- and the LOCATION@2 .,It is mainly dominated by LOCATION@1 -LRB- NUMBER@1 meters high -RRB- and the LOCATION@2 .
459185,The state can be divided into two distinct hypsographical regions .,There are two hypsographical regions : -
288291,Banchan are set in the middle of the table to be shared .,"Banchan are put on the middle of the table and usually shared , though guk -LRB- soup -RRB- is not shared ."
511319,"It became so popular in bars , bistros , cafÃ s , and cabarets that , by the NUMBER@1 , the hour of NUMBER@2 p.m. was called l'heure verte -LRB- '' the green hour '' -RRB- .",It became popular at bars and bistros . After the NUMBER@1 absinthe had become so popular that it was for sale in most cafÃ s and cabarets .
303910,"They board an elevator with a group of strangers , including a businessman -LRB- PERSON@1 '' Jon '' -RRB- -LRB- PERSON@2 -RRB- , a nurse -LRB- PERSON@3 -RRB- -LRB- PERSON@4 -RRB- , a tramp -LRB- PERSON@5 -RRB- -LRB- PERSON@6 -RRB- , and a security guard -LRB- PERSON@7 -RRB- -LRB- PERSON@8 -RRB- , but when the elevator reaches the next floor down , the hospital is abandoned .",PERSON@2 : PERSON@9
512845,"Among the PERSON@1 the usual minimum price for a wife is forty hoes , twenty goats and one cow , paid in instalments .","Among the PERSON@1 the usual minimum price for a wife is forty hoes , twenty goats and one cow , paid in installments ."
472026,"In NUMBER@1 , assuming that the asteroid was of S-type and that it had a diameter of NUMBER@2 km , the rotational period was measured to be NUMBER@3 hours .","In NUMBER@1 , believing that the asteroid was of S-type and that it had a diameter of NUMBER@2 km , the length of NUMBER@4 LOCATION@1 's day was thought to be NUMBER@3 hours ."
586489,"She married PERSON@1 , the Raja of LOCATION@1 , at the age of NUMBER@1 .","She married PERSON@2 , the Maharaja of LOCATION@1 in NUMBER@2 , and became the Rani of LOCATION@1 ."
213407,"Massena 's sister community is Cumberland , Iowa . Massena is named after Massena , New York .",Massena is a city of Iowa in the United States .
538872,"NUMBER@1 & ndash ; PERSON@1 , German poet -LRB- d. NUMBER@2 -RRB-","NUMBER@3 - PERSON@2 , Hungarian footballer -LRB- d. NUMBER@4 -RRB-"
392658,"Poor health forced Stark , LOCATION@1 's most famous soldier of the American Revolutionary War , to decline an invitation to an anniversary reunion of the Battle of LOCATION@2 .",Stark was LOCATION@1 's most famous soldier of the American Revolutionary War . His poor health forced him to decline an invitation to a reunion of the Battle of LOCATION@2 .
286844,Brunembert is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .
248199,The underlying force driving these reactions is the Gibbs free energy of the reactants and products .,The underlying force driving these reactions is the free energy -LRB- energy available to do work -RRB- of the reactants and products .
116274,"The 2009 Pacific hurricane season was a very active event in the annual cycle of tropical cyclone formation , due to a moderate El NiÃ o , unlike the 2009 Atlantic hurricane season , which was relatively quiet . The season officially started on May 15 in the eastern Pacific , and on June 1 for the central Pacific , and officially ended on November 30 , 2009 .","The 2009 Pacific hurricane season started on May 15 , 2009 and ended November 30 , 2009 ."
21485,The bocal connects the reed to the rest of the instrument and is inserted into a socket at the top of the wing joint .,At the top of the instrument is the ` bell joint ' .
71828,"Hayy ibn Yaqdhan an Islamic philosophical tale -LRB- or thought experiment -RRB- by Ibn Tufail from 12th-century Andalusia , straddles the divide between the religious and the secular .","Hayy ibn Yaqdhan an Islamic philosophical tale -LRB- or thought experiment -RRB- by Ibn Tufail from twelfth-century Andalusia , straddles the divide between the religious and the secular ."
15713,"Pitch allows the construction of melodies ; pitches are compared as '' higher '' and '' lower '' , and are quantified as frequencies -LRB- cycles per second , or hertz -RRB- , corresponding very nearly to the repetition rate of sound waves .",musical notation
64828,Grevy 's zebra and the mountain zebra are endangered .,Mountain Zebra -LRB- Equus zebra -RRB-
294154,"Situated at Doughton , near Tetbury , Highgrove House was purchased in 1980 by the Duchy of Cornwall .","Found at Doughton , near Tetbury , Highgrove House was purchased in 1980 by the Duchy of Cornwall ."
391991,"LOCATION@1 is a town and civil parish in the LOCATION@2 district of LOCATION@3 , LOCATION@4 , close to the border with ORGANIZATION@1 .","LOCATION@1 is a town in LOCATION@3 , LOCATION@4 , LOCATION@5 ."
242847,"Each guru added to and reinforced the message taught by the previous , resulting in the creation of the Sikh religion .","Each guru added to and reinforced the message taught by the previous , and this resulted in the creation of the Sikh religion ."
115668,Booker won the final match and went on to beat Finlay for the title .,Booker won but he would end up losing the title to Finlay .
213135,"'' RC4 Page '' lists some of the biases It is especially vulnerable when the beginning of the output keystream is not discarded , or nonrandom or related keys are used ; some ways of using RC4 can lead to very insecure cryptosystems such as WEP .",Other pages
296767,"With the NUMBER@1 revisions of the notebook , wired Ethernet connectivity required a separately available USB-to-Ethernet adapter .","With the NUMBER@1 changes of the notebook , wired Ethernet connectivity required a separately available USB-to-Ethernet adapter ."
472148,Ruthenium -LRB- -RRB- is a chemical element that has the symbol Ru and atomic number NUMBER@1 .,Ruthenium is a chemical element . It has the chemical symbol Ru . It has the atomic number NUMBER@1 .
117764,"It is the southernmost street of Edinburgh 's New Town , stretching around 1 mile -LRB- 1.6 km -RRB- from Lothian Road in the west to Leith Street in the east .",The street now has a lot of shops and hotels along it .
521052,"By the 6th millennium BC , evidence of a prehistoric religion or cult appears , with a number of sacrificed cattle buried in stone-roofed chambers lined with clay .","By the 6th millennium BC , there may have been a prehistoric religion or cult . Sacrificed cattle were found buried in stone-roofed chambers lined with clay ."
60771,Ron Taylor guest stars in the episode as Bleeding Gums Murphy .,Ron Taylor guest stars in the episode as '' Bleeding Gums Murphy '' .
436808,"Landquart is an administrative district in the canton of LOCATION@1 , LOCATION@2 .","Landquart is a district of the canton of LOCATION@1 , LOCATION@2 ."
351432,"No Way Out is a professional wrestling pay-per-view -LRB- PPV -RRB- event , produced every February by the professional wrestling promotion , World Wrestling Entertainment -LRB- WWE -RRB- .",WWE No Way Out is a yearly pay-per-view made by World Wrestling Entertainment -LRB- WWE -RRB- .
266592,One important industry that is located here is that of petroleum refinery .,One important industry that is located here is that of petroleumrefinery .
501890,This page contains a list of presidents of the LOCATION@1 .,This page contains a list -LRB- modified from PERSON@1 -RRB- of presidents of the LOCATION@1 .
90484,"Littman tentatively attributed the popular imagery to Pavlovâ s contemporaries Vladimir Mikhailovich Bekhterev and John B. Watson , until Thomas found several references that unambiguously stated Pavlov did , indeed , use a bell .","Littman tentatively attributed the popular imagery to Pavlovâ s contemporaries Vladimir Bekhterev and John B. Watson , until Thomas found several references that clearly said Pavlov did , indeed , use a bell ."
506812,"Thyme is widely cultivated for its strong flavor , which is due to its content of thymol .","Thyme is widely grown as a herb . Usually it is grown for its strong flavor , which is due to its content of thymol ."
216747,"Penjing generally fall into one of three categories classified by subject matter : Tree Penjing , Landscape Penjing , and Water and Land Penjing . Japan 's bonsai tradition -LRB- bonsai being the Japanese pronunciation of penzai -RRB- is derived from penjing .",Penjing is very similar to -LRB- and came before -RRB- the Japanese art of bonsai .
417026,"ORGANIZATION@1 is represented in the ORGANIZATION@2 of the LOCATION@1 by three constituencies : ORGANIZATION@3 , ORGANIZATION@4 and PERSON@1 , of which the first two are wholly within the LOCATION@2 council area while the latter also encompasses a large swathe of LOCATION@3 .","ORGANIZATION@1 has its own football team , ORGANIZATION@5 ."
8272,"The Black-necked Grebe , Podiceps nigricollis , known in North America as the Eared Grebe , is a member of the grebe family of water birds .","The Black-necked Grebe , Podiceps nigricollis , known in North America as the Eared Grebe , is a member of the Grebe family -LRB- biology -RRB- of water birds ."
582532,"A bandicoot is any of about NUMBER@1 species of small to medium-sized , terrestrial marsupial omnivores in the order Peramelemorphia .",There are about NUMBER@1 species of bandicoots .
433380,Kings of PERSON@1 's Chambers '',PERSON@2 - '' I Believe in a Thing Called Love '' -LRB- originally by The Darkness -RRB-
183202,"Metis -LRB- , or as in Greek -RRB- , also known as , is the innermost moon of Jupiter .","The images taken by Voyager 1 showed Metis only as a dot , and very little was known about Metis until the arrival of the Galileo spacecraft ."
56113,"International Criminal Court , 1 February 2007 .",International Criminal Court -LRB- 7 February 2008 -RRB- .
386128,"If built , the ORGANIZATION@1 would be ORGANIZATION@2 's first hybrid to be sold in LOCATION@1 , though it has sold almost NUMBER@1 Escape Hybrids in the LOCATION@2 since NUMBER@2 .",It is only sold in LOCATION@1 .
485559,Ending several weeks of speculation on NUMBER@1 September NUMBER@2 ORGANIZATION@1 announced it would take control of LOCATION@1 in November and run it as their '' rookie team '' from NUMBER@3 .,On NUMBER@1 September NUMBER@2 ORGANIZATION@1 announced it would take control of LOCATION@1 in November and run it as their '' rookie team '' from .
333113,Revolver is a bi-monthly rock and heavy metal magazine published by Future LOCATION@1 .,Revolver is a monthly hard rock and heavy metal magazine published by Future LOCATION@1 .
346160,Acy is a commune in the department of LOCATION@1 in LOCATION@2 in northern LOCATION@3 .,Acy is a commune . It is found in the region PERSON@1 in the LOCATION@1 department in the north of LOCATION@3 .
373558,"Fender also produces Stratocasters under the Squier brand in LOCATION@1 , LOCATION@2 and LOCATION@3 at lower cost than Fender-branded models .",PERSON@1 makes Stratocasters in LOCATION@1 and LOCATION@2 .
549175,PERSON@1 : In PERSON@2 .,"PERSON@3 , München NUMBER@1 -LRB- Roman -RRB- , ISBN NUMBER@2 NUMBER@3 : PERSON@4 invents the pocket watch"
339825,They had a very happy marriage until PERSON@1 was killed in an accident on board the Stargazer in NUMBER@1 when PERSON@2 was five years old .,PERSON@3 was killed in an accident on the Stargazor in NUMBER@1 .
531153,Madaraka Day June NUMBER@1 to commemorate when LOCATION@1 gained internal self-rule .,Fathers Day is celebrated in the LOCATION@2 on the third Sunday in June .
253502,This orphanage became Spurgeon 's Child Care which still exists today .,It later turned into Spurgeon 's Child Care -LRB- and then into Spurgeon 's -RRB- .
264477,"The equality sign , equals sign , or '' = '' is a mathematical symbol used to indicate equality .",Similar symbols
571910,"PERSON@1 -LRB- born NUMBER@1 April NUMBER@2 in LOCATION@1 , LOCATION@2 , LOCATION@3 ; died NUMBER@3 November NUMBER@4 in LOCATION@4 , LOCATION@2 -RRB- was an English chess Grandmaster .","PERSON@2 -LRB- PERSON@1 , LOCATION@2 , NUMBER@1 April NUMBER@2 -- LOCATION@2 , NUMBER@3 November NUMBER@4 -RRB- was an English chess Grandmaster ."
393959,"Although the interpretation of the notation system is still controversial , it is clear that the notation indicates the names of strings on a lyre , the tuning of which is described in other tablets .",A tablet from NUMBER@1 B.C. has musical notation which shows the names of the strings of a lyre .
486956,"Its apparent path of introduction was through the LOCATION@1 to LOCATION@2 , thence to LOCATION@3 and LOCATION@4 and via Spanish explorers to the LOCATION@5 , including the LOCATION@6 .",It was introduced through the LOCATION@1 to LOCATION@2 and LOCATION@7 during the Crusades .
506705,Until the first of January NUMBER@1 PERSON@1 was a municipality in the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3 .,PERSON@1 is a municipality of the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3 .
9485,"The band consists of guitarist and vocalist Alexi Laiho -LRB- vocals , lead guitar -RRB- , Roope Latvala -LRB- rhythm guitar -RRB- , Janne Wirman -LRB- keyboards -RRB- , Henkka Seppälä -LRB- bass -RRB- , and Jaska Raatikainen -LRB- drums -RRB- .","The band members are : Alexi Laiho -LRB- guitar and vocals -RRB- , Roope Latvala -LRB- guitar -RRB- , Janne Wirman -LRB- keyboard -RRB- , Henkka Seppälä -LRB- bass -RRB- , Jaska Raatikainen -LRB- drums -RRB- ."
558769,"PERSON@1 -LRB- Ï Ï Î '' Î Ï , , -RRB- , plural poleis -LRB- , Ï Ï Î '' Î Î Ï -RRB- , literally means city in LOCATION@1 . It could also mean citizenship and body of citizens .","A polis -LRB- Ï Ï Î '' Î Ï -RRB- means a city , a city-state and also citizenship and body of citizens ."
456334,"The NUMBER@1 Formula One season included the 18th FIA Formula One World Championship season , which commenced on January NUMBER@2 , NUMBER@1 , and ended on October NUMBER@3 after eleven races .",The NUMBER@1 Formula One season crowned as champion PERSON@1 .
510602,"All of their albums have been certified platinum , with their greatest hits album The Sound of Girls Aloud selling over one million copies .","Girls Aloud have become one of the most successful British pop groups of the decade , with a record-breaking twenty consecutive Top NUMBER@1 singles -LRB- including four number ones -RRB- , five platinum albums -LRB- including two number ones -RRB- and record sales of more than NUMBER@2 million in the LOCATION@1 ."
175753,"In ancient writings the Hanging Gardens of Babylon were first described by Berossus , a Babylonian priest who lived in the late 4th century BC .","In ancient writings the Hanging Gardens of Babylon were first described by Berossus , a Chaldean priest ."
66728,"Although articles by the likes of Mick Farren -LRB- whose article '' The Titanic Sails At Dawn '' , a call for a new street led rock movement in response to stadium rock -RRB- were published by the NME that summer it was felt that younger blood was needed to credibly cover the emerging punk movement , and the paper advertised for a pair of '' hip young gunslingers '' to join their editorial staff .","In an attempt to boost sales , the paper advertised for a pair of '' hip young gunslingers '' to join their editorial staff ."
184684,"789-798 Following his release from Egyptian captivity , Louis spent four years in the crusader Kingdoms of Acre , Caesarea , and Jaffe .","After his release from Egypt , Louis spent four years in the crusader Kingdoms of Acre , Caesarea , and Jaffe ."
566093,ORGANIZATION@1 or RHTV is a 24-hour cable channel of ORGANIZATION@2 in the LOCATION@1 .,ORGANIZATION@2
70868,"In 1961 , Veeck hired several dwarfs and midgets , including Gaedel , as vendors , so as not to '' block the fans ' view '' of the game .","In 1961 , Veeck hired several dwarves and midgets , including Gaedel , as vendors , so as not to '' block the fans ' view '' of the game ."
35406,"of those , the parasitic mistletoe habit has evolved independently five times : Misodendraceae , Loranthaceae , and Santalaceae , including the former separate families Eremolepidaceae and Viscaceae .",Viscum album is used in Europe and Phoradendron serotinum is used in North America .
233053,"Movie Box Office Figures In June 2008 , the American Film Institute revealed its '' Ten top Ten '' -- the best ten films in ten '' classic '' American film genres -- after polling over 1,500 people from the creative community .","Movie Box Office Figures In June 2008 , the American Film Institute revealed its '' Ten top Ten '' -- the best ten films in ten '' classic '' American film genres ."
23987,"One billion to two billion years in the future , the steady increase in solar radiation caused by the helium build-up at the core of the Sun will result in the loss of the oceans and the cessation of continental drift .","One billion to two billion years in the future , the increase in solar radiation caused by the helium build-up at the core of the Sun will result in the loss of the oceans and the cessation of continental drift ."
352122,"In April NUMBER@1 , ORGANIZATION@1 filed a lawsuit against ORGANIZATION@2 , claiming that the '' My Scene '' line of Barbie dolls had copied the doe-eyed look of Bratz dolls .","PERSON@1 are a brand of dolls with large heads . The toy company ORGANIZATION@1 makes PERSON@1 , and the first dolls were sold in NUMBER@2 ."
264118,Stallworth was selected by the New Orleans Saints in the first round -LRB- 13th overall -RRB- of the 2002 NFL Draft .,Stallworth was drafted out of the University of Tenneesee by the New Orleans Saints with the 13th pick in the first round of the 2002 NFL Draft .
348880,"Progressive rock eventually stuck as a label for a specific genre of rock music , while '' art rock '' was used to refer to a wider , more subjective and harder-to-categorize collection of bands .","Progressive rock eventually stuck as a label for a specific genre of rock music , while art rock was used to described bands that were harder to label ."
459065,"In NUMBER@1 , PERSON@1 observed that no Iroquois treaty was binding unless it was ratified by NUMBER@2 % of the male voters and NUMBER@2 % of the mothers of the nation .","In NUMBER@1 , PERSON@1 saw that no Iroquois treaty came into effect unless it was approved by NUMBER@2 % of the male voters and NUMBER@2 % of the mothers of the nation ."
326910,PERSON@1 -LRB- born NUMBER@1 November NUMBER@2 -RRB- is a British pop singer and songwriter .,"PERSON@2 -LRB- November NUMBER@1 , NUMBER@2 , LOCATION@1 , LOCATION@2 -RRB- is a English singer/songwriter ."
200764,William H.C. Chang,League title
438330,By topic Arts and Sciences The poem Metamorphoses is written by LOCATION@1 .,The poem Metamorphoses is written by LOCATION@1 .
94726,February starts and ends on the same day .,"In a leap year , February starts and ends on the same day ."
578369,"PERSON@1 then sued for ORGANIZATION@1 's original use of his name and likeness , but again lost . PERSON@1 appealed the ruling .","When PERSON@1 heard this , he tried to make ORGANIZATION@2 use another name ."
190557,"See his entry at Grove 's Dictionary of Music and Musicians , 5th ed , 1954 , vol .",Music
387069,"Almost a decade after the sports injury , PERSON@1 won the first prize at the ORGANIZATION@1 in LOCATION@1 , LOCATION@2 .","He conducted the ORGANIZATION@2 at their summer residence , the ORGANIZATION@3 , for five summers , then became director of the ORGANIZATION@4 from NUMBER@1 to NUMBER@2 and music director of the ORGANIZATION@5 from NUMBER@3 to NUMBER@4 ."
193040,Lilo & Stitch 2 : Stitch Has a Glitch -LRB- credited as just Lilo & Stitch 2 at the start credits -RRB- is a 2005 direct-to-video animated film produced by DisneyToon Studios . The film is regarded as the first '' true '' sequel to the 2002 Disney feature film Lilo & Stitch and taking place before the events of Stitch !,Lilo & Stitch 2 : Stitch Has a Glitch is a direct-to-video animated sequel to the 2002 Disney movie Lilo & Stitch and taking place before Stitch !
415582,"He was one of the leading figures in the Yiddish literary movement , and received the Nobel Prize in literature in NUMBER@1 .","PERSON@1 -LRB- November NUMBER@2 , NUMBER@3 -- July NUMBER@4 , NUMBER@5 -RRB- was a leading author in the Yiddish literature ."
170936,Éleu - dit-Leauwette is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Éleu - dit-Leauwette is a commune .
324758,Similar appendages which are flat and do not come to a sharp point are called nails instead .,Similar appendages that are flat and do not come to a sharp point are called nails instead . Mammals A nail is similar to a claw but it is flatter and has a curved edge instead of a point .
272652,"Camouflage is a method of avoiding detection by mimicking the surrounding environment , and it may refer to :",Camouflage can mean :
568347,"He had been awarded an honorary Order of the British Empire -LRB- KBE -RRB- in NUMBER@1 , and was known as Sir PERSON@1 after his naturalization .",He was given an honorary Order of the British Empire -LRB- KBE -RRB- in NUMBER@1 .
566498,"The term is normally reserved for formal offices of state , aristocracy and church .","A list of those to be honored is published twice a year , in either the New Years Honours List or The Queens Birthday Honours List ."
475570,"It is named after the LOCATION@1 in the LOCATION@2 , LOCATION@3 .",The name comes from the LOCATION@1 in the LOCATION@2 in LOCATION@3 .
